Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,86.15,88.80,85.60, 86.70,86.85,1185657,1036.56
29-Dec-2011,85.50,87.20,83.70, 86.25,85.55,2699773,2299.44
28-Dec-2011,85.35,86.80,84.15, 85.90,85.50,1341359,1147.85
27-Dec-2011,89.60,89.60,85.25, 86.00,85.90,1097311,952.13
26-Dec-2011,89.80,90.40,89.05, 89.50,89.40,429095,385.37
23-Dec-2011,90.70,90.70,88.15, 88.80,89.30,2658478,2367.46
22-Dec-2011,87.00,89.75,86.60, 88.80,89.15,2105537,1861.07
21-Dec-2011,90.00,91.25,87.40, 87.65,87.80,3231165,2875.93
20-Dec-2011,90.00,90.20,86.10, 87.15,87.40,1009254,884.51
19-Dec-2011,86.95,89.75,85.05, 88.90,89.10,1021535,895.35
16-Dec-2011,90.00,92.00,86.50, 87.50,88.00,1227958,1098.91
15-Dec-2011,88.55,89.90,86.00, 88.70,88.65,563696,495.87
14-Dec-2011,90.90,92.00,89.00, 89.00,89.50,409424,371.16
13-Dec-2011,90.05,92.40,88.80, 91.75,90.95,1816649,1652.33
12-Dec-2011,97.00,98.70,90.75, 91.30,91.30,1775670,1649.32
09-Dec-2011,96.35,96.95,93.55, 95.40,95.35,718615,686.21
08-Dec-2011,100.90,100.90,96.20, 97.35,97.40,696353,681.44
07-Dec-2011,101.00,102.10,100.15, 101.00,100.85,1542032,1559.72
05-Dec-2011,100.00,102.30,98.95, 100.00,100.20,867498,871.53
02-Dec-2011,99.75,101.80,97.50, 100.50,101.15,2152082,2161.88
01-Dec-2011,98.80,100.25,96.25, 97.75,97.80,1731948,1712.20
30-Nov-2011,95.10,96.50,94.00, 95.45,95.35,890862,846.22
29-Nov-2011,100.65,100.95,96.05, 96.70,96.75,1307121,1279.43
28-Nov-2011,96.00,100.90,96.00, 100.05,100.45,1402837,1390.04
25-Nov-2011,93.90,98.40,93.00, 93.90,94.65,1395599,1342.28
24-Nov-2011,92.00,95.75,89.60, 95.45,94.70,3575272,3303.21
23-Nov-2011,90.15,92.45,89.00, 92.30,91.80,3259650,2954.79
22-Nov-2011,87.00,92.70,87.00, 92.20,92.00,1198798,1088.57
21-Nov-2011,87.20,88.75,86.40, 87.10,86.90,2188362,1910.98
18-Nov-2011,87.00,89.45,84.30, 89.20,89.00,1671389,1451.95
17-Nov-2011,91.00,93.30,87.05, 88.25,87.90,895912,807.75
16-Nov-2011,91.05,94.00,89.60, 92.95,92.35,1002934,919.33
15-Nov-2011,90.30,95.40,89.50, 91.55,91.60,3109145,2889.16
14-Nov-2011,94.50,95.70,91.45, 92.95,93.15,2101276,1958.44
11-Nov-2011,95.10,97.30,92.40, 93.60,93.35,1672499,1586.34
09-Nov-2011,103.05,104.85,95.40, 96.00,96.10,3896097,3932.29
08-Nov-2011,103.60,104.55,100.50, 102.10,102.50,1769909,1806.03
04-Nov-2011,103.50,105.10,102.00, 103.30,103.40,2804916,2906.80
03-Nov-2011,103.00,103.40,99.40, 101.00,100.95,1299372,1312.92
02-Nov-2011,101.80,105.20,99.85, 102.40,102.60,1748559,1795.11
01-Nov-2011,106.70,108.80,102.40, 103.20,102.95,2599698,2733.30
31-Oct-2011,108.50,110.90,105.70, 107.10,107.35,2560989,2740.95
28-Oct-2011,109.00,112.50,108.15, 110.70,111.05,3899446,4303.29
26-Oct-2011,107.05,109.75,104.40, 105.30,106.15,484972,517.67
25-Oct-2011,102.00,108.50,99.80, 108.25,106.90,3470892,3637.60
24-Oct-2011,99.40,101.35,99.20, 100.70,101.05,2136802,2153.39
21-Oct-2011,100.50,101.25,96.65, 97.40,97.00,2359113,2334.71
20-Oct-2011,100.35,101.45,98.50, 100.00,100.25,2077795,2068.63
19-Oct-2011,99.15,103.40,99.15, 102.50,102.85,2109725,2154.43
18-Oct-2011,100.00,100.75,97.60, 98.95,98.80,2161926,2134.45
17-Oct-2011,99.45,104.25,99.35, 101.90,102.15,4088773,4164.10
14-Oct-2011,96.50,100.30,95.80, 97.55,98.55,1628758,1602.71
13-Oct-2011,102.00,104.50,96.10, 96.20,97.25,4777763,4711.50
12-Oct-2011,98.00,101.25,94.65, 101.00,99.60,2066563,2008.47
11-Oct-2011,98.20,98.35,95.00, 97.10,97.15,1963840,1907.00
10-Oct-2011,88.00,96.00,88.00, 94.75,95.20,1663216,1545.50
07-Oct-2011,83.00,89.00,82.05, 88.20,88.30,896657,782.87
05-Oct-2011,83.65,86.05,81.20, 81.90,81.65,2183907,1818.73
04-Oct-2011,86.90,86.90,82.75, 84.00,83.75,2168056,1822.27
03-Oct-2011,88.10,88.10,85.65, 87.00,87.00,2069270,1800.31
30-Sep-2011,89.95,91.70,87.05, 88.25,87.95,1222691,1094.81
29-Sep-2011,87.50,92.00,86.35, 90.20,90.10,2061768,1843.87
28-Sep-2011,93.50,94.40,88.55, 88.70,89.50,1199999,1088.77
27-Sep-2011,90.05,93.50,89.50, 93.35,93.00,1394300,1278.36
26-Sep-2011,87.00,89.40,85.00, 88.50,88.20,2747426,2412.72
23-Sep-2011,89.10,89.50,85.25, 87.50,87.50,1083670,948.82
22-Sep-2011,93.00,93.00,88.40, 88.50,89.10,766530,691.37
21-Sep-2011,96.00,96.60,93.50, 94.50,94.70,1611504,1525.17
20-Sep-2011,95.95,96.80,94.50, 95.25,94.95,1037228,993.00
19-Sep-2011,96.70,97.85,94.05, 94.75,94.75,1523106,1460.53
16-Sep-2011,91.05,97.50,91.05, 96.00,95.90,2248255,2143.43
15-Sep-2011,86.00,90.75,84.85, 90.40,90.20,1037227,908.03
14-Sep-2011,86.70,86.70,84.00, 85.50,85.25,415582,354.15
13-Sep-2011,87.50,87.50,82.40, 83.10,83.40,763265,641.45
12-Sep-2011,85.75,87.40,82.10, 85.30,85.05,989147,841.65
09-Sep-2011,464.00,465.00,447.00, 448.00,448.45,196623,893.78
08-Sep-2011,449.45,464.75,449.45, 463.25,462.90,267886,1227.05
07-Sep-2011,449.30,459.60,442.40, 448.00,448.25,347478,1568.77
06-Sep-2011,435.95,454.50,433.00, 453.50,448.65,667572,2976.49
05-Sep-2011,421.20,442.25,421.20, 435.65,439.70,595125,2602.72
02-Sep-2011,424.95,442.00,422.15, 434.50,435.25,534581,2316.51
30-Aug-2011,430.10,439.50,418.45, 429.65,429.65,423058,1814.82
29-Aug-2011,415.05,428.90,412.65, 426.90,424.60,489053,2066.55
26-Aug-2011,415.00,425.60,404.00, 407.00,407.85,604052,2513.07
25-Aug-2011,402.15,415.70,402.10, 415.00,411.55,672559,2765.79
24-Aug-2011,409.10,411.40,397.00, 399.00,401.65,366731,1485.58
23-Aug-2011,415.00,415.85,403.90, 405.50,406.70,309507,1263.45
22-Aug-2011,429.00,429.00,401.15, 410.05,411.00,607566,2480.51
19-Aug-2011,413.00,416.00,400.00, 405.00,405.25,965109,3928.18
18-Aug-2011,420.20,430.00,412.90, 416.25,418.40,647585,2696.53
17-Aug-2011,436.20,438.00,418.25, 426.00,423.65,465012,1975.16
16-Aug-2011,456.20,458.95,431.50, 437.90,436.30,323038,1435.27
12-Aug-2011,473.05,473.05,445.00, 449.80,449.70,1462985,6592.81
11-Aug-2011,465.00,481.40,460.90, 469.55,473.90,205901,971.81
10-Aug-2011,460.00,479.20,460.00, 468.00,469.85,799058,3755.18
09-Aug-2011,441.30,454.90,431.00, 447.00,449.30,1012143,4525.83
08-Aug-2011,465.55,476.90,444.50, 464.00,462.40,1105526,5038.13
05-Aug-2011,500.00,500.90,480.00, 490.45,487.50,729761,3569.21
04-Aug-2011,525.20,532.20,511.85, 517.00,515.55,196280,1020.54
03-Aug-2011,535.00,535.00,523.05, 529.70,526.75,377917,1988.97
02-Aug-2011,545.00,545.00,535.60, 537.10,537.70,113258,610.63
01-Aug-2011,548.90,555.00,543.50, 548.00,546.95,83953,459.28
29-Jul-2011,545.65,550.80,541.05, 547.15,546.30,252178,1375.28
28-Jul-2011,541.00,550.50,536.00, 543.50,545.50,174012,945.43
27-Jul-2011,550.00,551.45,541.20, 545.00,544.45,129592,705.17
26-Jul-2011,561.00,567.95,547.10, 550.00,549.00,152692,845.42
25-Jul-2011,559.05,567.40,552.00, 565.00,565.00,195915,1100.66
22-Jul-2011,555.00,560.00,551.30, 558.00,556.95,277742,1544.07
21-Jul-2011,553.10,560.90,548.55, 548.55,551.25,201774,1120.57
20-Jul-2011,568.00,569.00,552.30, 553.40,553.80,148505,830.26
19-Jul-2011,568.85,569.30,556.00, 564.00,562.70,512575,2879.29
18-Jul-2011,592.80,596.85,585.00, 590.00,588.95,741384,4372.40
15-Jul-2011,595.05,599.05,585.00, 591.90,587.65,363437,2146.77
14-Jul-2011,590.00,602.50,588.45, 591.90,595.45,807235,4834.44
13-Jul-2011,592.95,597.00,586.10, 594.50,594.40,552728,3283.53
12-Jul-2011,589.95,594.40,562.90, 583.45,581.50,683006,3958.97
11-Jul-2011,590.05,601.00,587.50, 594.70,594.95,316135,1882.60
08-Jul-2011,584.95,607.45,574.90, 590.00,592.65,928311,5515.98
07-Jul-2011,570.00,579.40,563.50, 573.10,573.70,1797947,10307.39
06-Jul-2011,564.40,569.40,560.20, 564.10,565.45,848283,4795.33
05-Jul-2011,556.95,569.45,551.00, 563.95,563.90,802498,4525.33
04-Jul-2011,542.05,556.35,541.05, 553.00,554.00,1062122,5836.03
01-Jul-2011,544.05,547.80,536.00, 539.30,539.05,1160574,6281.72
30-Jun-2011,540.00,549.00,535.10, 541.55,542.20,853534,4623.37
29-Jun-2011,538.00,556.70,535.10, 542.00,545.00,1512690,8274.42
28-Jun-2011,535.05,539.50,531.85, 533.20,532.85,968576,5168.20
27-Jun-2011,530.25,535.95,526.50, 532.00,532.20,1130479,6001.63
24-Jun-2011,535.00,542.50,532.00, 532.85,536.50,685165,3688.87
23-Jun-2011,534.95,539.00,525.00, 532.00,531.55,509185,2709.69
22-Jun-2011,535.00,537.20,530.00, 534.00,534.05,489527,2612.04
21-Jun-2011,540.00,544.95,529.00, 530.20,530.10,630079,3354.46
20-Jun-2011,570.20,572.00,532.00, 542.05,539.15,290682,1584.01
17-Jun-2011,584.00,595.00,563.50, 565.50,565.60,207236,1183.88
16-Jun-2011,586.95,586.95,573.00, 576.90,575.60,127827,739.95
15-Jun-2011,582.30,589.00,574.10, 581.70,579.75,433486,2506.62
14-Jun-2011,594.10,594.10,580.00, 581.50,582.30,559128,3280.90
13-Jun-2011,598.00,603.15,590.00, 593.20,594.10,90625,538.57
10-Jun-2011,596.00,599.80,594.00, 597.00,597.45,162063,966.84
09-Jun-2011,604.70,609.80,592.00, 597.00,596.30,143714,856.16
08-Jun-2011,623.75,623.75,598.10, 600.00,600.80,210537,1274.27
07-Jun-2011,607.95,609.00,600.25, 606.00,606.65,326178,1974.94
06-Jun-2011,599.00,607.90,592.20, 606.95,602.15,137041,822.99
03-Jun-2011,611.00,616.95,598.75, 601.90,600.20,600337,3632.19
02-Jun-2011,620.00,620.00,608.20, 610.15,610.20,411131,2509.60
01-Jun-2011,625.00,627.35,615.00, 623.05,623.90,282978,1763.24
31-May-2011,623.80,626.40,616.80, 625.00,624.05,102087,634.45
30-May-2011,616.05,621.70,605.20, 618.35,619.10,281169,1733.72
27-May-2011,651.00,665.00,596.60, 610.05,612.10,1334890,8138.67
26-May-2011,633.00,646.95,633.00, 644.80,640.65,728434,4660.39
25-May-2011,625.10,637.00,625.10, 633.00,630.25,357114,2253.93
24-May-2011,632.15,639.60,625.40, 628.80,629.95,419060,2647.50
23-May-2011,664.80,664.80,627.10, 629.95,631.10,558406,3581.27
20-May-2011,660.90,673.40,656.60, 665.00,666.90,287096,1911.63
19-May-2011,656.10,667.40,651.05, 662.25,660.90,397361,2624.31
18-May-2011,675.00,676.00,654.05, 659.30,656.10,283932,1870.19
17-May-2011,692.25,693.95,673.05, 677.00,678.10,96432,656.30
16-May-2011,695.00,698.00,682.10, 689.00,690.75,175364,1207.15
13-May-2011,694.00,711.00,684.15, 704.95,704.70,590951,4149.64
12-May-2011,684.55,705.00,682.40, 696.00,694.55,701070,4889.54
11-May-2011,679.60,689.25,671.20, 689.25,686.70,337035,2297.18
10-May-2011,670.00,686.00,667.05, 676.00,679.60,1964730,13366.78
09-May-2011,659.05,675.00,656.10, 673.00,673.15,415928,2766.43
06-May-2011,629.85,669.90,629.85, 665.00,666.05,339531,2216.13
05-May-2011,641.00,652.70,624.15, 624.15,627.80,108683,695.15
04-May-2011,632.05,649.80,625.05, 639.00,638.75,327443,2088.35
03-May-2011,668.25,674.50,630.05, 642.00,637.00,402288,2611.50
02-May-2011,684.00,684.00,668.00, 676.00,674.00,162632,1095.27
29-Apr-2011,675.10,685.15,673.50, 681.00,679.50,200863,1367.65
28-Apr-2011,688.05,689.40,673.95, 682.10,678.15,649358,4429.55
27-Apr-2011,691.05,695.50,683.00, 683.00,685.65,203834,1405.21
26-Apr-2011,698.00,698.00,681.30, 688.00,690.45,346056,2380.51
25-Apr-2011,696.95,704.00,689.05, 692.95,693.30,71326,496.13
21-Apr-2011,696.45,708.00,694.00, 694.15,696.20,725635,5076.69
20-Apr-2011,686.05,696.00,685.00, 693.05,694.95,642982,4438.99
19-Apr-2011,673.75,682.20,664.00, 680.05,678.95,203630,1370.73
18-Apr-2011,688.50,699.00,670.00, 676.00,673.45,250636,1716.31
15-Apr-2011,696.60,707.80,684.20, 688.00,688.05,169941,1183.87
13-Apr-2011,686.95,701.45,681.20, 698.90,699.00,551546,3850.26
11-Apr-2011,704.15,704.15,683.05, 686.40,689.35,213762,1482.11
08-Apr-2011,712.00,714.85,697.50, 712.80,709.55,639571,4523.81
07-Apr-2011,704.95,714.80,704.95, 710.70,711.20,387280,2755.64
06-Apr-2011,721.00,724.95,707.00, 708.90,709.45,789152,5629.90
05-Apr-2011,716.00,716.00,700.15, 706.65,710.85,331007,2341.99
04-Apr-2011,715.00,718.00,703.70, 706.00,706.40,407264,2886.39
01-Apr-2011,699.00,714.50,698.20, 702.15,706.75,213371,1511.44
31-Mar-2011,720.05,727.60,690.00, 699.10,695.90,1092885,7703.23
30-Mar-2011,719.90,729.75,714.95, 720.00,719.90,601159,4334.29
29-Mar-2011,696.90,715.45,692.55, 711.50,708.50,524344,3689.39
28-Mar-2011,680.00,695.75,669.50, 693.00,692.65,266827,1832.45
25-Mar-2011,659.40,685.75,658.00, 679.50,678.95,334463,2238.87
24-Mar-2011,644.00,657.80,642.10, 656.50,655.45,123941,809.26
23-Mar-2011,648.40,648.40,636.00, 637.60,641.00,80683,517.26
22-Mar-2011,624.05,644.80,624.00, 643.00,643.15,103491,663.32
21-Mar-2011,630.05,635.95,623.50, 628.60,628.40,212434,1335.42
18-Mar-2011,642.00,649.50,624.00, 628.10,629.95,263879,1667.04
17-Mar-2011,643.00,653.65,636.10, 642.10,640.10,151498,971.95
16-Mar-2011,645.15,660.00,640.10, 652.05,652.70,82044,536.44
15-Mar-2011,650.00,653.45,635.00, 635.30,637.70,153880,993.91
14-Mar-2011,665.05,665.05,651.10, 658.20,658.95,249591,1639.01
11-Mar-2011,662.20,686.70,650.00, 664.20,664.60,353696,2362.52
10-Mar-2011,670.05,675.95,661.00, 668.00,668.15,105337,703.08
09-Mar-2011,660.00,679.75,651.00, 672.00,675.40,261028,1744.18
08-Mar-2011,637.95,656.80,637.95, 652.85,653.50,201586,1310.34
07-Mar-2011,650.05,651.50,630.00, 639.10,641.05,165914,1058.65
04-Mar-2011,668.00,675.00,649.00, 662.00,662.45,410822,2712.99
03-Mar-2011,642.00,669.90,620.25, 664.95,660.15,444539,2870.55
01-Mar-2011,608.70,649.00,608.50, 642.65,645.45,445177,2828.80
28-Feb-2011,611.15,631.95,586.60, 599.75,601.95,681371,4155.64
25-Feb-2011,602.00,615.00,591.20, 614.00,609.35,1109701,6705.91
24-Feb-2011,630.00,632.90,576.60, 595.60,588.30,1082679,6450.66
23-Feb-2011,639.65,653.45,627.00, 627.00,630.95,195531,1254.89
22-Feb-2011,661.50,661.50,634.10, 641.95,642.25,332009,2130.20
21-Feb-2011,686.00,686.00,647.05, 665.10,664.20,165349,1093.93
18-Feb-2011,717.50,722.90,677.50, 682.00,680.60,200265,1398.98
17-Feb-2011,717.10,719.00,708.00, 714.00,714.00,198784,1419.47
16-Feb-2011,729.90,733.00,709.00, 717.55,717.15,327676,2354.66
15-Feb-2011,739.20,739.25,708.25, 729.90,727.65,457827,3310.71
14-Feb-2011,755.00,755.00,710.00, 728.00,727.10,434683,3173.53
11-Feb-2011,680.00,713.00,666.00, 713.00,698.50,137911,946.97
10-Feb-2011,665.00,683.40,651.15, 674.90,673.90,114954,767.78
09-Feb-2011,658.05,676.90,640.00, 662.50,656.20,161639,1065.01
08-Feb-2011,693.05,696.90,662.35, 664.70,665.55,188029,1273.39
07-Feb-2011,695.00,705.40,670.00, 691.00,694.25,155118,1071.43
04-Feb-2011,700.00,726.00,692.00, 696.00,698.35,327426,2336.81
03-Feb-2011,689.95,705.20,671.00, 699.00,700.15,138008,959.54
02-Feb-2011,665.00,690.70,663.00, 673.70,675.85,267058,1807.13
01-Feb-2011,695.05,698.00,651.10, 652.05,657.50,346688,2309.87
31-Jan-2011,669.90,712.95,652.10, 706.00,699.40,548374,3719.45
28-Jan-2011,712.00,714.00,666.10, 684.00,683.90,1094932,7455.38
27-Jan-2011,713.35,732.90,705.15, 711.00,710.50,393451,2831.97
25-Jan-2011,744.00,744.00,716.10, 724.90,721.30,341333,2479.51
24-Jan-2011,735.05,738.00,724.15, 735.00,734.95,334300,2447.38
21-Jan-2011,728.00,735.00,719.95, 735.00,733.70,347091,2533.40
20-Jan-2011,717.00,731.00,702.05, 730.00,729.30,485725,3491.94
19-Jan-2011,728.15,729.85,717.00, 717.00,720.60,124245,899.23
18-Jan-2011,732.00,741.00,721.95, 724.00,725.75,656898,4815.09
17-Jan-2011,724.85,734.00,707.45, 727.90,725.95,144612,1047.04
