Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,89.05,89.90,86.55, 87.30,87.25,1437486,1263.31
29-Dec-2011,92.50,92.50,87.65, 88.00,88.50,2127477,1896.81
28-Dec-2011,93.40,94.20,91.15, 91.60,92.00,5649736,5213.63
27-Dec-2011,89.25,91.00,88.55, 90.50,90.55,3002509,2703.00
26-Dec-2011,88.90,89.20,87.50, 88.85,88.40,992508,878.37
23-Dec-2011,90.30,91.00,87.45, 88.00,88.05,1542203,1370.60
22-Dec-2011,85.60,89.60,85.30, 89.00,89.10,1897305,1658.34
21-Dec-2011,83.95,87.75,81.50, 86.50,86.90,3963660,3356.40
20-Dec-2011,86.80,87.90,80.15, 81.55,81.00,3611790,3011.50
19-Dec-2011,87.45,88.00,84.80, 85.95,86.45,3598250,3082.10
16-Dec-2011,91.05,94.25,86.15, 87.50,88.75,6245517,5727.09
15-Dec-2011,86.00,91.40,85.00, 91.00,90.70,5406891,4803.47
14-Dec-2011,90.05,90.35,86.20, 86.75,86.75,3297306,2923.44
13-Dec-2011,88.35,91.90,87.00, 90.30,90.50,5473670,4951.21
12-Dec-2011,96.30,96.50,86.20, 88.50,88.45,4301308,3935.54
09-Dec-2011,97.05,97.30,93.80, 94.50,95.20,1844114,1768.38
08-Dec-2011,97.40,99.35,95.10, 97.60,98.20,2704066,2636.21
07-Dec-2011,97.25,100.95,96.50, 97.05,97.85,2863805,2839.20
05-Dec-2011,98.00,98.70,96.15, 97.25,97.40,1730007,1684.77
02-Dec-2011,93.90,100.45,91.50, 99.00,97.60,4089494,3859.41
01-Dec-2011,94.85,94.85,92.75, 92.90,92.95,2590220,2421.52
30-Nov-2011,92.00,92.45,90.20, 92.10,91.75,2365824,2159.19
29-Nov-2011,94.70,94.70,91.70, 92.20,92.05,1271485,1175.26
28-Nov-2011,94.00,95.00,91.80, 94.10,93.95,3188205,2989.56
25-Nov-2011,92.75,93.90,91.20, 92.15,92.30,1163604,1071.59
24-Nov-2011,90.95,93.40,90.10, 93.00,92.05,4115244,3777.62
23-Nov-2011,93.50,94.25,90.25, 91.00,91.05,2755427,2527.10
22-Nov-2011,97.45,97.45,92.65, 94.05,93.90,3285632,3104.16
21-Nov-2011,96.70,98.00,95.75, 96.05,96.05,2260963,2185.10
18-Nov-2011,95.00,98.00,94.00, 97.25,97.15,2878923,2743.58
17-Nov-2011,98.00,98.45,94.60, 95.40,95.05,2785461,2689.50
16-Nov-2011,97.90,99.25,96.50, 98.35,98.10,2788772,2730.71
15-Nov-2011,94.90,99.80,93.30, 98.40,98.80,5225694,5083.25
14-Nov-2011,103.00,103.05,99.00, 99.00,101.35,2776295,2819.32
11-Nov-2011,101.90,102.70,99.85, 102.00,102.10,1956643,1984.60
09-Nov-2011,103.00,104.25,101.55, 101.75,102.35,1469162,1511.99
08-Nov-2011,104.45,104.50,102.25, 103.25,103.10,958419,987.92
04-Nov-2011,106.00,106.00,102.55, 103.25,103.30,1711387,1782.89
03-Nov-2011,101.55,106.00,101.55, 104.80,105.40,3916349,4077.05
02-Nov-2011,100.00,102.80,99.80, 102.05,102.05,4397999,4486.57
01-Nov-2011,100.70,101.85,99.50, 101.00,101.05,6684738,6750.56
31-Oct-2011,103.00,103.00,99.25, 100.40,100.45,3451849,3462.47
28-Oct-2011,106.00,106.20,100.70, 101.80,101.95,5763494,5880.97
26-Oct-2011,100.80,101.55,100.15, 100.95,101.00,488892,494.23
25-Oct-2011,99.00,100.70,98.10, 99.50,100.00,5352133,5315.35
24-Oct-2011,98.65,99.15,97.85, 98.10,98.45,1830032,1801.81
21-Oct-2011,98.10,98.80,96.50, 97.80,97.25,2241248,2184.15
20-Oct-2011,99.95,100.05,96.60, 97.50,97.45,2832638,2780.66
19-Oct-2011,101.00,101.00,99.35, 99.95,100.15,2513063,2521.57
18-Oct-2011,99.40,100.80,98.80, 100.25,100.25,2287658,2291.36
17-Oct-2011,101.30,101.30,99.50, 99.85,100.00,2930676,2931.11
14-Oct-2011,99.00,101.15,98.80, 100.05,100.15,2832243,2837.83
13-Oct-2011,102.60,102.70,98.50, 98.60,98.80,4080390,4077.34
12-Oct-2011,102.95,103.95,99.00, 101.25,101.20,6028122,6069.50
11-Oct-2011,105.00,106.20,102.05, 102.25,102.70,6476284,6770.66
10-Oct-2011,98.25,106.25,97.10, 103.50,103.60,8623546,8813.62
07-Oct-2011,102.00,103.30,97.25, 97.50,98.30,3409751,3405.37
05-Oct-2011,97.00,99.65,96.10, 98.95,98.20,4058312,3961.00
04-Oct-2011,97.40,98.25,95.75, 96.15,96.75,2386324,2313.67
03-Oct-2011,99.00,99.00,95.00, 97.60,96.75,3264287,3142.87
30-Sep-2011,101.50,101.50,99.00, 99.30,99.85,4269265,4269.21
29-Sep-2011,101.00,103.40,99.35, 101.05,102.05,4844832,4889.63
28-Sep-2011,102.20,102.20,100.00, 100.70,100.85,3382648,3414.78
27-Sep-2011,98.70,102.00,98.10, 101.50,101.15,3040676,3041.67
26-Sep-2011,101.35,101.55,92.45, 95.45,96.90,3058567,3032.75
23-Sep-2011,970.10,998.80,966.55, 993.00,990.70,464976,4589.01
22-Sep-2011,992.00,1010.90,966.25, 973.00,978.65,601781,5967.28
21-Sep-2011,995.00,1000.00,986.15, 998.20,998.80,757210,7507.91
20-Sep-2011,984.90,1000.00,976.75, 1000.00,997.80,645654,6371.44
19-Sep-2011,983.00,992.50,975.50, 987.35,986.05,298815,2944.60
16-Sep-2011,961.90,999.00,961.90, 981.00,984.95,998133,9840.09
15-Sep-2011,965.00,968.50,950.00, 953.00,958.00,1012949,9704.50
14-Sep-2011,989.40,989.40,948.00, 959.55,959.40,509980,4897.82
13-Sep-2011,997.25,1010.95,972.25, 979.95,979.85,680562,6766.90
12-Sep-2011,998.00,998.00,982.00, 994.00,994.90,316485,3131.85
09-Sep-2011,1033.95,1034.00,998.50, 1004.00,1002.05,391110,3948.45
08-Sep-2011,1050.00,1053.75,1022.10, 1027.95,1027.05,463574,4783.12
07-Sep-2011,1008.00,1052.00,1008.00, 1037.00,1038.55,655874,6816.81
06-Sep-2011,1011.00,1023.00,995.15, 999.40,1000.95,469277,4747.78
05-Sep-2011,1024.00,1036.20,997.35, 1011.05,1011.60,471709,4775.18
02-Sep-2011,1075.00,1080.25,1006.35, 1023.35,1020.20,487540,5009.15
30-Aug-2011,1059.85,1066.40,1028.20, 1047.00,1044.75,314041,3283.91
29-Aug-2011,1015.00,1056.00,1013.10, 1047.00,1044.85,250883,2611.96
26-Aug-2011,1045.85,1046.05,1006.40, 1012.00,1013.15,553315,5622.15
25-Aug-2011,1044.00,1057.65,1035.00, 1045.00,1045.85,702106,7364.93
24-Aug-2011,1066.00,1079.65,1031.00, 1045.00,1038.30,455814,4757.85
23-Aug-2011,1099.00,1100.00,1075.00, 1080.00,1086.35,112653,1218.71
22-Aug-2011,1050.00,1099.00,1036.40, 1093.15,1090.65,248389,2680.77
19-Aug-2011,1013.45,1061.70,1013.45, 1047.90,1053.65,276982,2888.05
18-Aug-2011,1075.10,1078.30,1032.00, 1040.15,1041.65,287338,3039.30
17-Aug-2011,1072.00,1085.00,1059.05, 1079.50,1073.45,623653,6663.38
16-Aug-2011,1089.10,1104.90,1070.25, 1085.00,1080.10,348591,3790.83
12-Aug-2011,1130.00,1141.00,1076.00, 1090.40,1085.50,745160,8258.84
