Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,54.00,55.95,53.25, 53.80,53.70,2425,1.32
29-Dec-2011,57.00,57.00,54.40, 54.50,55.15,2009,1.11
28-Dec-2011,56.15,57.90,55.00, 55.15,56.10,1932,1.09
27-Dec-2011,58.95,58.95,55.05, 58.50,57.20,16905,9.76
26-Dec-2011,56.00,58.50,55.20, 57.60,57.35,2193,1.25
23-Dec-2011,55.00,58.40,53.40, 57.00,55.00,3040,1.69
22-Dec-2011,59.00,59.00,53.10, 56.50,55.90,2131,1.17
21-Dec-2011,55.00,57.55,53.50, 54.30,55.40,3322,1.85
20-Dec-2011,55.45,57.40,53.00, 54.90,54.45,2355,1.29
19-Dec-2011,60.20,60.20,53.10, 53.40,53.95,30055,16.37
16-Dec-2011,60.50,61.00,57.05, 57.50,57.55,4873,2.88
15-Dec-2011,60.85,60.85,59.00, 59.00,59.30,6837,4.11
14-Dec-2011,58.80,61.45,58.00, 60.00,60.25,6173,3.69
13-Dec-2011,59.45,61.40,57.55, 60.00,59.35,19595,11.71
12-Dec-2011,60.75,62.25,59.00, 59.95,60.00,5414,3.24
09-Dec-2011,64.50,64.50,60.15, 60.50,60.60,9808,5.98
08-Dec-2011,63.95,63.95,62.00, 62.50,62.80,29003,18.32
07-Dec-2011,62.00,64.70,60.10, 63.70,63.90,7705,4.89
05-Dec-2011,70.00,70.00,61.80, 61.80,62.20,4577,2.89
02-Dec-2011,64.90,64.90,61.10, 61.90,61.80,13159,8.20
01-Dec-2011,65.00,65.00,62.35, 63.50,62.85,3144,1.99
30-Nov-2011,67.00,68.00,62.10, 62.50,62.80,3605,2.28
29-Nov-2011,65.00,67.00,63.65, 63.80,64.40,4567,2.97
28-Nov-2011,67.00,67.00,65.00, 65.50,65.90,3600,2.36
25-Nov-2011,64.00,66.95,61.50, 66.15,65.55,12132,7.91
24-Nov-2011,61.45,64.50,61.45, 63.00,62.95,1970,1.23
23-Nov-2011,64.50,65.90,60.55, 61.70,61.35,10468,6.41
22-Nov-2011,67.75,67.75,62.55, 63.50,63.45,5266,3.37
21-Nov-2011,68.90,68.90,60.95, 62.10,61.25,4261,2.64
18-Nov-2011,64.55,66.80,62.40, 63.50,63.25,17867,11.33
17-Nov-2011,66.05,67.25,63.65, 65.00,65.70,5994,3.93
16-Nov-2011,67.75,68.00,66.75, 67.00,67.20,14717,9.89
15-Nov-2011,70.50,71.40,67.10, 67.35,67.35,5061,3.46
14-Nov-2011,71.65,73.85,69.70, 70.75,70.20,8780,6.31
11-Nov-2011,72.50,73.00,70.00, 72.00,72.00,9376,6.66
09-Nov-2011,75.75,75.75,72.50, 73.40,72.75,4188,3.08
08-Nov-2011,74.00,75.90,72.90, 74.00,73.75,6096,4.48
04-Nov-2011,74.85,76.85,73.00, 74.50,74.55,7446,5.58
03-Nov-2011,74.60,74.60,73.05, 74.00,73.95,9598,7.09
02-Nov-2011,79.80,79.80,72.10, 72.50,73.75,11217,8.33
01-Nov-2011,77.90,78.90,76.10, 76.85,76.80,6825,5.28
31-Oct-2011,79.50,79.50,77.00, 77.15,77.30,15531,12.16
28-Oct-2011,79.80,81.00,77.10, 78.00,78.05,10378,8.15
26-Oct-2011,76.50,77.90,75.30, 77.40,77.20,2789,2.15
25-Oct-2011,75.45,76.00,74.85, 76.00,75.65,3409,2.58
24-Oct-2011,75.60,77.50,75.00, 75.00,75.15,5402,4.07
21-Oct-2011,76.00,79.70,74.50, 74.85,74.90,6229,4.71
20-Oct-2011,77.25,77.90,76.80, 77.10,77.20,2127,1.64
19-Oct-2011,79.75,79.80,77.00, 77.80,78.00,5696,4.45
18-Oct-2011,76.60,77.85,76.10, 77.00,77.20,3930,3.03
17-Oct-2011,79.20,81.15,74.00, 76.60,76.95,31093,23.74
14-Oct-2011,79.00,81.40,78.30, 79.70,79.60,3745,2.98
13-Oct-2011,80.50,81.40,79.60, 80.10,80.45,3857,3.10
12-Oct-2011,80.70,81.30,78.50, 80.05,80.20,2613,2.10
11-Oct-2011,82.90,82.90,79.20, 80.80,80.65,4509,3.62
10-Oct-2011,79.50,80.60,78.15, 79.10,78.95,3394,2.68
07-Oct-2011,83.55,83.55,78.70, 78.70,79.30,3278,2.62
05-Oct-2011,80.95,84.00,78.25, 78.25,79.00,71860,59.04
04-Oct-2011,84.00,84.00,78.85, 78.85,79.20,6136,4.92
03-Oct-2011,94.90,94.90,81.50, 81.50,81.60,7596,6.32
30-Sep-2011,87.00,87.75,85.10, 86.00,85.55,5378,4.63
29-Sep-2011,87.00,87.95,86.00, 87.95,87.50,3351,2.91
28-Sep-2011,87.00,87.30,85.55, 86.50,86.50,3295,2.85
27-Sep-2011,93.00,93.00,80.50, 88.00,87.85,12131,10.58
26-Sep-2011,85.90,85.90,82.05, 83.75,82.80,7702,6.38
23-Sep-2011,83.00,85.50,82.05, 84.00,84.35,10752,9.05
22-Sep-2011,86.00,86.90,84.25, 84.50,84.40,10093,8.58
21-Sep-2011,87.00,87.00,85.65, 86.00,86.65,9169,7.90
20-Sep-2011,85.00,96.00,83.55, 87.40,86.70,5076,4.38
19-Sep-2011,86.95,86.95,84.00, 86.75,86.10,11135,9.48
16-Sep-2011,88.90,88.90,81.55, 85.00,85.70,12153,10.29
15-Sep-2011,86.45,86.45,83.80, 84.55,84.60,7468,6.33
14-Sep-2011,86.00,86.00,83.00, 83.00,84.00,7666,6.49
13-Sep-2011,83.70,89.80,83.00, 84.25,84.35,18100,15.34
12-Sep-2011,84.15,87.45,82.25, 84.70,84.50,6524,5.46
09-Sep-2011,95.85,95.90,85.00, 85.00,85.80,5832,5.04
08-Sep-2011,91.90,91.90,85.10, 85.15,85.35,2879,2.47
07-Sep-2011,89.50,89.50,83.60, 85.05,85.20,6832,5.82
06-Sep-2011,82.05,85.75,82.05, 84.10,84.60,7225,6.09
05-Sep-2011,83.00,87.95,81.15, 82.30,82.50,4476,3.71
02-Sep-2011,83.00,86.00,82.00, 84.80,84.55,7611,6.37
30-Aug-2011,82.90,83.00,81.00, 81.95,82.05,1640,1.35
29-Aug-2011,79.70,82.40,79.20, 81.55,81.20,2432,1.98
26-Aug-2011,80.50,80.95,79.05, 80.00,79.70,8612,6.90
25-Aug-2011,83.55,83.55,79.00, 81.35,80.30,1591,1.27
24-Aug-2011,82.05,82.05,78.20, 78.25,79.45,6831,5.45
23-Aug-2011,79.50,83.90,77.50, 82.50,82.50,4964,4.00
22-Aug-2011,74.00,80.60,73.15, 80.00,79.05,8689,6.71
19-Aug-2011,76.75,79.00,74.00, 75.05,75.25,10160,7.70
18-Aug-2011,79.05,80.00,76.50, 76.50,76.75,12414,9.61
17-Aug-2011,84.00,84.00,77.10, 80.50,79.85,36036,28.58
16-Aug-2011,87.85,87.85,82.10, 82.20,82.25,7241,6.00
12-Aug-2011,84.00,85.75,82.20, 82.90,82.65,5820,4.87
11-Aug-2011,83.50,87.45,82.00, 85.50,84.55,12425,10.43
10-Aug-2011,83.15,86.40,83.15, 83.25,84.25,8199,6.94
09-Aug-2011,82.00,88.00,73.80, 81.00,81.30,22202,18.32
08-Aug-2011,86.00,86.00,80.00, 83.50,83.90,43155,35.50
05-Aug-2011,91.00,91.70,84.25, 86.00,85.80,57972,49.81
04-Aug-2011,92.00,93.45,91.00, 91.95,91.85,11464,10.50
03-Aug-2011,95.00,95.00,90.00, 92.50,91.35,14433,13.17
02-Aug-2011,92.00,92.20,88.10, 92.20,91.45,22491,20.17
01-Aug-2011,92.45,95.00,90.25, 90.25,90.75,16019,14.85
29-Jul-2011,96.20,98.45,91.50, 92.00,92.40,8125,7.65
28-Jul-2011,95.00,97.10,94.10, 95.80,96.20,8668,8.30
27-Jul-2011,97.30,98.00,93.70, 98.00,96.50,9896,9.44
26-Jul-2011,95.00,96.85,93.50, 96.60,96.20,10691,10.19
25-Jul-2011,93.20,96.90,93.20, 96.90,95.80,10165,9.71
22-Jul-2011,93.05,96.95,93.05, 95.00,94.75,16668,15.89
21-Jul-2011,94.50,96.20,92.30, 95.00,94.40,23300,21.92
20-Jul-2011,95.35,96.70,94.20, 94.60,94.60,11117,10.60
19-Jul-2011,98.35,98.35,94.20, 96.00,95.00,23531,22.41
18-Jul-2011,93.25,97.95,93.25, 95.60,96.25,19273,18.55
