Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,127.00,137.85,123.00, 132.50,135.75,22772,30.67
29-Dec-2011,128.00,130.90,121.50, 130.00,129.10,7470,9.55
28-Dec-2011,122.05,137.00,120.05, 132.00,129.55,1889,2.43
27-Dec-2011,121.00,125.95,115.00, 125.85,122.85,3563,4.31
26-Dec-2011,119.05,123.45,119.00, 123.00,122.90,464,0.57
23-Dec-2011,118.50,124.30,118.45, 118.50,119.35,7807,9.36
22-Dec-2011,115.10,119.05,115.00, 118.90,117.65,629,0.73
21-Dec-2011,117.75,117.75,115.00, 115.50,115.70,5041,5.84
20-Dec-2011,116.20,119.75,116.00, 117.50,117.25,2051,2.40
19-Dec-2011,116.00,126.00,114.00, 126.00,118.20,4521,5.32
16-Dec-2011,120.05,122.00,117.10, 117.50,117.70,6796,8.09
15-Dec-2011,121.60,121.60,120.00, 120.50,120.95,663,0.80
14-Dec-2011,122.00,128.95,122.00, 123.00,123.00,860,1.08
13-Dec-2011,125.00,125.00,119.05, 120.25,120.00,4085,5.06
12-Dec-2011,124.00,131.70,122.00, 125.00,125.70,2264,2.85
09-Dec-2011,122.00,129.90,122.00, 128.40,127.30,869,1.09
08-Dec-2011,123.70,125.65,122.75, 125.00,124.40,1613,2.01
07-Dec-2011,119.00,126.00,119.00, 123.75,122.50,1826,2.24
05-Dec-2011,119.05,119.05,115.15, 116.65,116.65,217,0.26
02-Dec-2011,118.15,120.30,118.00, 118.25,118.75,533,0.63
01-Dec-2011,117.00,119.20,117.00, 118.45,118.45,203,0.24
30-Nov-2011,119.10,120.35,112.05, 118.55,120.00,663,0.78
29-Nov-2011,121.10,123.00,121.00, 122.80,122.15,420,0.51
28-Nov-2011,122.15,124.00,121.00, 121.10,121.10,690,0.85
25-Nov-2011,118.00,120.95,117.70, 120.50,120.50,763,0.91
24-Nov-2011,118.00,120.00,109.15, 116.00,116.00,1875,2.10
23-Nov-2011,119.00,125.00,114.00, 115.50,116.30,2057,2.42
22-Nov-2011,123.00,123.00,110.00, 121.00,121.00,3819,4.59
21-Nov-2011,125.00,128.80,124.00, 124.40,125.00,1480,1.85
18-Nov-2011,125.00,128.40,125.00, 126.40,125.55,1342,1.68
17-Nov-2011,125.45,128.50,124.00, 126.95,125.90,16029,20.12
16-Nov-2011,127.00,128.90,122.55, 128.90,126.75,1664,2.07
15-Nov-2011,139.80,139.80,128.30, 129.00,129.00,3681,4.94
14-Nov-2011,138.00,138.65,134.25, 134.55,134.55,2619,3.57
11-Nov-2011,140.90,140.90,136.00, 136.00,136.60,198,0.27
09-Nov-2011,141.45,141.45,138.05, 138.05,139.50,369,0.52
08-Nov-2011,136.10,142.05,136.10, 141.85,141.75,382,0.53
04-Nov-2011,140.00,140.85,136.95, 139.10,137.75,533,0.74
03-Nov-2011,137.90,144.00,136.30, 136.80,138.00,597,0.82
02-Nov-2011,142.95,143.35,136.00, 137.00,136.70,86161,117.22
01-Nov-2011,144.00,144.00,140.05, 141.00,140.95,1095,1.55
31-Oct-2011,138.00,147.80,135.00, 143.80,142.95,3064,4.30
28-Oct-2011,136.00,136.00,133.50, 135.90,135.65,835,1.13
26-Oct-2011,135.00,135.00,130.05, 135.00,134.90,647,0.87
25-Oct-2011,133.00,134.50,131.00, 132.00,132.45,592,0.78
24-Oct-2011,133.05,137.00,133.05, 134.00,135.00,387,0.52
21-Oct-2011,135.00,135.50,132.65, 133.05,133.05,449,0.60
20-Oct-2011,135.00,135.80,133.05, 133.15,133.15,242,0.33
