Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,15.55,15.95,15.00, 15.25,15.35,22617,3.49
29-Dec-2011,15.60,16.00,15.45, 15.45,15.55,20720,3.25
28-Dec-2011,15.95,16.90,15.95, 16.05,16.20,15406,2.50
27-Dec-2011,16.40,16.75,16.25, 16.35,16.40,4550,0.75
26-Dec-2011,16.15,16.60,16.15, 16.45,16.35,12851,2.11
23-Dec-2011,16.40,16.45,15.60, 15.75,15.85,15462,2.48
22-Dec-2011,16.50,16.60,15.60, 15.70,15.95,13660,2.18
21-Dec-2011,16.35,16.45,15.80, 16.35,16.25,20004,3.24
20-Dec-2011,16.75,16.80,15.70, 15.70,15.70,19507,3.10
19-Dec-2011,17.10,17.10,16.40, 16.65,16.50,11279,1.87
16-Dec-2011,18.30,18.85,17.10, 17.10,17.25,66340,12.05
15-Dec-2011,18.30,18.50,17.95, 18.00,18.00,16325,2.97
14-Dec-2011,18.35,19.25,17.80, 18.70,18.90,115413,21.88
13-Dec-2011,18.65,18.65,18.35, 18.35,18.35,13293,2.45
12-Dec-2011,20.45,20.45,18.65, 18.65,19.30,43788,8.52
09-Dec-2011,19.00,19.75,18.20, 19.55,19.60,94728,18.16
08-Dec-2011,18.85,18.85,18.00, 18.85,18.85,91596,17.14
07-Dec-2011,16.65,17.95,16.65, 17.95,17.95,65919,11.69
05-Dec-2011,17.10,17.30,16.50, 16.95,17.10,32728,5.54
02-Dec-2011,17.00,17.00,16.35, 16.60,16.75,11236,1.87
01-Dec-2011,17.20,17.20,16.40, 16.80,16.70,16228,2.72
30-Nov-2011,16.65,17.15,16.20, 16.45,16.55,13094,2.17
29-Nov-2011,16.30,16.90,16.30, 16.60,16.50,19188,3.19
28-Nov-2011,16.20,16.95,16.20, 16.55,16.55,21645,3.59
25-Nov-2011,16.00,17.10,16.00, 16.80,16.55,55312,9.23
24-Nov-2011,15.55,16.45,15.50, 16.45,16.30,26588,4.27
23-Nov-2011,16.00,16.45,15.90, 16.15,16.05,31667,5.12
22-Nov-2011,16.35,16.85,16.10, 16.50,16.40,44384,7.29
21-Nov-2011,16.55,17.50,16.50, 17.00,16.85,38608,6.54
18-Nov-2011,18.70,18.70,17.30, 17.30,17.35,88799,15.66
17-Nov-2011,19.50,19.70,18.00, 18.10,18.20,160469,29.47
16-Nov-2011,19.90,20.25,18.25, 18.75,18.70,372741,72.29
15-Nov-2011,21.10,21.10,18.95, 19.45,19.65,223922,44.14
14-Nov-2011,23.60,23.60,20.85, 21.10,21.05,126090,27.42
11-Nov-2011,23.50,24.05,21.15, 22.65,22.80,346881,78.44
09-Nov-2011,27.00,27.00,23.00, 23.50,23.40,654828,158.01
08-Nov-2011,30.90,30.90,25.80, 25.85,26.15,757624,207.33
04-Nov-2011,31.30,32.65,28.60, 28.70,28.80,619233,185.34
03-Nov-2011,33.15,33.15,31.25, 31.35,31.35,89155,28.53
02-Nov-2011,33.50,33.75,32.00, 32.05,32.25,298789,97.71
01-Nov-2011,33.30,33.90,32.75, 32.75,33.10,168386,56.16
31-Oct-2011,33.20,34.35,33.00, 33.35,33.40,54518,18.34
28-Oct-2011,34.50,34.50,33.20, 33.30,33.60,246732,83.95
26-Oct-2011,35.70,35.70,33.50, 34.00,33.70,14925,5.05
25-Oct-2011,34.00,34.35,33.10, 33.10,33.30,51824,17.40
24-Oct-2011,34.65,34.65,32.65, 32.70,33.10,20291,6.83
21-Oct-2011,34.70,34.70,33.40, 33.40,33.55,31924,10.82
20-Oct-2011,33.50,34.10,33.50, 34.00,33.80,28231,9.54
19-Oct-2011,34.40,35.15,33.70, 34.00,34.05,53082,18.24
18-Oct-2011,35.35,35.35,33.30, 33.60,33.55,34405,11.67
17-Oct-2011,35.00,35.30,34.10, 34.55,34.60,28719,9.98
14-Oct-2011,34.80,35.45,34.05, 34.40,34.50,56543,19.75
13-Oct-2011,35.05,35.90,34.50, 34.90,34.90,78735,27.78
12-Oct-2011,34.75,35.80,34.65, 35.05,34.90,71949,25.24
11-Oct-2011,35.50,36.00,34.25, 34.60,34.60,96668,34.05
10-Oct-2011,35.20,35.45,34.50, 34.95,34.85,30238,10.57
