Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,19.20,19.80,19.15, 19.45,19.35,6408,1.25
29-Dec-2011,19.40,19.75,19.30, 19.35,19.40,3736,0.73
28-Dec-2011,19.90,19.90,19.25, 19.50,19.65,19360,3.82
27-Dec-2011,19.95,19.95,19.20, 19.60,19.60,9316,1.83
26-Dec-2011,19.45,19.95,18.55, 19.45,19.50,15711,3.04
23-Dec-2011,19.95,20.40,18.95, 19.75,19.40,27873,5.47
22-Dec-2011,19.75,19.75,18.60, 18.90,18.95,54736,10.35
21-Dec-2011,20.00,20.00,19.50, 19.80,19.65,7995,1.58
20-Dec-2011,20.00,20.00,19.10, 19.70,19.65,16570,3.23
19-Dec-2011,20.45,20.45,19.05, 19.75,19.70,25942,5.06
16-Dec-2011,22.10,22.10,19.85, 20.00,20.00,66370,13.57
15-Dec-2011,21.00,21.45,21.00, 21.10,21.25,8989,1.91
14-Dec-2011,21.70,21.90,21.10, 21.75,21.60,13096,2.83
13-Dec-2011,21.15,22.30,21.10, 21.90,21.90,8653,1.88
12-Dec-2011,22.35,22.80,21.25, 21.25,21.80,17108,3.78
09-Dec-2011,22.95,22.95,22.60, 22.95,22.85,5018,1.14
08-Dec-2011,22.60,23.25,22.60, 23.25,23.05,15260,3.51
07-Dec-2011,23.40,23.45,22.85, 23.00,22.95,11767,2.71
05-Dec-2011,23.60,23.60,23.00, 23.20,23.20,5605,1.30
02-Dec-2011,23.15,23.70,22.95, 23.00,23.05,28018,6.47
01-Dec-2011,23.30,23.75,23.20, 23.30,23.35,13195,3.10
30-Nov-2011,23.15,23.60,22.95, 23.25,23.10,20150,4.71
29-Nov-2011,23.15,24.00,23.15, 23.45,23.55,5642,1.34
28-Nov-2011,24.50,24.90,23.15, 23.50,23.50,5027,1.17
25-Nov-2011,22.00,23.40,22.00, 23.30,23.15,9559,2.20
24-Nov-2011,22.15,22.50,21.25, 22.50,22.40,15861,3.51
23-Nov-2011,22.30,22.95,22.30, 22.70,22.55,14311,3.23
22-Nov-2011,22.90,23.25,22.35, 23.15,23.05,25128,5.78
21-Nov-2011,23.45,23.80,22.20, 22.20,22.70,29483,6.78
18-Nov-2011,24.10,24.50,23.05, 23.50,23.45,63465,15.14
17-Nov-2011,24.00,24.90,24.00, 24.30,24.20,54235,13.26
16-Nov-2011,24.00,24.70,23.90, 24.35,24.10,45535,11.05
15-Nov-2011,24.45,24.75,24.20, 24.45,24.35,21479,5.23
14-Nov-2011,25.10,26.00,24.15, 24.20,24.20,69371,16.96
11-Nov-2011,25.05,25.90,24.75, 25.15,25.10,26602,6.67
09-Nov-2011,25.80,26.00,25.30, 25.75,25.40,27509,7.06
08-Nov-2011,26.00,26.05,25.00, 25.25,25.25,62124,15.77
04-Nov-2011,26.10,26.45,25.85, 26.30,26.25,33946,8.86
03-Nov-2011,26.40,26.75,25.90, 26.00,26.00,44418,11.63
02-Nov-2011,26.80,26.80,26.30, 26.70,26.60,13468,3.59
01-Nov-2011,26.10,26.75,26.10, 26.65,26.40,6765,1.79
31-Oct-2011,26.70,26.70,26.15, 26.20,26.30,23824,6.28
28-Oct-2011,26.15,26.90,26.15, 26.65,26.50,16785,4.46
26-Oct-2011,27.00,27.00,25.50, 26.65,26.30,3814,1.00
25-Oct-2011,26.85,26.85,25.90, 25.90,26.00,26090,6.80
24-Oct-2011,26.80,27.00,26.05, 26.05,26.20,19518,5.15
21-Oct-2011,26.40,27.00,26.40, 26.70,26.85,5073,1.36
20-Oct-2011,26.95,26.95,26.25, 26.30,26.45,13884,3.68
19-Oct-2011,26.65,27.40,26.60, 27.15,27.00,6783,1.83
18-Oct-2011,26.90,26.90,26.10, 26.75,26.65,16297,4.35
17-Oct-2011,27.05,27.90,26.90, 27.25,27.05,14438,3.91
14-Oct-2011,27.05,27.80,27.05, 27.45,27.45,7640,2.09
13-Oct-2011,28.00,28.00,27.40, 27.40,27.40,36335,10.01
12-Oct-2011,27.50,28.00,27.50, 27.95,27.75,17101,4.75
11-Oct-2011,28.25,28.25,27.00, 27.95,27.65,16713,4.61
10-Oct-2011,28.00,28.00,27.30, 27.60,27.35,3846,1.06
07-Oct-2011,27.20,28.20,27.20, 27.45,27.50,16942,4.68
05-Oct-2011,29.55,29.60,26.60, 27.30,27.75,439519,124.48
04-Oct-2011,29.00,29.45,28.90, 29.30,29.15,19507,5.68
03-Oct-2011,30.25,30.25,28.95, 29.00,29.00,9599,2.79
30-Sep-2011,30.40,30.40,29.05, 29.80,29.30,23183,6.85
29-Sep-2011,28.85,32.00,28.85, 29.60,29.75,363821,109.79
28-Sep-2011,29.80,30.30,29.05, 29.20,29.30,52394,15.65
27-Sep-2011,29.15,30.20,29.00, 29.80,29.85,94495,28.15
26-Sep-2011,28.55,29.55,28.55, 29.30,29.25,82586,24.06
23-Sep-2011,28.40,29.25,28.40, 28.80,28.95,12298,3.54
22-Sep-2011,29.30,29.30,28.80, 29.20,29.10,19675,5.71
21-Sep-2011,29.05,29.75,29.05, 29.35,29.40,17809,5.23
20-Sep-2011,29.40,29.40,29.00, 29.25,29.25,31102,9.07
19-Sep-2011,28.70,29.60,28.70, 29.60,29.35,54812,16.04
16-Sep-2011,29.85,29.85,28.95, 29.05,29.00,66559,19.42
15-Sep-2011,29.80,29.80,28.95, 29.00,28.95,64156,18.70
14-Sep-2011,29.10,29.60,28.80, 29.25,29.25,76538,22.31
13-Sep-2011,29.20,29.90,28.65, 29.05,29.00,91298,26.56
12-Sep-2011,29.75,29.80,28.95, 29.40,29.35,31438,9.23
09-Sep-2011,29.70,30.50,29.65, 30.00,30.15,42437,12.76
08-Sep-2011,29.90,30.20,29.75, 30.00,30.00,22915,6.87
07-Sep-2011,29.50,30.90,29.40, 30.40,30.15,91870,27.70
06-Sep-2011,29.75,29.75,29.00, 29.60,29.45,57798,16.99
05-Sep-2011,29.50,29.60,29.00, 29.60,29.50,45287,13.29
02-Sep-2011,29.90,30.40,29.10, 30.30,30.00,56241,16.82
30-Aug-2011,29.25,29.90,29.25, 29.50,29.45,20437,6.05
29-Aug-2011,29.15,29.45,28.80, 29.35,29.30,38986,11.37
26-Aug-2011,29.90,29.90,28.50, 29.05,29.00,33461,9.71
25-Aug-2011,28.65,29.55,28.65, 29.25,29.40,103914,30.52
24-Aug-2011,29.55,29.95,29.00, 29.00,29.10,34870,10.28
23-Aug-2011,28.35,29.40,28.35, 29.40,29.25,92056,26.79
22-Aug-2011,28.50,29.00,28.10, 28.60,28.60,78377,22.25
19-Aug-2011,27.65,29.00,27.60, 28.50,28.50,78831,22.23
18-Aug-2011,28.65,28.85,27.90, 28.85,28.50,74856,21.24
17-Aug-2011,29.35,29.50,28.85, 28.85,28.95,27978,8.12
16-Aug-2011,30.95,30.95,29.50, 29.80,29.55,31975,9.67
12-Aug-2011,30.30,30.95,30.10, 30.80,30.75,34899,10.66
11-Aug-2011,30.30,30.75,29.70, 30.70,30.45,64936,19.69
10-Aug-2011,29.70,30.20,29.45, 29.85,30.00,55961,16.78
09-Aug-2011,27.50,29.25,27.10, 29.25,29.15,180947,52.01
08-Aug-2011,28.05,28.30,27.30, 28.20,28.05,50129,13.98
05-Aug-2011,29.10,29.10,28.15, 28.50,28.60,78287,22.18
04-Aug-2011,29.70,30.00,29.20, 29.65,29.65,132090,38.89
03-Aug-2011,29.20,29.45,28.90, 29.10,29.10,43783,12.76
02-Aug-2011,29.90,29.90,28.90, 29.30,29.25,25677,7.49
01-Aug-2011,29.25,29.80,29.20, 29.70,29.75,27393,8.08
29-Jul-2011,29.00,29.45,29.00, 29.30,29.25,20744,6.05
28-Jul-2011,29.25,29.50,28.90, 29.00,28.95,29134,8.46
27-Jul-2011,30.00,30.30,29.40, 29.50,29.45,17637,5.23
26-Jul-2011,30.40,30.40,29.65, 29.85,29.75,17126,5.13
25-Jul-2011,30.00,30.50,29.65, 30.35,30.25,23455,7.05
22-Jul-2011,30.10,30.10,29.40, 29.70,29.65,34276,10.15
21-Jul-2011,30.05,30.45,29.20, 30.30,30.00,47286,14.17
20-Jul-2011,30.30,30.45,29.90, 30.45,30.25,48060,14.49
19-Jul-2011,30.00,30.55,29.90, 30.50,30.45,25747,7.78
18-Jul-2011,30.25,30.25,29.65, 30.10,30.05,43584,13.07
15-Jul-2011,31.25,32.15,29.75, 30.00,29.90,134779,41.21
14-Jul-2011,30.40,32.20,29.85, 31.30,31.15,308199,96.64
13-Jul-2011,29.35,30.55,29.35, 30.55,30.45,114345,34.51
12-Jul-2011,29.00,30.00,27.50, 29.80,29.55,142157,41.12
11-Jul-2011,29.20,29.50,28.80, 29.20,29.25,35174,10.25
08-Jul-2011,30.00,30.45,29.25, 29.85,29.85,191003,57.15
07-Jul-2011,29.00,29.90,29.00, 29.65,29.60,172630,50.82
06-Jul-2011,28.05,29.20,27.65, 29.00,29.00,245469,70.13
05-Jul-2011,28.45,29.90,28.00, 28.65,28.45,553361,159.43
04-Jul-2011,27.10,27.50,26.60, 27.20,27.25,80999,21.95
01-Jul-2011,27.25,27.40,26.30, 26.30,26.45,68090,18.27
30-Jun-2011,27.00,27.45,26.75, 27.20,27.05,59247,16.06
29-Jun-2011,25.40,27.25,25.25, 26.80,26.65,263880,69.60
28-Jun-2011,25.45,25.45,24.50, 24.65,24.70,20322,5.02
27-Jun-2011,24.30,25.00,24.30, 24.70,24.55,24627,6.09
24-Jun-2011,24.00,24.65,23.70, 24.30,24.45,18120,4.41
23-Jun-2011,24.00,24.70,23.50, 23.75,23.60,23139,5.49
