Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,76.90,76.90,69.50, 69.50,69.50,264,0.19
29-Dec-2011,72.00,72.50,72.00, 72.20,72.20,3,0.00
27-Dec-2011,72.00,73.00,72.00, 73.00,73.00,16,0.01
26-Dec-2011,72.55,72.55,72.55, 72.55,72.55,45,0.03
22-Dec-2011,74.85,74.85,70.20, 70.20,70.20,7,0.01
21-Dec-2011,71.00,71.00,70.15, 70.15,70.15,60,0.04
20-Dec-2011,77.65,77.65,70.15, 70.15,70.15,35,0.03
19-Dec-2011,71.30,71.35,71.00, 71.00,71.05,59,0.04
16-Dec-2011,75.00,78.90,75.00, 77.30,77.30,133,0.10
15-Dec-2011,78.85,78.85,73.70, 76.00,75.95,162,0.12
14-Dec-2011,76.00,78.90,66.00, 73.00,73.00,297,0.22
13-Dec-2011,82.90,82.90,73.20, 73.20,75.50,460,0.35
12-Dec-2011,76.10,80.00,75.00, 75.00,75.00,254,0.20
07-Dec-2011,78.30,84.60,78.30, 79.10,79.15,265,0.21
02-Dec-2011,81.90,81.90,79.50, 79.50,79.50,2,0.00
01-Dec-2011,81.00,81.90,80.95, 81.90,81.75,22,0.02
29-Nov-2011,84.90,86.80,83.00, 84.90,84.65,73,0.06
28-Nov-2011,81.00,83.00,81.00, 82.00,82.00,69,0.06
25-Nov-2011,78.00,82.00,78.00, 82.00,80.75,199,0.16
24-Nov-2011,82.00,82.00,75.00, 77.10,77.85,1042,0.80
23-Nov-2011,83.90,83.90,80.00, 82.00,82.00,41,0.03
22-Nov-2011,82.00,85.00,82.00, 84.50,84.05,176,0.15
18-Nov-2011,80.00,83.90,80.00, 81.45,81.45,126,0.10
17-Nov-2011,82.00,82.00,79.00, 80.50,81.25,28,0.02
16-Nov-2011,84.00,88.90,80.00, 82.55,80.90,1051,0.87
15-Nov-2011,93.25,93.25,84.05, 87.00,87.00,2127,1.91
14-Nov-2011,104.00,104.00,95.15, 95.15,97.20,269,0.27
11-Nov-2011,108.00,108.00,106.00, 106.00,106.00,50,0.05
09-Nov-2011,109.00,109.90,108.00, 108.00,108.00,159,0.17
08-Nov-2011,108.00,108.00,108.00, 108.00,108.00,4,0.00
04-Nov-2011,114.90,114.90,114.90, 114.90,114.90,25,0.03
03-Nov-2011,112.00,114.00,112.00, 114.00,114.00,104,0.12
02-Nov-2011,112.00,112.00,112.00, 112.00,112.00,6,0.01
01-Nov-2011,111.00,112.15,111.00, 112.15,112.15,24,0.03
31-Oct-2011,111.95,112.00,110.95, 111.90,111.40,117,0.13
28-Oct-2011,109.55,112.80,108.00, 108.00,108.00,122,0.13
26-Oct-2011,110.00,110.00,110.00, 110.00,110.00,25,0.03
25-Oct-2011,105.75,105.75,105.70, 105.70,105.70,51,0.05
24-Oct-2011,104.05,110.35,104.05, 106.00,106.00,47,0.05
21-Oct-2011,108.15,108.90,105.00, 108.90,108.55,140,0.15
20-Oct-2011,110.50,111.00,110.50, 111.00,111.00,7,0.01
19-Oct-2011,111.95,112.50,109.00, 109.00,112.00,511,0.57
18-Oct-2011,109.10,112.20,109.00, 109.00,109.00,214,0.24
14-Oct-2011,108.50,111.55,108.50, 111.55,110.00,6,0.01
13-Oct-2011,110.00,112.50,108.00, 108.65,108.40,34,0.04
