Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,5705.00,5910.00,5651.55, 5784.00,5720.20,565,32.70
29-Dec-2011,5700.00,5744.85,5675.00, 5700.00,5699.65,237,13.51
28-Dec-2011,5825.00,5879.00,5700.00, 5750.00,5729.60,253,14.62
27-Dec-2011,5860.00,5940.00,5815.00, 5815.00,5818.40,131,7.69
26-Dec-2011,5801.55,5940.00,5781.00, 5920.00,5886.95,210,12.35
23-Dec-2011,5830.15,6029.95,5811.00, 5829.00,5833.05,651,38.59
22-Dec-2011,5762.00,5920.00,5762.00, 5810.00,5822.80,412,24.04
21-Dec-2011,5747.05,5844.10,5710.05, 5820.00,5800.90,422,24.34
20-Dec-2011,5888.00,5889.00,5700.00, 5700.00,5729.40,476,27.50
19-Dec-2011,5995.00,5995.00,5740.00, 5850.00,5831.00,439,25.46
16-Dec-2011,6040.00,6094.00,5885.00, 5899.80,5914.70,278,16.63
15-Dec-2011,6055.00,6070.00,5900.00, 5986.00,5997.65,656,39.17
14-Dec-2011,6100.00,6125.00,6060.00, 6060.00,6079.00,352,21.44
13-Dec-2011,6264.00,6299.95,6070.00, 6120.00,6099.90,738,45.19
12-Dec-2011,6345.00,6360.05,6201.00, 6299.00,6292.15,179,11.27
09-Dec-2011,6310.55,6390.00,6310.55, 6321.95,6342.10,242,15.36
08-Dec-2011,6392.00,6421.00,6352.00, 6355.00,6365.35,165,10.54
07-Dec-2011,6474.00,6520.00,6381.20, 6409.00,6412.20,287,18.52
05-Dec-2011,6464.00,6525.00,6459.00, 6459.00,6473.20,271,17.58
02-Dec-2011,6490.00,6490.00,6430.00, 6455.00,6463.25,189,12.20
01-Dec-2011,6539.90,6539.90,6425.00, 6432.00,6451.75,217,14.08
30-Nov-2011,6482.00,6484.60,6417.20, 6420.10,6423.50,204,13.11
29-Nov-2011,6440.00,6520.00,6420.00, 6432.00,6492.35,292,18.90
28-Nov-2011,6420.00,6500.00,6388.05, 6440.00,6424.85,562,36.10
25-Nov-2011,6256.00,6450.00,6256.00, 6400.00,6387.55,640,40.94
24-Nov-2011,6281.70,6328.00,6240.00, 6294.00,6302.00,371,23.28
23-Nov-2011,6360.00,6408.95,6261.10, 6300.00,6304.35,484,30.63
22-Nov-2011,6410.00,6469.95,6332.00, 6405.50,6403.85,626,40.05
21-Nov-2011,6532.55,6595.45,6366.05, 6399.95,6408.25,487,31.48
18-Nov-2011,6614.00,6720.00,6551.05, 6570.00,6575.95,443,29.22
17-Nov-2011,6760.00,6760.00,6630.00, 6655.00,6679.00,481,32.18
16-Nov-2011,6760.00,6760.00,6650.00, 6740.00,6698.65,345,23.10
15-Nov-2011,6772.90,6850.00,6736.30, 6840.30,6784.25,703,47.68
14-Nov-2011,6810.00,7040.00,6766.25, 6804.00,6795.95,846,58.32
11-Nov-2011,6787.15,7200.00,6710.00, 6800.00,6834.05,4495,313.49
09-Nov-2011,6999.00,6999.00,6565.10, 6700.00,6706.45,1801,122.17
08-Nov-2011,7019.95,7019.95,6900.00, 6905.00,6909.90,268,18.54
04-Nov-2011,6911.40,7000.00,6900.00, 6901.45,6905.75,322,22.36
03-Nov-2011,7101.00,7101.05,6768.00, 6920.00,6907.50,1355,93.34
02-Nov-2011,6980.00,7150.00,6950.00, 7050.00,7041.20,1046,74.00
01-Nov-2011,6726.00,7132.20,6722.00, 6990.00,6980.70,3343,233.52
31-Oct-2011,6840.00,6860.00,6755.05, 6789.00,6768.25,888,60.32
28-Oct-2011,6880.00,6920.00,6750.00, 6771.75,6782.50,943,64.40
26-Oct-2011,6700.00,6800.00,6700.00, 6800.00,6789.00,293,19.86
25-Oct-2011,6661.00,6840.00,6615.45, 6655.05,6696.05,568,38.10
24-Oct-2011,6501.00,6944.60,6501.00, 6625.00,6627.70,5018,340.29
21-Oct-2011,6532.20,6597.95,6517.30, 6525.00,6542.50,156,10.23
20-Oct-2011,6602.95,6602.95,6510.00, 6545.30,6535.50,115,7.53
19-Oct-2011,6543.00,6640.00,6543.00, 6604.00,6605.95,282,18.61
18-Oct-2011,6500.00,6566.95,6500.00, 6566.00,6537.25,175,11.43
17-Oct-2011,6501.00,6690.00,6401.00, 6531.00,6554.75,431,28.47
14-Oct-2011,6597.50,6618.00,6566.00, 6597.00,6594.20,195,12.85
13-Oct-2011,6590.00,6630.00,6566.05, 6582.00,6573.60,363,23.94
12-Oct-2011,6527.45,6591.00,6527.45, 6568.00,6560.30,381,25.03
11-Oct-2011,6410.00,6630.25,6410.00, 6511.00,6518.05,809,52.82
10-Oct-2011,6365.00,6425.00,6362.00, 6395.00,6403.35,613,39.21
07-Oct-2011,6360.00,6454.95,6260.00, 6400.00,6395.55,1276,81.90
05-Oct-2011,6300.00,6391.00,6281.00, 6281.00,6290.95,797,50.29
04-Oct-2011,6355.00,6400.00,6275.00, 6300.10,6305.50,295,18.67
03-Oct-2011,6375.00,6429.95,6235.05, 6380.00,6351.10,1494,95.42
30-Sep-2011,6550.00,6550.00,6370.50, 6375.05,6381.20,578,37.23
29-Sep-2011,6579.00,6579.00,6415.00, 6475.00,6471.35,446,28.87
28-Sep-2011,6601.00,6649.90,6515.00, 6516.00,6533.80,271,17.78
27-Sep-2011,6605.00,6685.00,6580.05, 6600.00,6608.90,478,31.73
26-Sep-2011,6749.85,6749.85,6450.05, 6550.00,6555.20,776,51.04
23-Sep-2011,6610.00,6769.95,6604.00, 6626.00,6636.70,466,31.12
22-Sep-2011,6862.00,6900.00,6698.05, 6710.00,6718.90,748,50.59
21-Sep-2011,6968.00,6974.00,6870.00, 6882.95,6888.00,677,46.76
20-Sep-2011,6867.00,6978.65,6866.05, 6924.55,6906.50,528,36.57
19-Sep-2011,6851.10,7000.00,6824.00, 6925.00,6900.00,375,26.01
16-Sep-2011,6977.00,7060.00,6910.00, 6970.00,6955.45,798,55.75
15-Sep-2011,6999.95,7043.95,6850.30, 6902.00,6912.20,738,51.19
14-Sep-2011,7000.50,7074.95,6802.25, 6900.00,6906.70,1448,101.01
13-Sep-2011,7010.00,7100.00,6901.00, 6975.60,6983.90,754,53.00
12-Sep-2011,7003.00,7050.00,6920.00, 7014.00,7010.40,641,44.73
09-Sep-2011,7166.00,7277.95,7075.25, 7100.00,7108.55,774,55.64
08-Sep-2011,6856.15,7240.00,6856.15, 7166.00,7145.10,2461,174.63
07-Sep-2011,6840.00,6950.00,6750.00, 6830.00,6841.90,1616,111.01
06-Sep-2011,6613.15,6847.90,6580.00, 6788.00,6757.65,1077,72.29
05-Sep-2011,6670.00,6700.00,6605.00, 6610.00,6648.15,357,23.80
02-Sep-2011,6661.00,6749.00,6600.00, 6664.00,6673.25,509,34.05
30-Aug-2011,6540.00,6710.00,6540.00, 6661.00,6653.95,868,57.66
29-Aug-2011,6450.00,6590.00,6425.00, 6577.00,6525.80,407,26.48
26-Aug-2011,6500.00,6580.00,6401.20, 6450.00,6424.65,290,18.79
25-Aug-2011,6699.95,6699.95,6452.20, 6520.00,6493.05,556,36.23
24-Aug-2011,6657.00,6738.00,6565.25, 6587.00,6585.90,362,24.01
23-Aug-2011,6523.00,6675.00,6520.00, 6674.95,6638.95,714,47.25
22-Aug-2011,6460.00,6544.00,6439.15, 6523.00,6516.90,435,28.26
19-Aug-2011,6522.00,6589.90,6306.15, 6432.95,6410.30,1072,69.25
18-Aug-2011,6720.00,6800.00,6500.00, 6522.95,6539.70,807,53.54
17-Aug-2011,6899.00,6899.90,6740.00, 6750.00,6756.95,960,65.30
16-Aug-2011,6950.00,7150.00,6822.00, 6822.00,6837.30,463,31.96
