Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,29.15,32.00,29.15, 31.00,31.00,1297,0.41
29-Dec-2011,32.40,32.40,29.15, 30.00,30.00,973,0.30
28-Dec-2011,30.55,32.45,30.50, 31.25,31.25,3131,0.98
27-Dec-2011,31.50,31.50,30.50, 31.40,31.40,564,0.17
26-Dec-2011,29.75,31.40,29.70, 31.00,30.75,2935,0.88
23-Dec-2011,30.45,30.45,29.85, 29.85,29.85,2,0.00
22-Dec-2011,29.95,29.95,27.45, 29.15,29.15,17,0.01
21-Dec-2011,28.50,28.50,27.50, 27.55,27.80,725,0.20
20-Dec-2011,29.50,29.95,26.65, 27.60,27.70,1251,0.35
19-Dec-2011,28.35,30.40,28.05, 28.35,28.40,308,0.09
16-Dec-2011,29.95,30.00,29.00, 29.65,29.20,2216,0.66
15-Dec-2011,29.10,30.30,29.00, 30.30,30.30,851,0.25
14-Dec-2011,31.45,31.50,29.55, 30.00,30.00,591,0.18
13-Dec-2011,31.30,31.30,29.75, 30.80,30.80,1040,0.31
12-Dec-2011,30.65,30.85,29.25, 29.50,30.10,3242,0.98
09-Dec-2011,32.60,32.60,30.35, 30.55,30.60,302,0.09
08-Dec-2011,31.65,31.65,30.15, 31.45,30.90,2680,0.83
07-Dec-2011,32.50,32.50,30.85, 31.60,31.35,2953,0.92
05-Dec-2011,31.50,32.00,31.50, 31.50,31.50,1783,0.56
02-Dec-2011,32.90,32.90,30.75, 30.85,31.45,1999,0.63
01-Dec-2011,31.10,31.40,30.65, 30.65,30.70,3348,1.04
30-Nov-2011,30.65,31.40,30.25, 30.55,30.55,2054,0.63
29-Nov-2011,31.40,31.80,31.00, 31.80,31.80,2972,0.94
28-Nov-2011,31.40,31.95,31.00, 31.30,31.30,3147,0.99
25-Nov-2011,30.45,32.35,30.35, 31.05,31.15,3008,0.93
24-Nov-2011,30.70,31.50,30.10, 30.45,30.45,1646,0.50
23-Nov-2011,31.55,33.00,30.65, 31.35,31.25,5756,1.82
22-Nov-2011,32.05,33.00,31.80, 32.50,32.50,2340,0.75
21-Nov-2011,33.90,33.95,32.60, 33.80,33.05,603,0.20
18-Nov-2011,33.95,33.95,32.35, 32.40,32.80,644,0.21
17-Nov-2011,34.00,34.00,31.50, 33.15,33.15,6817,2.22
16-Nov-2011,36.00,36.00,32.80, 35.45,34.85,3920,1.33
15-Nov-2011,35.60,36.75,34.55, 36.00,35.10,5119,1.80
14-Nov-2011,36.60,37.80,35.80, 35.95,36.15,3187,1.17
11-Nov-2011,38.05,39.95,37.55, 38.00,37.95,1067,0.41
09-Nov-2011,37.20,40.00,37.20, 38.90,39.20,13140,5.22
08-Nov-2011,37.65,38.65,37.30, 37.60,37.35,892,0.33
04-Nov-2011,38.45,38.45,37.20, 37.50,37.40,1022,0.38
03-Nov-2011,37.50,38.70,37.50, 37.75,37.70,1175,0.45
02-Nov-2011,38.10,38.50,37.80, 37.85,37.95,1379,0.53
01-Nov-2011,39.00,39.00,38.50, 38.60,38.60,357,0.14
31-Oct-2011,37.50,39.50,37.35, 38.85,38.75,2589,1.00
28-Oct-2011,38.50,38.70,37.30, 38.10,38.00,2274,0.87
26-Oct-2011,37.25,37.25,36.85, 37.00,37.00,4642,1.72
25-Oct-2011,37.50,37.90,36.30, 37.90,37.65,23855,8.75
24-Oct-2011,39.00,39.00,36.55, 37.20,37.15,1933,0.73
21-Oct-2011,38.05,39.45,38.05, 39.15,39.25,878,0.34
20-Oct-2011,38.50,39.80,38.00, 38.50,38.55,353,0.14
19-Oct-2011,39.00,39.85,38.45, 39.85,39.15,662,0.26
18-Oct-2011,38.50,38.50,38.20, 38.20,38.20,317,0.12
17-Oct-2011,38.40,39.45,38.20, 39.40,39.25,4057,1.56
14-Oct-2011,39.25,39.25,38.40, 38.40,38.45,242,0.09
13-Oct-2011,39.00,39.90,39.00, 39.45,39.15,2070,0.81
12-Oct-2011,38.55,39.00,38.55, 38.55,38.55,1070,0.41
11-Oct-2011,39.90,39.90,38.45, 39.00,38.95,6711,2.63
10-Oct-2011,38.10,39.80,38.10, 39.40,39.40,173,0.07
07-Oct-2011,40.50,40.85,39.05, 39.30,39.45,2407,0.95
05-Oct-2011,39.50,39.80,38.25, 39.00,38.95,868,0.34
04-Oct-2011,38.65,40.00,38.65, 39.00,39.00,7485,2.92
03-Oct-2011,40.00,40.00,38.10, 38.85,38.85,1709,0.66
30-Sep-2011,41.50,41.50,38.90, 38.90,39.10,123035,48.11
29-Sep-2011,40.50,41.15,40.25, 41.15,41.05,1449,0.59
28-Sep-2011,40.00,41.00,38.25, 41.00,41.00,663,0.27
27-Sep-2011,42.90,42.90,39.15, 40.80,40.80,1308,0.53
26-Sep-2011,41.90,41.90,39.95, 40.00,40.00,2405,0.96
23-Sep-2011,40.05,41.25,40.00, 41.25,40.75,3938,1.59
22-Sep-2011,41.75,41.75,40.05, 40.60,40.60,1918,0.79
21-Sep-2011,42.00,42.40,41.50, 41.55,41.75,2452,1.02
20-Sep-2011,41.50,42.40,41.50, 41.55,42.10,2704,1.13
19-Sep-2011,43.00,43.00,40.75, 42.30,41.55,1579,0.66
16-Sep-2011,41.00,42.20,40.50, 41.40,41.75,994,0.42
15-Sep-2011,40.75,41.45,40.20, 40.40,40.40,2126,0.86
14-Sep-2011,40.25,40.50,40.25, 40.50,40.50,20,0.01
13-Sep-2011,41.50,43.00,39.65, 40.55,40.40,28444,11.32
12-Sep-2011,41.60,41.60,39.20, 39.80,39.85,2458,0.98
09-Sep-2011,44.00,44.00,41.40, 41.60,41.65,2541,1.07
08-Sep-2011,40.90,45.90,40.55, 42.00,42.65,18992,8.20
07-Sep-2011,39.45,41.75,39.45, 41.60,41.20,8982,3.64
06-Sep-2011,38.15,39.70,37.80, 39.00,38.85,3161,1.21
05-Sep-2011,37.35,38.50,37.25, 38.15,38.20,1204,0.46
02-Sep-2011,38.50,39.00,37.80, 38.10,38.10,935,0.36
30-Aug-2011,38.90,38.95,37.70, 38.80,38.45,3892,1.49
29-Aug-2011,36.00,38.85,36.00, 37.60,38.25,6911,2.59
26-Aug-2011,37.10,37.55,35.20, 35.55,35.50,2162,0.79
25-Aug-2011,36.25,38.95,36.25, 38.50,37.80,9403,3.52
24-Aug-2011,36.00,38.00,35.85, 36.70,37.00,6705,2.49
23-Aug-2011,38.50,38.50,36.70, 37.00,37.00,6037,2.23
22-Aug-2011,41.95,41.95,36.10, 36.50,36.90,4376,1.62
19-Aug-2011,36.00,37.95,35.35, 37.50,37.10,6059,2.20
18-Aug-2011,37.25,37.80,36.20, 37.05,36.60,4251,1.58
17-Aug-2011,39.05,39.05,37.10, 37.50,37.90,2335,0.90
16-Aug-2011,40.50,40.50,38.60, 39.25,38.65,7757,3.07
12-Aug-2011,41.50,42.00,39.65, 39.75,39.95,6691,2.70
11-Aug-2011,39.70,41.45,39.55, 41.45,40.70,6415,2.59
10-Aug-2011,39.55,40.85,39.55, 40.55,40.50,21990,8.83
09-Aug-2011,41.05,42.00,39.10, 39.10,39.35,45604,18.35
08-Aug-2011,45.00,45.00,42.00, 42.65,42.75,16596,7.19
05-Aug-2011,44.05,47.00,42.65, 47.00,45.85,24406,10.78
04-Aug-2011,45.50,46.70,45.40, 45.55,45.90,15914,7.30
03-Aug-2011,46.20,47.85,45.30, 46.00,45.95,21207,9.81
02-Aug-2011,52.90,52.90,45.65, 46.00,45.90,54720,25.94
01-Aug-2011,52.30,52.75,51.10, 52.00,51.70,3525,1.83
29-Jul-2011,53.35,53.85,51.55, 51.65,52.05,4036,2.12
28-Jul-2011,52.25,53.90,52.00, 53.75,53.75,7844,4.15
27-Jul-2011,53.50,54.25,52.55, 53.00,52.95,5074,2.70
26-Jul-2011,54.40,54.40,53.05, 53.25,53.30,5345,2.86
25-Jul-2011,53.55,54.75,53.40, 53.55,53.50,9754,5.26
22-Jul-2011,53.90,54.85,53.75, 54.30,54.55,5122,2.79
21-Jul-2011,54.75,55.35,52.45, 53.40,53.45,10090,5.43
20-Jul-2011,55.95,56.70,54.45, 54.75,54.75,24555,13.64
19-Jul-2011,57.40,57.40,55.60, 55.80,55.95,15111,8.51
18-Jul-2011,58.20,60.50,56.25, 56.40,56.65,43431,25.25
15-Jul-2011,60.50,61.50,57.65, 58.50,58.25,34287,20.57
14-Jul-2011,59.40,66.20,59.40, 60.00,60.25,393698,247.91
13-Jul-2011,57.10,61.70,56.30, 59.60,59.30,158929,95.12
12-Jul-2011,53.50,59.20,53.50, 55.70,56.60,352979,202.95
11-Jul-2011,54.00,54.00,53.50, 53.50,53.70,6012,3.23
08-Jul-2011,54.00,55.00,53.65, 54.35,54.00,8881,4.80
