Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,9.30,10.00,9.30, 9.30,9.30,106631,10.08
29-Dec-2011,9.90,9.90,9.75, 9.75,9.75,23798,2.32
28-Dec-2011,10.05,10.50,10.05, 10.10,10.25,29757,3.05
27-Dec-2011,10.25,10.60,10.20, 10.40,10.30,21089,2.17
26-Dec-2011,10.10,10.80,10.10, 10.40,10.35,22719,2.38
23-Dec-2011,10.20,10.80,10.20, 10.40,10.40,24694,2.59
22-Dec-2011,10.45,10.75,10.35, 10.65,10.60,23309,2.45
21-Dec-2011,10.20,10.80,10.20, 10.75,10.75,51520,5.42
20-Dec-2011,10.00,10.65,9.75, 10.60,10.55,88564,9.21
19-Dec-2011,10.20,10.25,9.35, 10.25,10.25,87968,8.58
16-Dec-2011,10.25,10.50,9.80, 9.80,9.80,37700,3.78
15-Dec-2011,10.70,10.75,10.25, 10.30,10.30,42518,4.40
14-Dec-2011,11.50,11.50,10.55, 10.85,10.70,45792,4.91
13-Dec-2011,11.60,11.80,11.10, 11.10,11.10,52520,5.90
12-Dec-2011,12.20,12.40,11.40, 11.60,11.65,70242,8.48
09-Dec-2011,11.15,12.15,11.15, 12.15,11.85,56785,6.65
08-Dec-2011,12.00,12.60,11.45, 11.65,11.65,67887,8.18
07-Dec-2011,12.00,12.50,11.70, 11.85,12.00,51753,6.18
05-Dec-2011,12.00,12.55,12.00, 12.25,12.25,37965,4.67
02-Dec-2011,12.15,12.70,12.10, 12.10,12.35,38934,4.83
01-Dec-2011,12.80,12.80,12.10, 12.50,12.50,61705,7.72
30-Nov-2011,12.50,12.65,12.30, 12.30,12.30,39173,4.85
29-Nov-2011,12.75,13.35,12.60, 12.90,12.95,147336,19.02
28-Nov-2011,13.25,13.80,12.90, 13.10,13.00,69818,9.32
25-Nov-2011,12.00,13.20,12.00, 13.20,13.20,104267,13.59
24-Nov-2011,12.60,12.95,12.50, 12.70,12.55,74331,9.32
23-Nov-2011,13.90,13.90,13.15, 13.15,13.15,57877,7.67
22-Nov-2011,14.00,14.30,13.30, 14.00,13.80,107308,14.64
21-Nov-2011,14.15,14.45,13.85, 14.00,14.00,220907,31.03
18-Nov-2011,13.50,14.40,13.45, 14.30,14.25,237017,32.98
17-Nov-2011,14.10,14.70,14.10, 14.10,14.15,191746,27.07
16-Nov-2011,14.80,14.80,14.80, 14.80,14.80,53977,7.99
15-Nov-2011,17.20,17.20,15.55, 15.55,15.55,64573,10.20
14-Nov-2011,16.35,16.35,16.35, 16.35,16.35,104711,17.12
11-Nov-2011,14.35,15.55,14.20, 15.55,15.55,720242,109.54
09-Nov-2011,12.90,14.10,12.80, 14.10,14.10,538923,73.84
08-Nov-2011,12.00,12.95,12.00, 12.95,12.80,298333,37.72
04-Nov-2011,12.05,12.45,11.75, 12.30,12.25,232684,28.38
03-Nov-2011,11.40,12.20,10.50, 11.90,12.05,388873,45.04
02-Nov-2011,12.30,12.30,11.30, 11.30,11.40,460205,52.97
01-Nov-2011,13.00,13.10,12.10, 12.30,12.25,383266,48.11
31-Oct-2011,13.15,13.60,13.15, 13.20,13.25,192942,25.57
28-Oct-2011,13.55,14.25,13.35, 13.50,13.55,400702,54.19
26-Oct-2011,12.90,13.90,12.90, 13.70,13.55,113247,15.24
25-Oct-2011,15.40,15.40,13.10, 13.30,13.40,875776,120.16
24-Oct-2011,16.80,17.00,14.80, 15.05,15.05,805621,127.64
21-Oct-2011,16.70,17.05,16.05, 16.60,16.55,812817,134.69
20-Oct-2011,17.50,17.70,16.25, 16.60,16.55,983321,164.10
19-Oct-2011,18.50,19.20,17.25, 17.60,17.65,2566089,465.55
18-Oct-2011,16.00,18.35,15.10, 18.00,17.80,5102999,884.37
17-Oct-2011,18.10,19.00,15.05, 16.10,15.50,4906230,807.60
14-Oct-2011,61.00,67.75,16.50, 17.75,18.60,59965008,26349.95
