Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,212.10,229.90,208.50, 222.20,222.45,1177,2.60
29-Dec-2011,215.00,224.65,212.05, 215.00,215.30,990,2.14
28-Dec-2011,221.00,224.00,216.10, 217.25,217.35,625,1.37
27-Dec-2011,226.00,230.85,222.00, 226.00,223.70,281,0.63
26-Dec-2011,217.05,232.70,217.05, 225.50,229.65,782,1.76
23-Dec-2011,232.00,232.00,223.15, 228.00,226.95,1087,2.48
22-Dec-2011,215.00,238.90,210.05, 228.00,229.30,2473,5.48
21-Dec-2011,220.00,220.00,213.50, 213.50,214.50,736,1.59
20-Dec-2011,205.00,217.90,205.00, 217.00,213.95,1332,2.79
19-Dec-2011,206.00,212.00,200.25, 212.00,211.25,2077,4.24
16-Dec-2011,225.20,232.00,206.00, 209.00,211.20,4776,10.60
15-Dec-2011,229.95,229.95,221.10, 223.15,224.40,1121,2.53
14-Dec-2011,234.95,235.00,230.15, 232.00,231.00,993,2.31
13-Dec-2011,233.00,238.00,229.90, 234.00,232.35,2327,5.42
12-Dec-2011,238.50,241.85,234.05, 236.00,236.85,1911,4.55
09-Dec-2011,236.00,239.30,236.00, 238.80,238.55,639,1.52
08-Dec-2011,240.00,242.70,233.15, 239.00,236.90,1826,4.32
07-Dec-2011,238.00,243.90,228.20, 235.50,238.30,31866,75.54
05-Dec-2011,239.90,240.00,231.15, 235.90,234.10,3696,8.71
02-Dec-2011,236.00,240.05,232.00, 233.25,234.25,5341,12.64
01-Dec-2011,242.10,248.00,235.10, 235.25,235.80,8566,20.60
30-Nov-2011,241.00,243.95,237.00, 243.00,242.10,4891,11.78
29-Nov-2011,244.00,246.00,238.20, 240.00,240.90,5473,13.35
28-Nov-2011,243.00,250.45,238.00, 250.00,243.75,8043,19.38
25-Nov-2011,244.00,248.70,237.25, 241.00,241.40,7188,17.50
24-Nov-2011,242.00,249.90,237.00, 246.95,244.15,3411,8.21
23-Nov-2011,251.50,251.50,243.00, 245.00,247.50,3277,8.15
22-Nov-2011,255.00,255.00,249.00, 249.50,251.50,5277,13.33
21-Nov-2011,267.95,267.95,247.50, 253.95,254.15,18150,46.46
18-Nov-2011,275.00,277.00,262.10, 263.00,267.95,7563,20.39
17-Nov-2011,289.00,302.40,279.00, 279.00,279.95,6722,19.25
16-Nov-2011,297.00,297.00,286.40, 290.00,291.20,6882,20.12
15-Nov-2011,319.90,319.90,296.00, 298.00,300.90,4363,13.21
14-Nov-2011,322.75,322.75,302.35, 307.80,307.05,21818,67.23
11-Nov-2011,338.00,340.05,321.00, 321.95,322.65,11778,38.61
09-Nov-2011,360.00,360.00,338.00, 338.50,340.05,11845,41.26
08-Nov-2011,378.40,378.40,355.15, 355.15,357.60,6242,22.48
04-Nov-2011,375.00,388.90,354.05, 360.00,359.90,16221,58.54
03-Nov-2011,384.00,392.00,372.10, 375.10,376.65,5177,19.75
02-Nov-2011,400.00,400.05,381.10, 383.10,383.70,9822,38.61
01-Nov-2011,399.90,406.00,396.30, 398.00,399.70,1949,7.80
31-Oct-2011,410.25,416.40,396.00, 399.10,399.80,5300,21.28
28-Oct-2011,419.90,419.90,406.00, 413.85,410.25,2798,11.46
26-Oct-2011,412.10,417.95,402.60, 403.55,408.35,886,3.62
25-Oct-2011,422.45,434.50,417.45, 420.10,421.95,5717,24.29
24-Oct-2011,415.00,422.00,412.55, 412.55,415.95,446,1.86
21-Oct-2011,417.95,424.00,412.15, 415.00,416.25,1464,6.12
20-Oct-2011,419.00,419.20,408.15, 415.00,414.75,656,2.71
19-Oct-2011,404.00,414.90,404.00, 413.00,414.45,1953,8.06
18-Oct-2011,405.00,407.00,402.15, 404.00,404.00,2081,8.41
17-Oct-2011,402.50,408.80,402.50, 405.15,405.55,522,2.12
14-Oct-2011,400.10,407.20,400.10, 407.20,406.90,364,1.48
13-Oct-2011,401.00,407.00,401.00, 404.40,405.10,2238,9.06
12-Oct-2011,404.90,411.95,398.00, 400.00,404.85,14489,58.03
11-Oct-2011,403.50,403.50,394.00, 401.95,398.55,2070,8.28
10-Oct-2011,399.00,401.00,395.00, 401.00,398.00,596,2.36
07-Oct-2011,398.00,401.00,394.20, 399.75,397.15,330,1.32
05-Oct-2011,395.15,399.95,393.10, 397.95,396.00,930,3.68
04-Oct-2011,395.00,405.00,395.00, 401.70,399.75,865,3.45
03-Oct-2011,390.10,400.85,390.10, 398.05,399.50,4174,16.69
30-Sep-2011,395.10,403.60,390.10, 390.10,394.65,246,0.97
29-Sep-2011,400.00,405.90,396.00, 401.00,401.30,574,2.30
28-Sep-2011,396.00,404.00,396.00, 398.00,398.05,324,1.29
27-Sep-2011,395.00,405.00,391.00, 400.00,401.00,641,2.55
26-Sep-2011,392.00,398.00,388.05, 392.40,392.60,1245,4.88
23-Sep-2011,395.00,400.85,395.00, 400.50,400.50,775,3.09
22-Sep-2011,400.00,403.95,398.05, 403.75,401.30,2914,11.69
21-Sep-2011,401.00,409.85,397.00, 408.75,408.00,3109,12.52
20-Sep-2011,392.00,414.00,392.00, 399.00,399.90,1599,6.42
19-Sep-2011,400.00,403.85,395.05, 400.00,400.30,928,3.71
16-Sep-2011,390.40,405.90,390.40, 404.50,399.05,1582,6.31
15-Sep-2011,396.00,414.80,387.40, 397.00,395.55,5410,21.41
14-Sep-2011,381.00,410.00,376.00, 410.00,405.75,1112,4.44
13-Sep-2011,394.20,397.90,383.25, 393.95,390.00,754,2.95
