Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,24.00,24.45,23.65, 24.45,24.45,12638,3.07
29-Dec-2011,22.25,23.30,21.75, 23.30,23.30,11723,2.71
28-Dec-2011,21.75,22.20,21.25, 22.20,22.20,10974,2.40
27-Dec-2011,22.10,22.10,21.05, 21.30,21.15,3392,0.73
26-Dec-2011,22.45,22.45,20.80, 20.80,21.10,2047,0.44
23-Dec-2011,21.50,22.00,21.30, 21.45,21.45,1476,0.32
22-Dec-2011,21.55,22.00,21.35, 21.50,21.35,3340,0.71
21-Dec-2011,23.00,23.95,22.45, 22.45,22.45,8859,1.99
20-Dec-2011,23.60,24.50,23.60, 23.60,23.60,1913,0.45
19-Dec-2011,24.85,26.35,24.80, 24.80,24.80,3279,0.82
16-Dec-2011,26.50,27.80,26.05, 26.05,26.10,2646,0.71
15-Dec-2011,28.80,28.80,26.70, 27.80,27.05,3591,0.99
14-Dec-2011,28.50,28.50,27.20, 28.50,28.10,74282,20.98
13-Dec-2011,27.45,29.15,27.20, 27.20,27.35,1725,0.48
12-Dec-2011,29.00,29.95,28.50, 28.55,28.55,6411,1.84
09-Dec-2011,30.40,30.40,28.65, 29.05,29.60,1728,0.51
08-Dec-2011,30.20,30.25,28.50, 29.50,29.50,2608,0.76
07-Dec-2011,30.30,30.60,29.70, 30.00,30.00,833,0.25
05-Dec-2011,31.00,31.00,29.40, 30.35,29.70,3837,1.13
02-Dec-2011,30.05,30.95,30.05, 30.90,30.85,843,0.26
01-Dec-2011,30.05,30.95,30.05, 30.05,30.15,1715,0.52
30-Nov-2011,30.00,30.95,30.00, 30.95,30.65,234,0.07
29-Nov-2011,30.10,31.00,29.50, 30.00,30.00,4717,1.41
28-Nov-2011,30.00,31.95,30.00, 30.65,30.90,1879,0.58
25-Nov-2011,30.15,31.70,30.15, 31.45,31.45,1066,0.33
24-Nov-2011,30.45,31.75,30.45, 30.50,30.55,1564,0.48
23-Nov-2011,29.30,32.30,29.30, 30.75,31.20,8981,2.86
22-Nov-2011,30.50,32.80,30.50, 31.65,30.75,2433,0.75
21-Nov-2011,31.70,33.00,31.70, 31.70,31.75,4401,1.42
18-Nov-2011,33.35,34.00,33.35, 33.35,33.35,25282,8.43
17-Nov-2011,36.95,37.65,35.10, 35.10,35.10,3438,1.22
16-Nov-2011,34.10,37.70,34.10, 37.70,36.95,36083,12.40
15-Nov-2011,38.70,38.75,35.05, 35.05,35.90,49388,18.67
14-Nov-2011,36.85,36.90,36.85, 36.90,36.90,2830,1.04
11-Nov-2011,33.50,35.10,33.50, 35.10,35.10,39011,13.69
09-Nov-2011,33.40,33.40,33.10, 33.40,33.40,83123,27.76
08-Nov-2011,30.50,31.80,30.50, 31.80,31.80,9112,2.87
04-Nov-2011,30.30,30.30,29.50, 30.30,30.30,5108,1.54
03-Nov-2011,28.40,28.85,27.90, 28.85,28.85,5940,1.69
02-Nov-2011,26.00,28.20,26.00, 27.50,27.45,3538,0.95
01-Nov-2011,29.40,29.40,27.10, 27.20,27.15,1855,0.51
31-Oct-2011,27.15,28.15,27.15, 28.00,28.00,1773,0.50
28-Oct-2011,26.95,28.00,26.65, 27.85,27.50,2314,0.63
26-Oct-2011,27.70,28.90,26.60, 27.95,26.95,1726,0.47
25-Oct-2011,28.30,28.50,27.75, 27.85,27.85,5919,1.66
24-Oct-2011,28.00,30.00,28.00, 29.20,29.20,4204,1.22
21-Oct-2011,29.50,30.10,28.30, 29.00,28.85,7982,2.31
20-Oct-2011,29.10,30.75,29.10, 29.85,29.70,1319,0.40
19-Oct-2011,30.00,31.30,30.00, 30.00,30.00,2118,0.64
18-Oct-2011,30.20,31.75,30.15, 30.15,30.20,2114,0.64
17-Oct-2011,31.95,32.00,31.05, 31.05,31.05,1562,0.49
14-Oct-2011,31.45,32.50,30.60, 30.70,30.75,2177,0.68
13-Oct-2011,31.00,32.70,31.00, 31.50,31.50,1657,0.53
12-Oct-2011,31.00,32.90,31.00, 32.35,32.10,12012,3.81
11-Oct-2011,32.70,33.35,31.25, 32.25,32.25,8659,2.85
10-Oct-2011,29.20,32.00,28.95, 32.00,31.75,9027,2.80
07-Oct-2011,31.00,31.90,30.40, 30.40,30.45,4559,1.41
05-Oct-2011,31.00,32.00,30.75, 32.00,32.00,2818,0.89
04-Oct-2011,33.00,34.20,31.35, 31.90,31.80,4156,1.35
03-Oct-2011,31.50,34.00,31.40, 33.00,33.00,23753,7.96
30-Sep-2011,32.20,33.35,32.05, 33.00,33.00,9541,3.13
29-Sep-2011,31.45,33.80,31.45, 33.70,33.70,1181,0.38
28-Sep-2011,30.80,33.85,30.80, 32.30,33.05,16595,5.55
27-Sep-2011,31.65,32.20,31.00, 32.20,32.20,10626,3.39
26-Sep-2011,30.55,33.00,30.40, 30.40,30.65,14064,4.40
23-Sep-2011,32.30,32.95,30.90, 32.00,32.00,29649,9.44
22-Sep-2011,34.60,34.60,32.50, 32.50,32.50,2733,0.90
21-Sep-2011,32.80,34.80,32.80, 34.00,33.95,8559,2.90
20-Sep-2011,33.75,36.00,33.40, 33.55,33.55,6116,2.08
19-Sep-2011,32.20,35.35,32.20, 35.10,34.80,12999,4.45
16-Sep-2011,34.25,35.00,33.25, 33.25,33.65,4648,1.57
15-Sep-2011,32.60,35.25,32.30, 35.15,34.90,16579,5.67
14-Sep-2011,33.50,34.00,33.50, 33.50,33.55,11609,3.91
13-Sep-2011,32.25,34.15,32.20, 32.35,32.35,10122,3.37
12-Sep-2011,34.50,34.50,33.25, 34.00,33.65,8440,2.82
09-Sep-2011,35.60,36.20,34.70, 34.75,34.95,3198,1.13
08-Sep-2011,36.35,37.25,34.15, 36.20,36.40,24424,8.83
07-Sep-2011,33.50,35.90,33.50, 34.40,35.45,22957,8.10
06-Sep-2011,34.65,35.40,33.10, 35.40,34.95,43263,15.21
05-Sep-2011,33.05,34.95,33.05, 34.20,33.70,6299,2.12
02-Sep-2011,32.25,34.90,32.25, 34.90,34.40,8239,2.76
30-Aug-2011,34.10,35.00,33.25, 33.85,33.45,12042,4.09
29-Aug-2011,33.60,35.20,33.50, 35.20,35.00,31479,10.96
26-Aug-2011,32.10,34.00,31.95, 33.50,33.50,11431,3.82
25-Aug-2011,35.25,35.25,33.05, 34.00,33.60,20838,7.12
24-Aug-2011,31.10,33.60,31.10, 33.60,33.60,19050,6.29
23-Aug-2011,30.80,33.20,30.80, 32.00,32.00,23828,7.63
22-Aug-2011,32.50,32.50,30.80, 32.00,31.90,25332,7.98
19-Aug-2011,33.10,33.50,32.40, 32.40,32.40,125238,40.68
18-Aug-2011,34.75,36.65,34.05, 34.05,34.10,34718,11.90
17-Aug-2011,37.50,38.00,35.75, 36.10,35.80,19378,7.02
16-Aug-2011,36.60,38.15,36.45, 37.45,37.60,60477,22.89
12-Aug-2011,38.50,38.75,36.10, 37.00,36.75,71368,26.78
11-Aug-2011,38.35,38.40,37.00, 38.00,38.00,39888,15.12
10-Aug-2011,39.00,39.10,37.05, 37.05,38.10,17466,6.72
09-Aug-2011,38.15,39.80,38.15, 38.85,38.50,28548,11.13
08-Aug-2011,37.80,40.05,36.50, 40.05,40.05,127768,49.48
05-Aug-2011,38.10,39.30,38.05, 38.05,38.10,70469,26.91
04-Aug-2011,39.90,40.25,39.00, 40.25,40.05,66105,26.39
03-Aug-2011,39.05,39.90,38.25, 39.00,39.00,25039,9.76
02-Aug-2011,39.85,41.50,39.25, 39.85,39.95,65297,26.23
01-Aug-2011,39.10,40.50,39.00, 40.00,40.00,82967,33.16
29-Jul-2011,40.10,40.90,39.10, 39.80,39.30,35343,14.12
28-Jul-2011,40.10,41.40,40.10, 40.40,40.60,73875,30.14
27-Jul-2011,41.05,42.50,40.05, 40.45,40.20,52433,21.40
26-Jul-2011,41.10,41.70,40.00, 41.40,41.00,50855,20.77
25-Jul-2011,43.70,43.70,41.00, 41.20,41.05,47045,19.36
