Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,35.45,35.45,32.60, 32.85,32.95,66951,22.73
29-Dec-2011,35.00,35.00,33.70, 33.80,33.80,22888,7.80
28-Dec-2011,35.00,35.60,34.75, 35.05,35.00,16902,5.95
27-Dec-2011,35.00,36.15,34.75, 34.90,35.00,28844,10.22
26-Dec-2011,36.05,36.05,34.35, 35.30,35.40,7896,2.79
23-Dec-2011,33.05,35.75,33.05, 35.65,35.15,56978,19.61
22-Dec-2011,32.35,34.45,32.05, 33.95,33.50,16796,5.56
21-Dec-2011,33.05,34.40,32.65, 33.00,32.95,18741,6.17
20-Dec-2011,33.30,34.90,32.30, 32.80,32.95,32097,10.57
19-Dec-2011,35.35,35.35,33.20, 33.40,33.60,26122,8.85
16-Dec-2011,35.85,35.90,35.20, 35.25,35.25,27621,9.78
15-Dec-2011,35.60,35.75,34.35, 35.05,35.20,18373,6.49
14-Dec-2011,36.00,36.45,35.10, 35.30,35.30,20948,7.47
13-Dec-2011,37.00,37.00,35.00, 35.80,35.90,47088,16.81
12-Dec-2011,37.70,37.90,36.60, 36.75,36.75,28296,10.49
09-Dec-2011,38.00,38.65,37.25, 37.30,37.40,22175,8.37
08-Dec-2011,39.95,39.95,38.25, 38.80,38.80,31547,12.28
07-Dec-2011,39.30,39.85,39.15, 39.30,39.40,19023,7.52
05-Dec-2011,39.10,40.35,39.00, 39.20,39.40,36437,14.47
02-Dec-2011,38.55,39.80,38.55, 39.15,39.30,23142,9.04
01-Dec-2011,40.20,40.20,38.55, 39.10,39.05,36080,14.18
30-Nov-2011,39.00,39.75,38.55, 38.80,38.80,18620,7.28
29-Nov-2011,39.20,39.95,39.00, 39.25,39.20,19832,7.83
28-Nov-2011,40.50,40.85,38.25, 39.55,39.45,15673,6.21
25-Nov-2011,38.50,39.85,36.80, 39.15,39.00,43277,16.77
24-Nov-2011,39.50,39.50,37.05, 37.85,37.55,33767,12.67
23-Nov-2011,39.10,39.10,38.10, 38.65,38.50,32064,12.32
22-Nov-2011,39.50,39.90,38.00, 39.05,38.80,20060,7.82
21-Nov-2011,40.75,40.80,38.55, 38.55,38.90,25514,10.03
18-Nov-2011,40.10,41.90,39.45, 40.00,40.00,40689,16.30
17-Nov-2011,42.50,42.50,41.10, 41.15,41.40,23325,9.71
16-Nov-2011,43.40,43.45,41.70, 42.35,42.15,26813,11.32
15-Nov-2011,44.00,44.00,42.25, 42.60,42.60,31407,13.60
14-Nov-2011,46.00,46.40,43.70, 43.75,43.85,35925,15.98
