Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,50.25,51.50,50.25, 50.45,50.45,3009,1.54
29-Dec-2011,50.00,51.90,50.00, 50.80,50.95,1408,0.72
28-Dec-2011,51.60,51.85,50.75, 50.75,51.65,8660,4.46
27-Dec-2011,50.40,51.70,50.35, 51.60,51.55,1174,0.60
26-Dec-2011,51.75,51.75,50.20, 50.50,50.85,1671,0.86
23-Dec-2011,50.00,53.85,50.00, 53.00,53.00,4056,2.10
22-Dec-2011,51.00,51.60,50.00, 51.60,50.25,866,0.44
21-Dec-2011,51.00,51.85,50.00, 51.85,51.25,695,0.35
20-Dec-2011,50.00,52.00,50.00, 52.00,52.00,148,0.08
19-Dec-2011,51.00,52.00,50.65, 52.00,52.00,336,0.17
16-Dec-2011,53.00,53.00,51.90, 52.50,52.35,577,0.30
15-Dec-2011,50.95,53.00,50.90, 52.75,53.00,3419,1.80
14-Dec-2011,55.00,55.00,52.10, 52.30,52.40,7520,3.97
13-Dec-2011,55.00,56.70,54.00, 56.70,56.70,4016,2.21
12-Dec-2011,55.10,55.65,54.75, 54.90,54.90,1009,0.55
09-Dec-2011,56.00,56.75,53.00, 53.55,54.20,1482,0.80
08-Dec-2011,55.20,58.45,54.85, 57.00,57.05,57,0.03
07-Dec-2011,58.00,58.00,55.20, 56.00,55.90,1761,0.99
05-Dec-2011,58.50,59.20,57.30, 57.30,57.30,495,0.29
02-Dec-2011,58.50,59.30,58.00, 59.30,59.30,926,0.54
01-Dec-2011,58.95,58.95,55.60, 56.55,56.55,798,0.46
30-Nov-2011,57.95,57.95,54.00, 54.15,54.40,1096,0.60
29-Nov-2011,56.25,61.50,56.00, 56.00,56.00,853,0.48
28-Nov-2011,56.55,58.75,55.05, 55.35,56.00,2161,1.21
25-Nov-2011,59.95,60.00,56.00, 56.00,56.00,1008,0.58
24-Nov-2011,54.00,55.90,54.00, 54.00,54.05,196,0.11
23-Nov-2011,56.20,56.25,54.55, 55.85,55.20,102,0.06
22-Nov-2011,57.00,57.00,54.05, 54.05,54.05,163,0.09
21-Nov-2011,57.95,58.00,55.30, 55.45,55.45,1378,0.77
18-Nov-2011,57.20,59.00,56.00, 58.00,57.35,1866,1.06
17-Nov-2011,59.55,59.55,57.20, 58.00,58.80,877,0.52
16-Nov-2011,61.85,61.85,59.00, 59.05,59.10,1763,1.05
15-Nov-2011,60.95,61.60,60.85, 61.00,61.00,1593,0.97
14-Nov-2011,64.50,64.50,61.10, 62.55,62.00,2317,1.44
11-Nov-2011,65.00,69.35,63.05, 63.40,63.40,2617,1.68
09-Nov-2011,67.00,67.00,63.60, 63.70,63.95,11647,7.59
08-Nov-2011,71.20,71.20,65.05, 66.00,66.05,4097,2.74
04-Nov-2011,69.60,70.50,69.55, 70.40,70.40,2563,1.80
03-Nov-2011,72.00,72.35,70.35, 70.50,70.50,256,0.18
02-Nov-2011,72.75,72.75,72.75, 72.75,72.75,2,0.00
01-Nov-2011,73.00,73.00,71.10, 72.50,72.50,1056,0.77
31-Oct-2011,72.60,74.00,71.00, 74.00,72.75,620,0.45
28-Oct-2011,72.90,72.90,70.20, 71.00,71.15,2191,1.56
26-Oct-2011,73.00,73.00,68.55, 72.90,72.90,32,0.02
25-Oct-2011,70.05,72.90,69.00, 71.90,69.20,834,0.58
24-Oct-2011,73.00,73.75,70.10, 70.10,71.25,222,0.16
21-Oct-2011,71.00,73.75,70.00, 70.45,70.45,104,0.08
20-Oct-2011,71.00,72.25,70.00, 72.25,72.20,279,0.20
19-Oct-2011,72.50,72.50,70.40, 72.50,72.00,101,0.07
18-Oct-2011,72.90,74.90,72.10, 72.10,73.30,495,0.36
17-Oct-2011,70.50,72.80,68.10, 72.80,70.75,570,0.40
14-Oct-2011,69.30,72.95,69.25, 71.10,71.30,70,0.05
13-Oct-2011,70.25,71.00,69.60, 69.60,69.85,1200,0.84
12-Oct-2011,71.45,71.45,69.25, 69.70,69.70,435,0.31
11-Oct-2011,71.00,72.50,68.55, 70.45,70.40,178,0.13
10-Oct-2011,69.00,72.95,69.00, 71.50,71.50,45,0.03
07-Oct-2011,68.20,73.00,67.55, 69.80,69.85,823,0.57
05-Oct-2011,66.60,70.70,66.60, 69.00,69.00,885,0.61
04-Oct-2011,71.50,72.95,65.10, 66.05,66.05,4602,3.10
03-Oct-2011,74.00,76.45,71.10, 72.50,72.50,433,0.31
30-Sep-2011,73.00,75.30,69.40, 75.30,75.30,228,0.17
29-Sep-2011,74.40,74.40,69.00, 73.00,72.05,865,0.61
28-Sep-2011,71.15,75.00,70.05, 71.75,71.75,243,0.17
27-Sep-2011,71.75,72.00,71.00, 71.00,71.60,520,0.37
26-Sep-2011,71.50,71.50,71.30, 71.35,71.35,1974,1.41
23-Sep-2011,72.00,72.35,68.95, 72.20,72.20,401,0.29
