Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,80.25,81.70,80.25, 80.95,80.75,19492,15.79
29-Dec-2011,80.55,81.45,79.20, 81.35,80.60,7834,6.28
28-Dec-2011,81.15,81.15,79.60, 80.05,80.20,7992,6.41
27-Dec-2011,81.45,81.75,80.10, 80.20,80.60,11181,9.01
26-Dec-2011,81.85,81.85,81.10, 81.50,81.45,2851,2.32
23-Dec-2011,80.25,82.00,80.00, 81.30,81.55,17307,14.02
22-Dec-2011,82.00,82.00,79.95, 80.00,80.15,21182,17.06
21-Dec-2011,79.10,81.75,79.10, 80.00,80.45,10586,8.49
20-Dec-2011,81.95,81.95,77.00, 77.50,78.65,10345,8.15
19-Dec-2011,79.00,81.00,77.95, 79.95,79.85,14923,11.82
16-Dec-2011,82.95,82.95,78.30, 79.00,78.95,11246,9.03
15-Dec-2011,79.20,81.45,75.05, 80.80,80.40,349172,272.96
14-Dec-2011,79.95,80.90,79.10, 79.45,79.45,18932,15.08
13-Dec-2011,80.50,81.90,78.50, 78.55,79.20,23267,18.72
12-Dec-2011,84.00,84.00,79.80, 81.00,80.70,15799,12.88
09-Dec-2011,85.00,85.00,82.60, 82.90,83.00,16756,13.98
08-Dec-2011,87.00,87.00,84.10, 85.20,85.05,11480,9.77
07-Dec-2011,88.00,88.50,86.75, 87.00,87.25,13557,11.91
05-Dec-2011,88.50,89.00,87.60, 87.75,88.05,6617,5.86
02-Dec-2011,87.10,88.50,86.25, 87.80,88.25,12797,11.16
01-Dec-2011,87.00,88.95,86.00, 88.00,88.25,24434,21.31
30-Nov-2011,86.30,87.35,86.00, 86.00,86.40,7798,6.76
29-Nov-2011,86.60,88.80,86.20, 86.90,87.00,18971,16.57
28-Nov-2011,85.00,87.40,84.80, 87.00,86.90,16839,14.48
25-Nov-2011,84.10,86.30,83.50, 84.00,84.70,29915,25.27
24-Nov-2011,86.85,86.85,84.00, 84.30,84.75,15634,13.27
23-Nov-2011,86.05,86.45,85.00, 85.30,85.10,14722,12.59
22-Nov-2011,88.50,89.00,86.15, 86.50,86.45,16717,14.60
21-Nov-2011,90.00,90.00,83.05, 86.05,86.40,16104,13.90
18-Nov-2011,90.00,90.00,86.30, 88.85,89.00,22446,19.67
17-Nov-2011,90.50,92.00,89.50, 89.50,90.00,11561,10.46
16-Nov-2011,92.50,92.50,89.40, 91.95,91.40,33363,30.09
15-Nov-2011,96.00,96.00,92.55, 92.70,93.50,35421,33.45
14-Nov-2011,100.00,100.55,94.65, 95.05,95.55,69332,67.03
11-Nov-2011,102.00,102.45,101.00, 101.00,101.30,17843,18.13
09-Nov-2011,103.55,103.55,101.05, 101.75,101.60,17314,17.68
08-Nov-2011,109.45,109.45,101.00, 102.30,102.25,14686,14.99
04-Nov-2011,101.60,102.60,100.00, 102.35,102.35,14073,14.37
03-Nov-2011,101.75,102.80,101.75, 102.40,102.20,16793,17.16
02-Nov-2011,101.65,102.90,101.65, 102.35,102.15,7333,7.50
01-Nov-2011,102.40,102.85,100.50, 102.00,102.10,29700,30.24
31-Oct-2011,103.50,105.00,101.05, 102.30,102.35,87001,89.24
28-Oct-2011,102.00,103.90,101.30, 103.10,102.60,14155,14.52
26-Oct-2011,101.70,102.00,100.00, 101.85,101.65,7931,8.05
25-Oct-2011,101.00,102.25,99.70, 100.10,100.10,94765,94.87
24-Oct-2011,100.60,102.25,100.00, 101.90,101.80,18315,18.63
21-Oct-2011,101.40,101.40,100.25, 101.35,101.05,17433,17.60
20-Oct-2011,101.00,101.50,99.60, 100.00,100.15,16123,16.15
19-Oct-2011,102.00,103.80,99.70, 101.20,100.80,25716,26.16
18-Oct-2011,103.65,103.75,101.00, 101.55,102.15,22903,23.38
17-Oct-2011,101.00,104.00,97.35, 102.30,103.45,46918,47.67
14-Oct-2011,100.75,103.00,100.35, 101.95,101.70,36285,37.05
13-Oct-2011,99.70,102.40,98.75, 101.00,101.25,27632,27.77
12-Oct-2011,98.05,99.95,98.05, 99.90,99.45,12755,12.65
11-Oct-2011,98.00,99.75,97.90, 98.30,98.35,14881,14.65
10-Oct-2011,98.15,99.00,97.30, 97.55,97.90,28305,27.85
07-Oct-2011,98.10,99.95,97.55, 97.55,98.15,20786,20.57
