Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,3.60,3.70,3.50, 3.70,3.60,10142,0.37
29-Dec-2011,3.60,3.80,3.60, 3.60,3.60,11000,0.40
27-Dec-2011,3.65,3.65,3.65, 3.65,3.65,1000,0.04
23-Dec-2011,3.65,3.65,3.65, 3.65,3.65,100,0.00
22-Dec-2011,3.70,3.70,3.70, 3.70,3.70,5,0.00
21-Dec-2011,3.70,3.70,3.55, 3.70,3.70,648,0.02
20-Dec-2011,3.55,3.60,3.35, 3.60,3.60,4410,0.15
16-Dec-2011,3.35,3.65,3.35, 3.50,3.50,14,0.00
15-Dec-2011,3.50,3.50,3.50, 3.50,3.50,100,0.00
14-Dec-2011,3.40,3.65,3.35, 3.35,3.35,282,0.01
13-Dec-2011,3.35,3.50,3.35, 3.50,3.50,804,0.03
12-Dec-2011,3.50,3.50,3.50, 3.50,3.50,110,0.00
09-Dec-2011,3.70,3.70,3.65, 3.65,3.65,354,0.01
08-Dec-2011,3.55,3.85,3.55, 3.80,3.80,836,0.03
02-Dec-2011,3.70,3.70,3.70, 3.70,3.70,1075,0.04
01-Dec-2011,3.90,3.90,3.85, 3.85,3.85,200,0.01
30-Nov-2011,3.90,4.05,3.90, 4.05,4.05,1100,0.04
29-Nov-2011,4.00,4.00,3.95, 3.95,3.95,3305,0.13
28-Nov-2011,3.80,4.10,3.80, 4.10,4.10,2621,0.10
25-Nov-2011,4.05,4.05,4.00, 4.00,4.00,80,0.00
24-Nov-2011,4.60,4.60,4.20, 4.20,4.20,150,0.01
18-Nov-2011,4.40,4.40,4.40, 4.40,4.40,1,0.00
14-Nov-2011,4.60,4.60,4.60, 4.60,4.60,200,0.01
08-Nov-2011,4.25,4.60,4.20, 4.60,4.60,220,0.01
04-Nov-2011,4.40,4.40,4.40, 4.40,4.40,100,0.00
03-Nov-2011,4.50,4.50,4.50, 4.50,4.50,100,0.00
02-Nov-2011,4.55,4.55,4.20, 4.55,4.55,203,0.01
01-Nov-2011,4.60,4.60,4.40, 4.40,4.40,1120,0.05
31-Oct-2011,4.30,4.60,4.20, 4.60,4.60,1837,0.08
28-Oct-2011,4.35,4.50,4.25, 4.30,4.40,217,0.01
26-Oct-2011,4.35,4.35,4.35, 4.35,4.35,100,0.00
25-Oct-2011,4.10,4.10,4.10, 4.10,4.10,9914,0.41
24-Oct-2011,4.70,4.70,4.25, 4.25,4.30,8631,0.38
21-Oct-2011,4.05,4.45,4.05, 4.45,4.45,1475,0.06
19-Oct-2011,4.20,4.20,4.20, 4.20,4.20,101,0.00
18-Oct-2011,4.50,4.50,4.40, 4.40,4.40,350,0.02
17-Oct-2011,4.50,4.50,4.10, 4.50,4.50,445,0.02
13-Oct-2011,4.25,4.25,4.25, 4.25,4.25,1000,0.04
12-Oct-2011,4.45,4.65,4.45, 4.45,4.45,170,0.01
11-Oct-2011,4.45,4.45,4.45, 4.45,4.45,3,0.00
10-Oct-2011,4.65,4.65,4.60, 4.65,4.65,600,0.03
07-Oct-2011,4.65,4.65,4.65, 4.65,4.65,700,0.03
04-Oct-2011,4.70,4.70,4.70, 4.70,4.70,250,0.01
30-Sep-2011,4.80,4.80,4.80, 4.80,4.80,60,0.00
29-Sep-2011,5.00,5.00,4.70, 4.70,4.70,1412,0.07
26-Sep-2011,4.80,4.80,4.75, 4.80,4.80,1020,0.05
23-Sep-2011,4.75,4.75,4.60, 4.60,4.60,300,0.01
22-Sep-2011,4.65,4.65,4.65, 4.65,4.65,2010,0.09
21-Sep-2011,4.70,4.75,4.70, 4.75,4.75,110,0.01
19-Sep-2011,4.75,4.75,4.75, 4.75,4.75,15,0.00
16-Sep-2011,4.50,4.70,4.50, 4.50,4.50,700,0.03
15-Sep-2011,4.50,4.70,4.50, 4.50,4.50,1416,0.06
14-Sep-2011,4.70,4.70,4.70, 4.70,4.70,1,0.00
13-Sep-2011,4.45,4.70,4.45, 4.70,4.70,1251,0.06
09-Sep-2011,4.65,4.65,4.65, 4.65,4.65,18,0.00
08-Sep-2011,4.55,4.75,4.40, 4.40,4.40,2873,0.13
07-Sep-2011,4.65,4.65,4.50, 4.50,4.50,166,0.01
