Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,10.30,11.35,10.30, 10.95,10.95,436,0.05
29-Dec-2011,11.00,11.50,10.50, 10.80,10.60,5576,0.61
28-Dec-2011,10.85,11.00,10.80, 11.00,11.00,1672,0.18
27-Dec-2011,11.00,11.30,11.00, 11.25,11.25,4214,0.47
26-Dec-2011,11.20,11.30,11.15, 11.15,11.15,7649,0.86
23-Dec-2011,11.50,11.50,11.15, 11.15,11.25,7327,0.83
22-Dec-2011,11.90,11.95,11.30, 11.30,11.45,12065,1.39
21-Dec-2011,12.45,12.45,11.50, 12.15,11.90,4132,0.49
20-Dec-2011,12.05,12.45,11.50, 12.45,12.00,2358,0.28
19-Dec-2011,12.60,12.85,11.80, 12.05,12.15,17886,2.17
16-Dec-2011,13.15,13.20,12.80, 13.10,13.10,5007,0.65
15-Dec-2011,12.95,13.65,12.95, 13.20,13.60,1798,0.24
14-Dec-2011,13.60,14.00,13.30, 13.35,13.50,3740,0.51
13-Dec-2011,14.00,14.35,13.90, 14.35,14.00,3259,0.45
12-Dec-2011,13.95,14.10,13.95, 13.95,13.95,4185,0.58
09-Dec-2011,14.10,14.10,13.90, 14.05,13.95,3878,0.54
08-Dec-2011,14.55,14.55,14.00, 14.50,14.30,9670,1.37
07-Dec-2011,14.65,15.15,14.50, 14.50,14.60,6247,0.93
05-Dec-2011,14.10,14.40,13.80, 14.40,14.10,4284,0.60
02-Dec-2011,13.20,14.10,13.20, 14.10,14.05,9514,1.31
01-Dec-2011,13.50,13.80,13.35, 13.50,13.50,8731,1.19
30-Nov-2011,13.50,13.70,13.20, 13.20,13.20,5363,0.72
29-Nov-2011,13.25,13.80,13.25, 13.40,13.45,10573,1.44
28-Nov-2011,14.20,14.20,12.60, 13.50,13.50,2090,0.27
25-Nov-2011,12.70,13.25,12.70, 13.20,13.10,970,0.12
24-Nov-2011,11.65,13.95,11.65, 12.70,12.55,8714,1.10
23-Nov-2011,12.55,13.75,12.50, 12.65,12.75,6882,0.88
22-Nov-2011,13.00,13.75,13.00, 13.50,13.40,4905,0.66
21-Nov-2011,13.30,13.50,12.95, 13.00,13.10,10240,1.34
18-Nov-2011,13.20,14.25,13.00, 14.25,13.95,26742,3.66
17-Nov-2011,13.40,13.75,13.25, 13.30,13.30,3050,0.41
16-Nov-2011,13.95,14.10,13.25, 14.10,14.10,27610,3.84
15-Nov-2011,13.50,14.25,13.30, 14.00,13.95,26566,3.68
14-Nov-2011,14.10,14.90,13.45, 13.50,13.55,17381,2.42
11-Nov-2011,13.95,14.90,13.85, 14.10,14.15,59190,8.38
09-Nov-2011,13.20,13.40,12.95, 13.00,13.00,10688,1.40
08-Nov-2011,13.05,13.20,13.00, 13.20,13.20,1050,0.14
