Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,132.95,135.00,129.00, 132.20,131.50,2253,2.99
29-Dec-2011,129.15,132.90,127.00, 130.00,129.25,4193,5.46
28-Dec-2011,140.00,141.50,129.35, 129.50,131.45,3467,4.61
27-Dec-2011,136.35,139.55,135.60, 138.60,138.35,2174,3.01
26-Dec-2011,136.15,138.90,131.20, 137.95,138.00,5020,6.86
23-Dec-2011,137.50,140.00,134.50, 135.90,135.45,8305,11.30
22-Dec-2011,144.00,144.00,131.60, 131.60,133.70,6699,9.13
21-Dec-2011,154.80,154.80,138.10, 140.00,141.05,4453,6.42
20-Dec-2011,151.10,153.95,141.10, 141.15,143.10,5156,7.52
19-Dec-2011,167.85,167.85,149.35, 151.00,150.95,1851,2.80
16-Dec-2011,162.00,163.70,157.00, 157.00,157.20,1100,1.77
15-Dec-2011,163.00,167.80,160.20, 161.00,161.65,1593,2.59
14-Dec-2011,169.90,179.45,164.00, 167.00,167.55,1424,2.39
13-Dec-2011,165.00,169.90,162.50, 166.00,166.55,337,0.56
12-Dec-2011,167.00,172.00,166.80, 166.80,167.25,2082,3.50
09-Dec-2011,165.20,169.95,164.20, 168.95,168.55,1446,2.43
08-Dec-2011,178.00,178.00,170.00, 170.00,170.85,935,1.61
07-Dec-2011,170.00,179.80,167.00, 177.10,177.30,2678,4.70
05-Dec-2011,168.20,177.00,164.20, 173.75,173.70,2714,4.69
02-Dec-2011,166.00,175.45,166.00, 171.70,171.80,3204,5.49
01-Dec-2011,174.80,175.75,170.45, 171.20,171.20,1236,2.14
30-Nov-2011,175.00,175.00,168.00, 168.00,168.05,1470,2.49
29-Nov-2011,177.00,177.00,171.35, 172.60,172.70,2124,3.67
28-Nov-2011,171.20,177.80,171.20, 173.30,174.10,1732,3.01
25-Nov-2011,163.00,174.05,162.10, 168.00,171.45,2130,3.62
24-Nov-2011,166.20,168.75,163.00, 166.50,166.80,3257,5.37
23-Nov-2011,175.00,178.00,166.20, 169.00,169.10,4689,8.10
22-Nov-2011,184.60,189.50,176.10, 176.10,177.70,1615,2.91
21-Nov-2011,185.05,189.90,183.00, 184.50,184.10,1302,2.40
18-Nov-2011,190.10,194.90,182.00, 185.10,185.05,6056,11.25
17-Nov-2011,199.90,203.95,192.15, 193.55,195.35,39286,78.55
16-Nov-2011,200.75,200.95,192.00, 198.00,199.70,6119,12.13
15-Nov-2011,205.65,205.65,195.00, 195.25,197.85,4946,9.90
14-Nov-2011,212.00,215.50,200.35, 203.30,206.90,9570,20.04
11-Nov-2011,216.05,216.70,212.05, 212.50,213.10,4087,8.74
09-Nov-2011,218.60,224.00,216.60, 216.60,218.70,11037,24.29
08-Nov-2011,220.75,221.20,218.10, 218.65,220.65,642,1.41
04-Nov-2011,220.20,224.80,219.20, 220.50,220.00,3816,8.43
03-Nov-2011,221.00,221.70,220.00, 220.00,220.05,428,0.94
02-Nov-2011,221.00,221.45,218.05, 218.05,219.40,1475,3.24
01-Nov-2011,222.05,225.40,221.00, 222.90,221.95,963,2.15
31-Oct-2011,224.40,227.50,221.55, 224.00,225.45,2141,4.81
28-Oct-2011,220.00,225.90,220.00, 223.00,222.85,2724,6.10
26-Oct-2011,221.90,223.95,220.65, 222.90,221.85,438,0.97
25-Oct-2011,220.15,225.70,216.05, 219.20,219.25,1735,3.81
24-Oct-2011,218.20,226.00,218.20, 224.95,223.45,3118,6.92
21-Oct-2011,218.00,226.00,217.00, 220.35,220.80,4011,8.94
20-Oct-2011,218.15,223.00,218.15, 220.25,219.65,449,0.99
19-Oct-2011,217.60,222.00,217.60, 219.30,218.55,1091,2.40
18-Oct-2011,218.10,221.00,217.00, 218.10,218.90,1224,2.68
17-Oct-2011,217.40,224.85,217.40, 223.00,220.90,3097,6.83
14-Oct-2011,216.55,223.00,216.55, 222.95,221.40,2211,4.86
13-Oct-2011,219.90,221.95,217.80, 219.00,217.95,2608,5.72
12-Oct-2011,220.00,225.95,215.20, 217.05,217.60,3059,6.74
11-Oct-2011,219.30,221.60,219.20, 221.00,220.70,490,1.08
10-Oct-2011,220.90,221.00,217.50, 220.00,220.40,3059,6.71
07-Oct-2011,218.55,221.90,217.20, 220.10,218.90,5675,12.47
05-Oct-2011,220.00,220.00,213.60, 218.00,216.65,5275,11.40
04-Oct-2011,218.05,221.95,217.00, 221.95,219.90,3568,7.83
03-Oct-2011,219.95,221.45,216.00, 216.00,219.05,4078,8.95
30-Sep-2011,217.00,220.95,212.45, 220.20,218.85,4956,10.77
29-Sep-2011,220.95,220.95,214.00, 220.00,216.45,5414,11.68
28-Sep-2011,218.15,222.90,215.10, 215.10,217.70,1487,3.25
27-Sep-2011,223.85,223.85,214.65, 217.85,219.05,3826,8.38
26-Sep-2011,224.00,225.00,212.60, 214.05,214.50,5677,12.20
23-Sep-2011,213.05,222.15,213.05, 221.85,219.15,4128,8.97
