Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,34.00,35.70,34.00, 35.10,35.00,1636368,572.07
29-Dec-2011,34.00,34.40,34.00, 34.00,34.00,15301,5.21
28-Dec-2011,34.00,34.90,34.00, 34.00,34.00,9218,3.15
27-Dec-2011,33.75,34.95,33.20, 34.00,34.40,17983,6.22
26-Dec-2011,33.10,33.95,33.00, 33.15,33.15,13731,4.57
23-Dec-2011,33.10,34.85,32.25, 33.05,34.45,15551,5.29
22-Dec-2011,32.15,33.95,32.15, 33.95,33.55,15866,5.25
21-Dec-2011,33.80,34.00,32.60, 33.00,33.00,77605,25.63
20-Dec-2011,36.10,36.60,33.25, 33.25,33.45,16575,5.69
19-Dec-2011,33.60,38.70,33.60, 37.80,37.00,138882,49.50
16-Dec-2011,33.20,35.50,33.10, 33.70,35.05,164030,56.91
15-Dec-2011,33.20,35.25,33.00, 34.55,34.75,75413,25.88
14-Dec-2011,33.20,35.20,33.15, 34.30,33.70,1709052,573.93
13-Dec-2011,33.15,35.20,33.00, 33.50,33.70,58047,19.94
12-Dec-2011,34.50,35.85,33.25, 34.00,33.80,16234,5.58
09-Dec-2011,34.15,35.50,34.00, 35.50,35.40,16138,5.66
08-Dec-2011,33.50,35.85,32.90, 35.00,35.55,110392,37.62
07-Dec-2011,33.50,34.00,32.75, 33.95,33.00,1759332,580.65
05-Dec-2011,36.85,36.85,33.30, 34.00,34.00,36284,12.34
02-Dec-2011,34.20,35.60,34.15, 35.05,35.20,25838,9.06
01-Dec-2011,33.30,36.90,33.30, 35.15,35.35,69496,24.29
30-Nov-2011,34.20,35.25,33.15, 35.00,34.85,20072,6.92
29-Nov-2011,34.15,35.80,34.00, 34.05,34.10,38571,13.43
28-Nov-2011,32.55,36.00,32.55, 36.00,35.45,438565,147.08
25-Nov-2011,33.95,34.10,33.50, 33.55,33.50,23815,7.99
24-Nov-2011,32.20,34.00,32.20, 33.50,33.50,309000,103.07
23-Nov-2011,31.20,34.15,31.00, 33.00,33.10,87554,29.34
22-Nov-2011,33.15,34.80,32.00, 33.10,32.90,14835,4.92
21-Nov-2011,34.80,35.40,33.10, 35.40,34.90,37337,12.72
18-Nov-2011,33.70,34.00,32.00, 33.00,33.00,54218,17.90
17-Nov-2011,35.00,36.00,30.00, 33.00,33.00,43607,14.51
16-Nov-2011,35.00,37.45,33.50, 36.00,36.00,58722,21.10
15-Nov-2011,40.55,40.90,34.50, 36.00,36.70,82895,31.05
14-Nov-2011,40.00,41.50,38.20, 38.35,39.60,215570,87.50
11-Nov-2011,40.00,41.25,38.50, 40.50,40.00,72581,29.00
09-Nov-2011,40.30,43.35,39.20, 40.00,39.65,553088,221.32
08-Nov-2011,40.10,41.50,39.50, 41.15,41.25,97688,40.21
04-Nov-2011,38.15,40.45,38.15, 40.20,40.15,86876,34.67
03-Nov-2011,36.60,39.30,36.60, 39.00,39.00,154568,58.97
02-Nov-2011,39.25,40.45,38.45, 38.45,38.45,119503,46.59
01-Nov-2011,38.60,41.60,38.10, 40.95,40.45,151199,61.98
31-Oct-2011,36.00,39.60,35.85, 39.60,39.60,558435,216.70
28-Oct-2011,43.50,43.50,30.00, 38.00,37.70,801326,289.85
