Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,29.00,30.05,29.00, 29.90,29.90,166,0.05
29-Dec-2011,30.00,31.90,29.95, 29.95,30.05,362,0.11
28-Dec-2011,32.95,32.95,31.05, 31.05,31.05,440,0.14
27-Dec-2011,31.70,33.00,31.70, 33.00,33.00,505,0.16
26-Dec-2011,30.45,31.95,29.55, 31.95,31.80,201,0.06
23-Dec-2011,31.00,31.00,29.80, 29.80,29.80,499,0.15
22-Dec-2011,28.05,33.80,28.05, 31.80,31.80,313,0.10
21-Dec-2011,29.05,30.60,28.20, 29.90,29.80,631,0.19
20-Dec-2011,34.45,34.45,30.00, 30.05,30.00,1532,0.48
19-Dec-2011,31.05,33.90,30.55, 31.10,31.10,1056,0.33
16-Dec-2011,32.05,33.45,31.55, 33.45,32.50,39,0.01
15-Dec-2011,32.05,32.80,32.05, 32.75,32.75,5,0.00
14-Dec-2011,33.65,33.65,33.65, 33.65,33.65,271,0.09
13-Dec-2011,33.00,34.65,33.00, 33.10,33.10,152,0.05
12-Dec-2011,35.50,35.50,35.50, 35.50,35.50,50,0.02
09-Dec-2011,35.75,35.75,33.75, 34.40,34.40,286,0.10
08-Dec-2011,34.10,34.10,34.10, 34.10,34.10,1,0.00
07-Dec-2011,34.15,34.15,34.15, 34.15,34.15,10,0.00
05-Dec-2011,33.05,34.50,33.05, 34.35,34.35,100,0.03
02-Dec-2011,34.50,35.25,34.20, 35.25,35.25,32,0.01
01-Dec-2011,34.45,36.50,34.45, 36.00,36.00,550,0.19
30-Nov-2011,35.20,35.20,33.70, 33.70,33.70,288,0.10
29-Nov-2011,35.95,35.95,33.75, 35.20,33.85,343,0.12
28-Nov-2011,34.60,34.95,33.70, 33.75,34.05,617,0.21
25-Nov-2011,35.15,35.60,34.05, 35.10,35.10,554,0.19
24-Nov-2011,33.05,34.55,33.05, 33.60,33.60,1897,0.64
23-Nov-2011,35.85,35.90,33.00, 34.00,34.00,4758,1.60
22-Nov-2011,36.00,36.00,35.05, 35.05,35.05,1022,0.37
21-Nov-2011,38.95,38.95,34.05, 34.50,35.05,1521,0.55
18-Nov-2011,36.60,36.80,36.60, 36.70,36.70,518,0.19
17-Nov-2011,36.60,36.60,36.60, 36.60,36.60,58,0.02
16-Nov-2011,36.05,40.00,35.10, 35.80,36.00,3483,1.29
15-Nov-2011,37.05,37.10,37.00, 37.00,37.00,115,0.04
14-Nov-2011,38.05,39.65,38.00, 38.00,38.00,1314,0.50
11-Nov-2011,38.90,39.00,38.90, 39.00,39.00,221,0.09
09-Nov-2011,38.75,38.85,38.50, 38.85,38.85,152,0.06
08-Nov-2011,38.55,39.95,38.55, 39.05,39.05,250,0.10
04-Nov-2011,39.50,39.50,38.55, 38.55,38.55,51,0.02
03-Nov-2011,38.20,41.95,38.20, 41.95,41.95,102,0.04
02-Nov-2011,38.90,39.95,38.90, 39.95,39.90,202,0.08
01-Nov-2011,39.00,40.00,38.50, 39.00,39.00,536,0.21
31-Oct-2011,39.60,40.80,37.60, 40.80,40.45,7548,3.00
28-Oct-2011,38.25,38.90,38.25, 38.50,38.50,172,0.07
26-Oct-2011,39.70,39.75,39.70, 39.75,39.75,35,0.01
24-Oct-2011,38.00,38.00,38.00, 38.00,38.00,1,0.00
21-Oct-2011,38.05,38.90,37.70, 38.90,38.45,518,0.20
20-Oct-2011,40.95,40.95,37.60, 39.90,39.90,229,0.09
19-Oct-2011,38.00,38.00,37.35, 37.50,37.50,133,0.05
18-Oct-2011,39.95,39.95,36.70, 39.85,39.85,304,0.12
17-Oct-2011,38.50,38.50,37.30, 37.30,38.15,523,0.20
14-Oct-2011,40.50,40.50,37.15, 38.35,37.90,276,0.11
13-Oct-2011,40.00,40.00,36.55, 37.00,37.00,233,0.09
