Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,27.50,28.45,26.40, 26.90,26.90,151312,41.68
29-Dec-2011,29.00,29.00,27.35, 27.80,27.70,223333,62.03
28-Dec-2011,29.85,30.00,28.30, 28.35,28.90,84041,24.79
27-Dec-2011,29.90,30.70,29.80, 30.00,30.00,56343,17.02
26-Dec-2011,29.10,30.00,28.65, 30.00,29.95,34589,10.29
23-Dec-2011,29.00,29.25,28.70, 29.00,29.10,102835,29.91
22-Dec-2011,28.90,28.90,28.15, 28.65,28.70,92486,26.51
21-Dec-2011,29.80,29.95,28.25, 28.80,28.75,63027,18.15
20-Dec-2011,29.00,32.30,28.50, 29.30,29.45,518320,159.10
19-Dec-2011,30.10,30.30,28.10, 29.00,28.85,126991,36.82
16-Dec-2011,30.10,31.10,29.40, 30.40,30.20,187856,56.67
15-Dec-2011,31.50,31.60,30.50, 31.00,30.95,63557,19.77
14-Dec-2011,32.70,32.95,31.70, 31.70,31.90,132663,43.19
13-Dec-2011,33.50,33.65,32.45, 32.80,32.90,175412,57.87
12-Dec-2011,35.65,36.75,33.25, 33.60,34.05,33856,11.85
09-Dec-2011,35.15,36.55,34.70, 35.30,35.70,36493,12.98
08-Dec-2011,37.40,37.70,35.60, 35.95,35.95,31013,11.26
07-Dec-2011,37.80,38.00,37.15, 37.60,37.40,32496,12.20
05-Dec-2011,37.20,38.35,37.05, 38.00,37.65,125780,47.70
02-Dec-2011,38.85,38.85,37.10, 37.50,37.75,83406,31.70
01-Dec-2011,39.10,39.10,37.20, 37.60,37.50,263101,99.03
30-Nov-2011,40.85,40.85,37.05, 37.50,37.40,56632,21.60
29-Nov-2011,40.90,41.00,39.20, 39.80,40.10,115551,46.45
28-Nov-2011,40.00,41.00,39.20, 40.50,40.80,97240,39.27
25-Nov-2011,36.00,40.20,35.00, 39.50,39.30,209838,81.21
24-Nov-2011,33.60,36.80,33.50, 35.80,35.50,159391,56.27
23-Nov-2011,33.45,35.40,32.15, 33.70,33.95,832579,283.09
22-Nov-2011,34.85,34.90,33.30, 33.40,33.45,34213,11.61
21-Nov-2011,34.60,35.65,33.50, 34.35,34.15,37358,12.90
18-Nov-2011,34.85,35.00,32.10, 35.00,34.60,122431,40.69
17-Nov-2011,35.00,35.15,34.05, 34.45,34.60,140530,49.04
16-Nov-2011,34.00,35.05,33.25, 34.90,34.40,162114,55.36
15-Nov-2011,37.00,37.95,33.50, 34.15,33.95,198033,69.72
14-Nov-2011,38.95,39.90,36.40, 36.50,36.65,235885,89.74
11-Nov-2011,41.00,41.15,38.00, 38.80,38.70,175698,68.66
09-Nov-2011,42.85,43.00,40.20, 40.90,40.60,128460,53.12
08-Nov-2011,43.10,44.75,40.65, 42.00,42.35,355444,150.41
04-Nov-2011,45.85,46.80,43.35, 43.95,43.95,259452,117.68
03-Nov-2011,45.20,46.80,45.00, 45.80,45.50,178112,81.78
02-Nov-2011,44.35,46.10,44.35, 44.95,45.10,81667,37.17
01-Nov-2011,45.50,46.15,44.35, 45.00,44.85,71767,32.69
31-Oct-2011,46.00,46.60,45.30, 45.45,45.75,120146,55.21
28-Oct-2011,47.50,47.90,46.10, 46.10,46.20,98837,46.04
26-Oct-2011,45.30,48.00,45.30, 47.00,46.90,39243,18.46
25-Oct-2011,45.35,45.95,44.40, 45.10,45.30,36775,16.63
24-Oct-2011,47.50,47.90,44.20, 44.50,44.80,137894,63.48
21-Oct-2011,48.40,49.40,46.10, 46.70,46.50,105056,50.04
20-Oct-2011,49.25,49.70,47.40, 47.75,48.00,95660,46.06
19-Oct-2011,49.80,51.40,48.90, 49.25,49.30,247515,124.22
18-Oct-2011,47.95,51.90,46.20, 49.45,49.65,472890,232.76
17-Oct-2011,49.80,50.50,46.55, 47.90,47.80,803020,389.45
14-Oct-2011,42.30,47.00,40.80, 47.00,47.00,8131622,3402.56
13-Oct-2011,42.50,44.20,41.90, 42.60,42.70,155966,67.04
12-Oct-2011,42.30,42.90,41.55, 42.90,42.70,52897,22.35
11-Oct-2011,41.70,42.20,41.15, 41.85,41.80,43836,18.32
10-Oct-2011,41.15,42.20,41.15, 41.50,41.65,71791,30.08
07-Oct-2011,41.50,42.05,41.25, 41.35,41.50,66267,27.55
05-Oct-2011,40.25,41.45,39.20, 40.80,40.95,154495,63.14
04-Oct-2011,41.70,41.70,39.10, 40.95,40.75,110076,44.96
03-Oct-2011,41.15,42.00,39.80, 41.30,41.65,69544,28.45
30-Sep-2011,40.70,42.50,40.55, 41.65,41.85,78794,32.88
29-Sep-2011,41.00,41.50,40.80, 41.40,41.10,53150,21.97
28-Sep-2011,42.40,42.40,41.05, 41.80,41.50,111702,46.68
27-Sep-2011,43.50,43.50,39.35, 41.70,41.75,99389,40.84
