Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,17.05,18.20,17.05, 17.40,17.35,2429,0.42
29-Dec-2011,17.95,18.80,17.20, 17.30,17.45,3831,0.68
28-Dec-2011,18.40,18.40,17.40, 18.00,17.75,6342,1.14
27-Dec-2011,18.10,18.45,17.60, 17.60,17.60,355,0.06
26-Dec-2011,17.40,18.45,17.40, 18.45,18.25,2848,0.51
23-Dec-2011,17.95,18.40,17.40, 17.40,17.40,2839,0.51
22-Dec-2011,18.80,18.80,17.05, 17.10,17.15,2815,0.49
21-Dec-2011,16.60,18.85,16.60, 18.00,18.00,2528,0.44
20-Dec-2011,16.65,17.70,16.65, 17.00,17.05,2514,0.44
19-Dec-2011,17.00,17.35,16.35, 16.60,16.65,2527,0.42
16-Dec-2011,19.00,19.00,17.50, 17.50,17.65,3633,0.65
15-Dec-2011,18.00,18.75,18.00, 18.75,18.75,1177,0.22
14-Dec-2011,18.45,18.55,18.45, 18.55,18.55,13,0.00
13-Dec-2011,18.80,19.00,18.40, 18.45,18.45,1714,0.32
12-Dec-2011,19.25,19.65,18.55, 18.55,18.60,984,0.19
09-Dec-2011,18.55,19.70,18.55, 19.35,19.15,698,0.13
08-Dec-2011,19.50,19.90,19.35, 19.40,19.35,222,0.04
07-Dec-2011,19.80,20.20,19.30, 19.70,19.70,2055,0.40
05-Dec-2011,19.45,19.80,19.40, 19.75,19.75,959,0.19
02-Dec-2011,19.20,20.50,19.20, 19.55,19.75,2172,0.43
01-Dec-2011,19.50,20.65,19.20, 19.80,19.90,3387,0.68
30-Nov-2011,19.05,20.45,19.00, 19.75,20.10,1740,0.34
29-Nov-2011,19.70,19.70,18.30, 19.00,19.10,3492,0.67
28-Nov-2011,19.20,20.45,19.15, 20.45,20.20,1313,0.26
25-Nov-2011,19.05,19.90,19.00, 19.60,19.60,1936,0.38
24-Nov-2011,19.05,20.45,18.10, 19.55,19.70,2817,0.54
23-Nov-2011,20.45,20.45,18.75, 18.75,18.85,4901,0.94
22-Nov-2011,19.30,19.90,19.10, 19.25,19.25,867,0.17
21-Nov-2011,19.05,20.50,19.05, 20.20,19.75,2061,0.41
18-Nov-2011,20.00,20.50,19.45, 19.95,19.80,3900,0.77
17-Nov-2011,20.85,21.50,20.40, 20.50,20.50,1776,0.37
16-Nov-2011,20.00,24.00,19.45, 21.50,21.45,24128,5.31
15-Nov-2011,22.30,22.50,20.00, 20.05,20.05,6259,1.32
14-Nov-2011,21.05,24.40,21.05, 21.55,21.30,13480,3.04
11-Nov-2011,21.25,24.60,20.25, 21.95,21.60,80622,18.43
09-Nov-2011,20.00,21.30,19.70, 20.85,20.50,14704,3.06
08-Nov-2011,21.00,21.00,19.70, 20.20,20.00,2347,0.47
04-Nov-2011,19.50,20.85,19.35, 20.70,20.70,3164,0.65
03-Nov-2011,20.25,20.65,19.60, 20.30,20.25,17727,3.61
02-Nov-2011,19.00,20.70,18.40, 20.45,20.10,7635,1.51
01-Nov-2011,19.20,21.35,18.35, 19.70,19.40,10651,2.12
31-Oct-2011,19.00,19.95,19.00, 19.95,19.75,2284,0.45
28-Oct-2011,18.70,19.60,18.00, 19.20,19.00,3572,0.67
26-Oct-2011,19.00,19.35,18.50, 18.80,18.60,1677,0.31
25-Oct-2011,18.05,19.45,18.00, 19.00,18.80,4627,0.86
24-Oct-2011,19.25,19.25,18.30, 18.50,18.50,424,0.08
21-Oct-2011,17.00,18.50,17.00, 18.50,18.45,3335,0.61
20-Oct-2011,18.10,18.75,18.10, 18.55,18.35,2840,0.53
19-Oct-2011,18.55,18.55,18.15, 18.50,18.25,4680,0.86
18-Oct-2011,19.00,19.95,17.60, 18.00,18.05,8319,1.54
17-Oct-2011,18.60,19.15,18.35, 18.50,18.40,5222,0.97
14-Oct-2011,19.20,19.20,18.25, 18.50,18.65,4838,0.90
13-Oct-2011,18.85,19.45,18.55, 18.70,18.70,2223,0.42
12-Oct-2011,16.50,19.80,16.50, 18.85,18.55,1308,0.25
11-Oct-2011,19.40,19.40,18.20, 18.95,18.90,1440,0.27
10-Oct-2011,18.10,19.65,18.10, 19.00,18.90,914,0.18
07-Oct-2011,18.00,18.80,18.00, 18.75,18.70,1742,0.32
05-Oct-2011,17.50,18.60,17.50, 18.45,18.35,703,0.13
04-Oct-2011,18.50,20.20,18.10, 18.15,18.30,3506,0.65
03-Oct-2011,18.00,19.70,18.00, 18.75,18.75,381,0.07
30-Sep-2011,18.55,19.20,18.55, 19.10,19.10,3105,0.59
29-Sep-2011,18.00,19.90,18.00, 19.40,19.40,830,0.16
28-Sep-2011,19.00,20.10,19.00, 19.50,19.25,2753,0.53
27-Sep-2011,19.80,20.10,19.25, 19.45,19.45,775,0.15
26-Sep-2011,19.80,19.80,18.90, 19.15,18.95,2646,0.51
23-Sep-2011,19.25,20.30,19.25, 19.60,19.55,1029,0.20
