Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,31.50,34.35,31.50, 32.00,32.00,7564,2.46
29-Dec-2011,31.95,33.30,31.40, 32.95,32.25,8871,2.88
28-Dec-2011,34.00,34.00,31.50, 32.00,31.95,4777,1.53
27-Dec-2011,34.90,34.90,31.30, 32.00,32.15,16111,5.26
26-Dec-2011,32.00,34.50,32.00, 33.85,34.00,8175,2.76
23-Dec-2011,30.80,33.00,30.80, 32.35,32.45,10906,3.53
22-Dec-2011,31.00,31.25,30.10, 30.60,30.95,6212,1.92
21-Dec-2011,30.50,31.45,29.65, 30.60,30.75,9517,2.91
20-Dec-2011,31.00,31.75,29.45, 29.90,29.85,18984,5.72
19-Dec-2011,31.00,31.25,29.65, 30.75,30.50,20370,6.18
16-Dec-2011,33.55,34.60,30.65, 31.05,31.55,13662,4.52
15-Dec-2011,34.50,35.85,31.60, 33.50,33.35,20895,6.91
14-Dec-2011,37.00,37.20,34.95, 35.10,35.25,8853,3.17
13-Dec-2011,37.00,37.60,35.60, 36.00,36.05,9897,3.59
12-Dec-2011,38.55,39.65,36.30, 36.95,37.00,12602,4.79
09-Dec-2011,39.80,40.30,38.60, 38.70,38.80,16759,6.58
08-Dec-2011,38.00,42.65,37.50, 40.00,39.80,102487,41.85
07-Dec-2011,38.95,39.50,38.30, 38.30,38.40,12299,4.77
05-Dec-2011,38.50,39.70,38.20, 38.50,38.95,10772,4.21
02-Dec-2011,38.00,39.15,37.65, 38.40,38.70,7377,2.86
01-Dec-2011,39.20,41.00,37.95, 38.50,38.45,7124,2.76
30-Nov-2011,39.45,39.45,37.30, 37.55,38.20,6700,2.55
29-Nov-2011,38.90,39.20,37.60, 38.30,38.10,11900,4.58
28-Nov-2011,37.15,40.00,37.05, 37.75,38.00,26525,10.21
25-Nov-2011,34.05,38.90,34.05, 37.55,37.65,17768,6.59
24-Nov-2011,33.60,34.95,33.25, 34.40,34.70,8067,2.74
23-Nov-2011,35.25,35.25,33.00, 33.55,33.60,20348,6.96
22-Nov-2011,33.00,35.50,33.00, 35.25,35.15,10508,3.64
21-Nov-2011,36.50,36.50,30.30, 33.30,33.30,18027,6.20
18-Nov-2011,38.05,38.05,36.10, 36.30,36.65,15853,5.82
17-Nov-2011,40.00,41.45,37.70, 38.20,38.05,65912,25.52
16-Nov-2011,42.30,43.00,38.10, 41.00,40.95,38080,15.21
15-Nov-2011,44.05,45.50,41.90, 41.90,42.50,22783,9.86
14-Nov-2011,46.85,46.85,44.55, 44.55,44.65,20652,9.41
11-Nov-2011,49.20,49.45,46.25, 46.80,46.70,26298,12.41
09-Nov-2011,49.10,50.10,49.00, 49.05,49.20,24619,12.19
08-Nov-2011,49.80,50.00,49.00, 49.60,49.40,21105,10.44
04-Nov-2011,50.70,50.70,49.00, 49.60,49.60,35919,17.92
03-Nov-2011,50.80,50.90,49.05, 49.10,49.20,26985,13.37
