Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,117.95,122.00,111.35, 118.60,118.35,104488,124.41
29-Dec-2011,125.30,125.90,115.10, 115.10,116.20,125061,150.57
28-Dec-2011,132.60,132.60,126.50, 126.70,127.85,134527,174.28
27-Dec-2011,140.40,142.50,129.00, 133.20,134.55,283861,383.60
26-Dec-2011,157.00,160.95,141.30, 141.30,142.40,249268,370.75
23-Dec-2011,153.00,160.85,151.10, 156.35,157.00,407594,643.06
22-Dec-2011,140.00,157.25,140.00, 155.95,154.20,579697,875.81
21-Dec-2011,150.00,151.90,137.95, 149.40,146.70,621756,901.64
20-Dec-2011,138.00,152.80,136.10, 148.95,148.00,1307164,1892.03
19-Dec-2011,129.90,145.60,122.00, 138.40,137.90,1058688,1449.03
16-Dec-2011,111.30,134.75,110.60, 125.00,130.25,783638,1014.72
15-Dec-2011,119.80,120.30,110.35, 112.25,112.30,155809,176.59
14-Dec-2011,103.50,124.50,103.05, 119.00,120.30,332527,398.22
13-Dec-2011,103.35,105.45,100.35, 104.25,104.65,6541,6.70
12-Dec-2011,102.00,104.40,101.20, 103.00,103.35,7692,7.92
09-Dec-2011,102.00,104.40,101.55, 102.80,102.95,89212,91.56
08-Dec-2011,104.10,104.75,102.95, 103.00,103.00,78292,80.71
07-Dec-2011,106.00,106.65,104.25, 104.80,104.95,9537,10.06
05-Dec-2011,104.95,106.60,103.85, 106.00,105.30,16492,17.31
02-Dec-2011,104.10,105.05,103.00, 103.80,103.80,113921,118.22
01-Dec-2011,105.50,109.00,104.30, 104.55,104.65,24149,25.30
30-Nov-2011,105.00,105.65,104.45, 105.00,104.80,171288,179.69
29-Nov-2011,106.00,106.65,104.85, 105.00,105.05,35900,37.72
28-Nov-2011,108.00,108.00,105.00, 106.95,106.95,226612,242.11
25-Nov-2011,105.20,106.30,104.95, 105.15,105.15,10799,11.37
24-Nov-2011,104.40,108.00,103.10, 106.10,106.05,18194,19.28
23-Nov-2011,110.85,110.85,103.95, 104.00,104.30,29270,30.76
22-Nov-2011,106.00,108.95,105.00, 105.90,106.55,84378,89.48
21-Nov-2011,107.00,108.00,104.25, 108.00,105.55,34108,35.91
18-Nov-2011,111.00,111.00,106.80, 107.55,107.35,74381,80.76
17-Nov-2011,113.00,114.00,111.35, 112.25,112.15,16281,18.34
16-Nov-2011,114.95,114.95,112.20, 112.85,112.75,10776,12.22
15-Nov-2011,118.10,118.55,112.15, 112.30,113.95,20049,23.23
14-Nov-2011,121.35,121.35,117.50, 117.50,117.80,14106,16.77
11-Nov-2011,123.40,123.75,120.85, 121.00,121.35,33033,40.23
09-Nov-2011,124.35,125.35,123.00, 123.00,123.30,9118,11.30
08-Nov-2011,127.00,127.00,123.15, 124.55,124.65,17609,21.98
04-Nov-2011,128.00,128.45,125.85, 125.95,126.30,18918,24.02
03-Nov-2011,129.90,130.00,127.10, 130.00,128.20,16539,21.15
02-Nov-2011,134.00,134.00,128.00, 128.45,128.15,15169,19.50
01-Nov-2011,129.50,129.50,128.00, 128.15,128.20,7484,9.62
31-Oct-2011,132.10,132.10,128.80, 129.05,129.05,14655,19.01
28-Oct-2011,133.50,133.50,130.35, 131.90,130.80,11143,14.59
26-Oct-2011,130.90,132.95,129.80, 132.75,131.85,5276,6.95
25-Oct-2011,124.95,132.75,124.95, 128.35,128.30,15403,19.83
