Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,166.85,172.50,164.15, 171.30,169.85,939997,1580.58
29-Dec-2011,158.20,166.50,155.45, 164.80,164.15,1622912,2636.31
28-Dec-2011,162.70,163.45,158.50, 158.90,159.65,777557,1253.37
27-Dec-2011,167.00,170.30,162.40, 164.25,164.20,417257,693.23
26-Dec-2011,172.00,174.50,167.90, 170.40,169.80,280672,481.02
23-Dec-2011,176.10,178.25,170.05, 171.00,170.85,348599,606.63
22-Dec-2011,174.00,177.20,170.10, 176.00,174.85,763893,1321.73
21-Dec-2011,177.00,177.00,169.25, 176.95,174.25,1011285,1732.53
20-Dec-2011,176.00,177.35,163.05, 166.50,166.65,1462833,2435.29
19-Dec-2011,185.40,185.40,173.30, 173.50,176.05,1255549,2214.28
16-Dec-2011,198.00,200.95,185.15, 186.55,187.25,1041257,2018.72
15-Dec-2011,195.60,200.00,191.65, 197.05,197.40,258878,511.73
14-Dec-2011,197.65,201.00,194.70, 199.45,199.15,742383,1477.39
13-Dec-2011,205.50,206.10,194.65, 198.00,198.10,1225172,2434.14
12-Dec-2011,214.10,215.30,205.00, 205.00,206.10,1512603,3151.93
09-Dec-2011,220.00,220.00,206.50, 213.05,213.95,1663467,3554.31
08-Dec-2011,224.95,224.95,210.65, 212.40,211.65,513552,1106.24
07-Dec-2011,225.95,227.50,220.00, 220.05,221.45,395348,881.02
05-Dec-2011,221.45,226.90,221.45, 225.35,225.40,304673,685.83
02-Dec-2011,217.95,226.00,215.50, 226.00,223.75,428509,944.36
01-Dec-2011,219.55,222.00,214.45, 217.40,217.45,478104,1046.92
30-Nov-2011,212.20,216.60,210.35, 210.75,211.70,466698,997.10
29-Nov-2011,220.90,223.90,213.30, 214.20,214.80,513144,1129.70
28-Nov-2011,222.50,222.50,217.45, 220.00,220.85,758251,1665.40
25-Nov-2011,211.00,219.90,210.10, 218.00,217.35,543563,1175.87
24-Nov-2011,207.95,215.95,201.00, 214.00,213.95,542887,1135.97
23-Nov-2011,200.65,207.50,200.65, 203.95,205.30,449035,918.39
22-Nov-2011,200.10,206.05,190.25, 205.70,204.60,512819,1042.46
21-Nov-2011,203.20,208.90,200.10, 201.60,202.75,363297,743.14
18-Nov-2011,204.15,212.00,197.15, 207.80,205.75,978647,1994.66
17-Nov-2011,216.00,216.70,205.00, 206.95,207.45,539048,1140.37
16-Nov-2011,216.90,218.40,212.70, 216.90,215.75,631331,1356.98
15-Nov-2011,218.10,222.80,214.15, 217.25,216.85,470534,1022.00
14-Nov-2011,223.00,223.95,221.00, 222.00,222.05,403272,897.26
11-Nov-2011,219.95,223.85,218.10, 220.90,220.90,363636,804.12
09-Nov-2011,231.10,231.10,222.00, 222.00,223.45,500629,1132.40
08-Nov-2011,221.10,233.60,220.05, 228.90,229.95,445509,1014.70
04-Nov-2011,229.95,234.00,225.05, 226.60,227.25,624691,1430.34
03-Nov-2011,219.60,231.10,219.00, 230.00,229.80,586985,1325.74
02-Nov-2011,221.00,226.90,218.30, 225.55,225.20,497570,1117.66
01-Nov-2011,224.80,226.00,219.25, 221.55,221.15,827065,1846.95
31-Oct-2011,216.20,226.95,216.20, 225.75,225.90,1197793,2671.72
28-Oct-2011,217.85,223.00,215.00, 222.00,222.10,1655706,3646.16
26-Oct-2011,214.00,214.00,210.50, 212.50,212.45,189026,401.61
25-Oct-2011,210.00,214.50,205.30, 210.95,209.85,4396203,9237.91
24-Oct-2011,241.00,259.70,209.05, 209.60,212.15,6135205,13497.42
21-Oct-2011,252.15,254.05,238.30, 240.00,239.55,543623,1341.45
20-Oct-2011,249.15,251.45,244.60, 249.90,250.05,296927,735.85
19-Oct-2011,252.45,252.45,240.05, 249.35,249.10,318585,792.24
18-Oct-2011,247.50,247.50,241.10, 245.00,243.70,705886,1718.99
17-Oct-2011,255.90,255.90,248.80, 249.10,250.50,478435,1204.59
14-Oct-2011,251.85,255.05,248.00, 253.15,253.40,432773,1090.71
13-Oct-2011,247.90,255.05,247.05, 253.00,251.85,1180854,2972.82
12-Oct-2011,243.65,249.95,240.70, 248.50,246.40,706661,1726.20
11-Oct-2011,238.50,247.40,235.05, 241.95,241.40,769980,1863.50
10-Oct-2011,230.95,235.00,228.20, 234.90,234.15,441971,1029.93
07-Oct-2011,227.35,239.00,225.55, 229.45,230.40,605717,1390.42
05-Oct-2011,232.45,239.00,221.80, 227.00,224.75,3358144,7764.14
04-Oct-2011,239.00,240.25,225.00, 229.95,232.20,736405,1711.67
03-Oct-2011,241.95,241.95,234.70, 235.45,235.30,274887,651.64
30-Sep-2011,248.00,253.45,241.00, 243.05,244.70,416815,1035.19
29-Sep-2011,241.60,253.00,241.60, 250.00,249.85,1217155,3033.23
28-Sep-2011,253.20,257.80,247.65, 250.10,249.15,962923,2424.98
27-Sep-2011,252.30,259.80,251.50, 253.00,252.95,1237202,3176.79
26-Sep-2011,245.00,251.90,239.50, 250.60,250.00,898722,2205.08
23-Sep-2011,233.95,252.00,227.45, 240.40,242.80,2007525,4876.71
22-Sep-2011,240.15,244.50,231.30, 232.70,234.80,1007362,2425.89
