Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,6.95,6.95,6.95, 6.95,6.95,155,0.01
29-Dec-2011,6.90,6.95,6.90, 6.95,6.95,780,0.05
28-Dec-2011,6.95,7.00,6.55, 6.60,6.75,4985,0.34
27-Dec-2011,7.15,7.65,6.40, 6.80,6.75,10647,0.73
26-Dec-2011,7.95,7.95,7.05, 7.55,7.40,1663,0.12
23-Dec-2011,7.35,7.95,7.20, 7.35,7.35,1591,0.12
22-Dec-2011,7.30,7.30,7.30, 7.30,7.30,245,0.02
21-Dec-2011,7.00,7.80,6.85, 7.80,7.30,190,0.01
20-Dec-2011,7.00,7.70,7.00, 7.00,7.00,161,0.01
19-Dec-2011,7.65,7.75,7.00, 7.75,7.75,2548,0.19
16-Dec-2011,7.25,7.50,7.25, 7.50,7.50,3250,0.24
15-Dec-2011,8.35,8.35,6.95, 7.40,7.50,24325,1.78
13-Dec-2011,8.20,9.00,8.20, 8.75,8.65,591,0.05
12-Dec-2011,9.00,9.40,8.60, 8.70,8.80,2372,0.21
09-Dec-2011,9.35,9.35,9.00, 9.00,9.00,271,0.02
08-Dec-2011,9.15,10.00,8.50, 9.00,8.95,1966,0.17
07-Dec-2011,8.70,8.95,8.00, 8.95,8.95,647,0.06
05-Dec-2011,9.15,9.15,9.10, 9.10,9.10,105,0.01
02-Dec-2011,9.45,9.45,9.05, 9.35,9.10,7,0.00
01-Dec-2011,9.95,10.40,8.75, 9.00,9.00,163,0.02
30-Nov-2011,9.00,9.00,9.00, 9.00,9.00,98,0.01
29-Nov-2011,8.95,9.55,8.65, 9.55,9.15,1323,0.12
28-Nov-2011,9.70,9.75,8.50, 8.75,8.75,1572,0.14
25-Nov-2011,8.70,8.80,8.70, 8.80,8.75,102,0.01
24-Nov-2011,8.55,8.60,8.20, 8.50,8.50,2951,0.25
23-Nov-2011,8.25,8.80,8.25, 8.80,8.80,4555,0.40
22-Nov-2011,8.00,9.00,7.45, 9.00,9.00,5386,0.44
21-Nov-2011,9.00,9.05,8.40, 8.95,8.65,8235,0.71
18-Nov-2011,10.15,10.15,9.05, 9.45,9.45,188,0.02
17-Nov-2011,10.00,10.10,10.00, 10.00,10.00,433,0.04
16-Nov-2011,10.05,10.50,10.05, 10.05,10.05,109,0.01
