Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,154.90,154.90,147.20, 147.20,147.25,158,0.24
28-Dec-2011,154.95,154.95,154.95, 154.95,154.95,1,0.00
27-Dec-2011,142.60,156.00,142.60, 156.00,149.30,60,0.09
26-Dec-2011,149.60,149.60,149.60, 149.60,149.60,50,0.07
23-Dec-2011,142.50,142.50,142.50, 142.50,142.50,25,0.04
22-Dec-2011,149.50,149.50,149.50, 149.50,149.50,5,0.01
14-Dec-2011,140.10,151.00,140.10, 151.00,151.00,84,0.12
12-Dec-2011,143.95,146.00,143.95, 146.00,146.00,127,0.18
08-Dec-2011,140.00,141.00,140.00, 140.00,140.00,415,0.58
07-Dec-2011,135.15,135.15,135.15, 135.15,135.15,10,0.01
02-Dec-2011,140.00,140.00,140.00, 140.00,140.00,300,0.42
01-Dec-2011,146.80,146.80,135.75, 135.75,135.75,35,0.05
30-Nov-2011,140.00,140.00,140.00, 140.00,140.00,310,0.43
29-Nov-2011,140.00,140.00,140.00, 140.00,140.00,250,0.35
28-Nov-2011,134.00,134.00,134.00, 134.00,134.00,200,0.27
25-Nov-2011,142.00,142.00,140.00, 140.00,140.00,550,0.77
24-Nov-2011,142.00,142.00,142.00, 142.00,142.00,24,0.03
23-Nov-2011,131.00,140.00,131.00, 140.00,140.00,1270,1.76
22-Nov-2011,136.90,136.90,136.90, 136.90,136.90,10,0.01
21-Nov-2011,131.00,131.00,131.00, 131.00,131.00,100,0.13
18-Nov-2011,145.95,146.00,137.00, 137.00,137.60,422,0.59
17-Nov-2011,144.00,144.00,138.50, 138.50,143.00,110,0.16
16-Nov-2011,139.00,139.00,139.00, 139.00,139.00,4,0.01
15-Nov-2011,140.00,145.00,140.00, 145.00,144.95,490,0.70
14-Nov-2011,144.00,145.00,144.00, 145.00,145.00,275,0.40
11-Nov-2011,137.10,145.00,137.10, 145.00,145.00,200,0.28
08-Nov-2011,148.00,148.00,142.00, 142.00,142.00,18,0.03
04-Nov-2011,128.00,150.00,128.00, 142.00,142.00,284,0.41
03-Nov-2011,135.00,149.40,135.00, 146.50,143.75,776,1.11
