Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,24.45,24.45,22.05, 22.50,22.50,2671,0.60
29-Dec-2011,22.40,23.25,22.20, 22.50,22.35,1876,0.42
28-Dec-2011,22.85,24.85,22.35, 23.00,23.00,400,0.09
27-Dec-2011,22.50,23.90,22.45, 23.00,23.35,2707,0.63
26-Dec-2011,24.95,25.00,23.40, 24.00,23.50,1064,0.26
23-Dec-2011,23.85,27.00,22.05, 23.95,23.95,5814,1.43
22-Dec-2011,23.85,23.85,21.20, 22.60,22.95,2673,0.60
21-Dec-2011,23.85,23.85,21.15, 21.35,21.50,2179,0.47
20-Dec-2011,21.95,22.05,20.75, 20.75,21.00,2384,0.51
19-Dec-2011,22.15,22.55,21.25, 22.10,22.20,2881,0.63
16-Dec-2011,23.50,25.90,23.00, 23.00,23.25,5367,1.28
15-Dec-2011,25.85,25.85,24.00, 24.00,24.35,5029,1.24
14-Dec-2011,26.00,26.30,25.65, 25.80,25.85,850,0.22
13-Dec-2011,25.00,26.90,25.00, 25.80,25.85,3185,0.84
12-Dec-2011,26.05,26.90,26.00, 26.15,26.15,632,0.17
09-Dec-2011,26.20,27.00,25.95, 26.30,26.55,2612,0.69
08-Dec-2011,27.85,27.90,26.65, 27.10,27.10,156,0.04
07-Dec-2011,28.55,28.65,26.95, 28.00,27.75,2741,0.76
05-Dec-2011,27.10,28.00,27.10, 27.20,27.20,1080,0.30
02-Dec-2011,27.50,28.10,26.65, 27.05,27.20,3506,0.96
01-Dec-2011,29.25,29.25,28.00, 28.05,28.10,1507,0.43
30-Nov-2011,28.25,29.70,28.15, 29.25,29.00,2661,0.76
29-Nov-2011,28.25,29.90,28.00, 29.45,29.15,6733,1.95
28-Nov-2011,27.00,30.00,27.00, 28.60,28.65,2802,0.80
25-Nov-2011,26.65,27.80,26.65, 27.65,27.15,5494,1.49
24-Nov-2011,26.65,27.50,26.50, 27.30,27.30,3525,0.95
23-Nov-2011,26.45,27.25,26.40, 27.25,27.05,4234,1.15
22-Nov-2011,26.25,27.35,26.25, 27.05,27.20,7161,1.94
21-Nov-2011,28.70,29.40,26.20, 26.50,26.55,8583,2.30
18-Nov-2011,27.00,27.50,26.75, 27.10,27.50,18468,5.02
17-Nov-2011,26.75,27.00,25.50, 26.40,26.15,2983,0.79
16-Nov-2011,27.00,29.00,26.50, 26.50,26.65,2908,0.79
15-Nov-2011,28.00,28.90,27.10, 28.45,28.05,1033,0.29
14-Nov-2011,30.20,31.65,28.00, 28.75,28.65,7077,2.07
11-Nov-2011,30.50,31.00,30.05, 30.25,30.35,1010,0.31
09-Nov-2011,32.85,32.85,31.00, 31.00,31.60,1212,0.38
08-Nov-2011,33.00,33.45,31.35, 31.35,31.90,8783,2.87
04-Nov-2011,32.25,33.70,30.20, 33.70,32.55,56114,18.05
03-Nov-2011,30.85,31.70,30.20, 31.00,31.00,4104,1.28
02-Nov-2011,30.00,30.95,29.60, 30.90,30.35,2761,0.84
01-Nov-2011,30.55,30.55,30.00, 30.50,30.00,2225,0.67
31-Oct-2011,32.00,32.00,30.50, 30.70,30.75,1764,0.54
28-Oct-2011,31.00,31.50,30.55, 30.70,31.00,1782,0.55
26-Oct-2011,30.00,32.85,28.60, 31.00,31.15,2923,0.90
25-Oct-2011,31.00,31.00,30.00, 30.85,30.80,754,0.23
24-Oct-2011,34.00,34.00,30.15, 30.20,30.55,3691,1.14
21-Oct-2011,31.50,31.55,30.15, 31.40,31.35,5085,1.57
20-Oct-2011,30.60,30.90,30.20, 30.20,30.20,3679,1.12
19-Oct-2011,30.90,31.20,29.95, 30.60,30.90,3236,0.99
18-Oct-2011,30.55,30.55,29.20, 30.15,30.10,4969,1.49
17-Oct-2011,30.70,31.40,30.00, 31.35,31.30,7616,2.36
14-Oct-2011,30.00,30.35,29.65, 30.15,30.00,6823,2.04
13-Oct-2011,29.35,30.90,29.35, 29.75,29.85,5043,1.51
12-Oct-2011,30.75,30.75,29.30, 29.70,29.80,4197,1.24
11-Oct-2011,28.75,30.50,28.75, 29.90,29.85,7342,2.20
10-Oct-2011,29.50,30.15,29.00, 29.30,29.35,3785,1.12
07-Oct-2011,29.55,30.40,29.50, 30.05,30.30,8739,2.63
05-Oct-2011,29.10,29.90,28.20, 29.90,29.45,3156,0.92
04-Oct-2011,29.25,30.40,29.05, 29.80,29.75,10315,3.07
03-Oct-2011,28.50,29.90,28.50, 29.80,29.50,4583,1.35
30-Sep-2011,29.85,30.20,28.90, 29.50,29.10,5949,1.74
29-Sep-2011,29.00,30.15,28.60, 29.00,29.35,5209,1.52
28-Sep-2011,28.30,29.50,28.30, 29.50,29.20,3591,1.04
27-Sep-2011,29.00,31.00,28.75, 28.95,28.85,4899,1.43
26-Sep-2011,28.60,31.00,27.60, 28.70,28.40,7775,2.24
23-Sep-2011,29.00,30.10,28.40, 29.00,29.05,5930,1.73
22-Sep-2011,30.90,30.90,29.75, 29.75,30.05,3520,1.07
21-Sep-2011,31.00,31.35,30.00, 31.00,31.00,5891,1.80
20-Sep-2011,30.95,31.40,30.15, 30.85,30.55,2531,0.78
19-Sep-2011,30.35,31.30,29.70, 30.00,30.10,9496,2.90
16-Sep-2011,31.20,32.80,29.85, 31.30,30.70,6329,1.96
15-Sep-2011,34.00,34.00,30.90, 32.10,32.05,2728,0.87
14-Sep-2011,32.00,32.40,31.00, 31.05,31.10,1577,0.50
13-Sep-2011,29.55,33.95,29.55, 31.75,31.70,3501,1.10
12-Sep-2011,31.00,32.50,30.35, 30.40,30.95,2453,0.77
09-Sep-2011,32.80,34.45,31.55, 31.60,32.10,5749,1.88
08-Sep-2011,31.05,33.85,30.50, 33.15,33.00,9663,3.17
07-Sep-2011,30.10,32.90,30.10, 32.50,32.30,8718,2.76
06-Sep-2011,31.90,31.90,29.50, 30.25,30.45,2704,0.82
05-Sep-2011,30.00,31.00,29.00, 30.25,30.10,13314,4.02
02-Sep-2011,29.45,32.00,27.05, 31.80,31.00,27972,8.30
30-Aug-2011,28.00,28.95,26.35, 27.00,27.10,12665,3.43
29-Aug-2011,26.20,28.00,26.00, 27.30,27.20,14843,3.98
26-Aug-2011,27.00,27.30,26.05, 26.65,26.20,4970,1.33
25-Aug-2011,29.20,29.20,26.40, 26.70,26.55,7517,2.03
24-Aug-2011,29.35,30.00,27.50, 27.55,27.85,5145,1.45
23-Aug-2011,28.85,29.15,27.80, 28.10,28.00,15157,4.29
22-Aug-2011,29.00,29.95,27.30, 28.40,28.25,14623,4.13
19-Aug-2011,27.05,29.95,27.05, 29.90,28.80,4517,1.27
18-Aug-2011,29.15,30.00,28.00, 28.10,28.25,9563,2.73
17-Aug-2011,32.00,33.00,28.70, 28.95,29.05,22591,6.75
16-Aug-2011,34.00,34.00,31.55, 32.65,32.20,3112,1.01
12-Aug-2011,34.45,34.50,32.70, 32.70,33.30,3704,1.24
11-Aug-2011,33.50,34.30,33.30, 33.30,33.55,6758,2.28
10-Aug-2011,32.05,34.45,32.05, 33.05,33.40,5095,1.70
09-Aug-2011,31.00,34.00,31.00, 31.90,31.65,6727,2.15
08-Aug-2011,33.00,33.30,31.75, 32.00,32.10,9135,2.96
05-Aug-2011,32.50,34.90,32.15, 33.80,34.05,8515,2.81
04-Aug-2011,35.50,35.65,33.65, 34.00,34.05,2169,0.74
03-Aug-2011,33.00,35.00,33.00, 34.65,34.40,5366,1.81
02-Aug-2011,35.40,35.55,34.25, 34.30,34.35,5244,1.83
