Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,15.10,15.80,15.10, 15.60,15.60,33964,5.24
29-Dec-2011,15.20,15.50,15.05, 15.35,15.25,44858,6.89
28-Dec-2011,15.55,15.70,15.25, 15.30,15.30,31980,4.92
27-Dec-2011,15.70,16.00,15.40, 15.60,15.55,32338,5.05
26-Dec-2011,15.30,16.00,15.30, 15.70,15.65,18944,2.98
23-Dec-2011,15.50,15.85,15.25, 15.70,15.65,27337,4.29
22-Dec-2011,15.50,16.00,15.20, 15.55,15.55,40409,6.26
21-Dec-2011,15.50,15.75,15.40, 15.50,15.55,49039,7.64
20-Dec-2011,15.25,15.75,15.15, 15.45,15.50,43884,6.76
19-Dec-2011,16.20,16.20,15.50, 15.55,15.55,57942,9.14
16-Dec-2011,16.20,16.80,16.00, 16.20,16.15,28993,4.74
15-Dec-2011,16.15,16.65,16.00, 16.10,16.15,42103,6.82
14-Dec-2011,17.10,17.10,16.55, 16.55,16.65,46198,7.76
13-Dec-2011,17.00,17.15,16.75, 17.05,16.95,22179,3.76
12-Dec-2011,17.40,17.80,16.80, 16.85,17.00,41626,7.17
09-Dec-2011,17.50,17.90,16.90, 17.60,17.55,53770,9.28
08-Dec-2011,17.45,17.55,17.00, 17.35,17.35,48369,8.37
07-Dec-2011,17.95,17.95,17.00, 17.45,17.40,48615,8.46
05-Dec-2011,18.00,18.00,17.00, 17.10,17.05,36032,6.19
02-Dec-2011,16.75,17.20,16.75, 17.20,17.10,32651,5.55
01-Dec-2011,16.70,17.20,16.60, 16.80,16.85,61597,10.48
30-Nov-2011,16.95,17.00,16.70, 16.85,16.85,14857,2.50
29-Nov-2011,16.90,17.05,16.75, 16.75,16.85,63090,10.70
28-Nov-2011,16.00,17.00,15.80, 17.00,16.90,31074,5.24
25-Nov-2011,16.30,16.95,16.00, 16.95,16.60,55471,9.17
24-Nov-2011,16.60,16.60,16.00, 16.35,16.45,35108,5.71
23-Nov-2011,17.00,17.00,15.75, 16.45,16.25,66159,10.94
22-Nov-2011,16.65,16.90,15.55, 16.85,16.75,62368,10.30
21-Nov-2011,16.60,17.25,16.40, 16.75,16.65,85296,14.23
18-Nov-2011,16.00,16.90,16.00, 16.60,16.55,64657,10.64
17-Nov-2011,17.00,17.10,16.60, 16.65,16.80,57120,9.65
16-Nov-2011,17.50,17.75,16.85, 16.95,16.95,96324,16.45
15-Nov-2011,18.00,18.45,15.15, 17.35,17.50,117702,20.64
14-Nov-2011,18.00,18.90,17.55, 18.00,17.95,98282,17.67
11-Nov-2011,17.90,18.50,17.20, 17.75,17.70,124152,21.79
09-Nov-2011,17.00,17.80,16.95, 17.15,17.15,103299,17.84
