Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,59.00,60.90,59.00, 60.65,60.35,4403,2.65
29-Dec-2011,59.20,60.00,58.50, 58.90,59.30,958,0.57
28-Dec-2011,60.70,60.90,60.25, 60.25,60.40,1270,0.77
27-Dec-2011,58.00,61.45,57.30, 61.45,60.85,2652,1.59
26-Dec-2011,58.60,59.45,58.05, 59.00,58.85,9773,5.76
23-Dec-2011,60.00,60.00,57.20, 58.15,58.55,14311,8.46
22-Dec-2011,60.00,60.00,59.25, 59.95,59.65,5597,3.35
21-Dec-2011,59.35,60.80,59.30, 59.95,59.95,8497,5.12
20-Dec-2011,61.50,61.60,59.50, 59.50,60.00,11582,6.97
19-Dec-2011,61.10,63.05,61.00, 61.30,61.45,8495,5.24
16-Dec-2011,64.15,65.95,61.15, 61.20,62.10,10193,6.43
15-Dec-2011,64.00,65.50,62.80, 63.35,64.15,5857,3.74
14-Dec-2011,65.60,67.65,64.50, 64.50,64.90,12313,8.09
13-Dec-2011,66.50,71.70,66.10, 66.50,66.30,25515,17.25
12-Dec-2011,67.20,69.00,66.10, 67.85,67.45,7561,5.11
09-Dec-2011,67.15,67.55,67.00, 67.50,67.20,4717,3.18
08-Dec-2011,68.50,68.50,67.15, 67.15,67.20,5436,3.67
07-Dec-2011,68.15,70.30,68.10, 68.70,69.45,3992,2.76
05-Dec-2011,68.10,69.90,67.05, 69.85,69.20,4041,2.79
02-Dec-2011,68.25,69.85,68.00, 69.45,69.05,2111,1.46
01-Dec-2011,68.10,69.80,67.75, 68.20,68.30,5556,3.82
30-Nov-2011,69.85,69.85,66.40, 66.40,67.00,10327,7.00
29-Nov-2011,70.00,70.00,69.00, 69.95,69.55,2737,1.90
28-Nov-2011,69.70,71.20,66.50, 69.10,69.25,5886,4.09
25-Nov-2011,69.55,70.50,68.70, 70.00,70.15,2971,2.08
24-Nov-2011,68.50,69.55,68.25, 69.15,69.20,4938,3.41
23-Nov-2011,72.15,72.15,65.00, 69.90,69.85,15470,10.56
22-Nov-2011,70.05,71.40,69.10, 70.30,70.95,5319,3.74
21-Nov-2011,71.60,76.30,69.20, 70.20,69.95,3801,2.72
18-Nov-2011,71.50,71.60,68.00, 71.10,70.75,47126,32.87
17-Nov-2011,75.05,76.20,71.10, 71.25,71.40,17783,13.05
16-Nov-2011,75.05,77.85,73.55, 74.40,75.05,8476,6.37
15-Nov-2011,79.40,83.80,75.75, 75.75,76.40,6829,5.31
14-Nov-2011,86.25,86.25,78.05, 78.60,78.40,22908,18.57
11-Nov-2011,90.00,90.00,86.55, 86.65,87.10,11088,9.73
09-Nov-2011,91.75,92.20,90.30, 90.55,90.65,4393,4.01
08-Nov-2011,90.00,92.50,90.00, 91.85,91.25,9226,8.44
04-Nov-2011,90.70,92.40,90.70, 90.70,90.95,7081,6.45
03-Nov-2011,90.00,91.30,89.10, 91.00,91.00,4117,3.74
