Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,73.95,73.95,71.65, 73.50,73.45,629913,459.21
29-Dec-2011,76.10,76.10,71.70, 72.90,72.65,1436049,1052.31
28-Dec-2011,87.25,87.25,74.10, 76.30,76.10,612539,465.15
27-Dec-2011,81.70,82.10,76.65, 77.00,77.05,785726,615.27
26-Dec-2011,80.40,82.85,80.00, 81.00,81.10,267031,217.24
23-Dec-2011,78.40,81.85,78.40, 80.60,80.40,514529,412.80
22-Dec-2011,75.85,79.10,73.50, 78.90,78.40,1462834,1103.42
21-Dec-2011,76.70,78.55,74.50, 75.80,75.85,732485,554.26
20-Dec-2011,75.25,79.50,75.25, 75.80,75.95,538240,411.73
19-Dec-2011,78.50,79.80,74.40, 77.85,78.65,619810,482.17
16-Dec-2011,83.20,84.90,78.60, 80.25,79.80,674178,551.59
15-Dec-2011,84.00,84.65,81.30, 82.50,83.20,764928,634.93
14-Dec-2011,85.05,88.40,83.25, 84.15,83.75,1405463,1205.23
13-Dec-2011,85.00,85.90,83.15, 85.20,85.00,882613,750.11
12-Dec-2011,87.80,88.85,84.25, 85.15,84.85,1196875,1032.39
09-Dec-2011,88.10,88.80,85.25, 87.05,87.75,1381916,1203.16
08-Dec-2011,89.70,90.90,87.20, 88.00,88.10,599895,530.40
07-Dec-2011,91.45,92.50,89.40, 90.25,89.95,782370,708.18
05-Dec-2011,92.00,92.30,90.50, 91.30,91.30,298680,272.90
02-Dec-2011,91.35,92.65,89.10, 92.00,92.00,425055,389.12
01-Dec-2011,93.00,94.95,88.00, 90.55,91.00,712489,656.66
30-Nov-2011,91.70,92.50,89.30, 91.50,91.70,367339,334.06
29-Nov-2011,79.85,94.95,79.85, 91.35,91.80,466553,430.89
28-Nov-2011,93.90,99.00,89.65, 91.15,91.00,569727,519.95
25-Nov-2011,87.20,91.30,85.80, 89.95,89.55,896509,806.46
24-Nov-2011,84.05,88.00,82.20, 87.00,87.20,873915,748.30
23-Nov-2011,84.30,85.70,81.95, 83.70,84.05,698291,585.35
22-Nov-2011,83.60,85.95,81.35, 85.00,84.30,582216,485.29
21-Nov-2011,87.75,87.75,82.00, 82.50,83.40,707105,604.04
18-Nov-2011,88.15,88.75,85.75, 86.65,86.95,883706,768.79
17-Nov-2011,89.95,91.00,88.10, 88.50,88.50,980022,870.91
16-Nov-2011,92.05,93.95,89.05, 90.30,89.95,1214986,1105.01
15-Nov-2011,94.45,94.45,91.35, 92.00,91.75,880958,811.24
14-Nov-2011,96.30,96.50,92.00, 93.50,93.10,1036333,970.84
11-Nov-2011,99.25,99.25,94.25, 95.15,95.20,2669405,2558.87
09-Nov-2011,106.00,108.40,101.40, 102.60,102.20,1486671,1548.52
08-Nov-2011,106.40,109.45,106.00, 107.15,107.80,1805812,1953.74
04-Nov-2011,101.75,106.00,100.60, 105.30,105.45,2144237,2236.84
03-Nov-2011,98.20,100.45,98.20, 100.15,100.20,445074,444.13
02-Nov-2011,98.20,100.40,97.60, 98.85,98.95,457252,454.35
01-Nov-2011,99.55,101.50,97.55, 98.65,98.75,523169,519.86
31-Oct-2011,100.70,101.90,99.10, 99.80,99.80,1121441,1118.76
28-Oct-2011,101.00,102.75,98.70, 100.25,100.55,2257946,2274.37
26-Oct-2011,105.00,105.00,95.60, 97.45,97.50,238495,232.24
25-Oct-2011,96.25,97.00,94.80, 96.30,96.15,1049715,1004.61
24-Oct-2011,98.20,98.90,95.60, 96.20,96.00,1157147,1121.99
21-Oct-2011,100.45,100.65,96.10, 96.60,96.70,1353280,1334.09
20-Oct-2011,99.25,99.95,98.30, 99.65,99.55,791672,784.83
19-Oct-2011,99.90,100.95,99.00, 100.00,100.05,1324757,1326.68
18-Oct-2011,102.70,102.70,98.35, 99.10,99.30,1970333,1963.02
17-Oct-2011,106.40,107.00,103.05, 103.05,103.45,1495740,1558.08
14-Oct-2011,102.90,105.85,102.15, 105.85,105.50,1499246,1564.56
13-Oct-2011,101.40,105.40,101.00, 102.00,102.20,3454628,3579.73
12-Oct-2011,101.00,101.40,99.00, 101.20,100.40,2424536,2423.07
11-Oct-2011,103.00,104.40,99.50, 100.00,100.70,1305165,1332.45
10-Oct-2011,104.75,106.50,100.40, 101.75,101.90,1660340,1692.95
07-Oct-2011,103.10,108.65,103.10, 105.00,104.75,1168192,1233.69
05-Oct-2011,103.40,105.40,102.20, 102.50,102.55,674951,697.93
04-Oct-2011,104.50,107.45,102.15, 103.50,103.00,902015,937.60
03-Oct-2011,108.25,108.95,104.10, 105.00,105.00,785831,838.71
30-Sep-2011,119.00,119.50,108.55, 110.80,111.15,1510368,1746.17
29-Sep-2011,118.00,120.60,116.60, 119.50,119.55,1113387,1318.27
28-Sep-2011,120.85,122.00,119.25, 119.40,119.90,755617,910.54
27-Sep-2011,119.90,120.50,118.15, 119.90,119.75,322888,386.33
26-Sep-2011,117.00,119.35,115.35, 117.05,117.75,417085,489.11
23-Sep-2011,117.25,117.65,115.30, 117.10,117.05,294609,343.99
22-Sep-2011,120.50,121.00,118.10, 118.90,118.80,731827,871.96
21-Sep-2011,122.00,124.80,120.30, 121.10,121.10,801259,975.40
20-Sep-2011,116.00,120.90,115.00, 120.00,120.20,782699,936.90
19-Sep-2011,123.95,124.60,118.35, 118.50,118.80,1064690,1288.07
16-Sep-2011,120.60,125.00,118.00, 123.70,123.35,1124936,1370.14
15-Sep-2011,118.25,119.90,117.50, 119.25,119.30,696129,827.02
14-Sep-2011,120.10,120.10,115.20, 117.80,117.30,1395410,1637.12
13-Sep-2011,117.00,122.90,117.00, 118.50,118.95,1183705,1421.51
12-Sep-2011,121.90,121.90,117.20, 119.05,118.65,1312598,1558.33
09-Sep-2011,124.95,125.35,121.20, 122.50,122.30,1093208,1353.66
08-Sep-2011,122.95,126.65,121.65, 124.70,124.75,1680272,2096.90
07-Sep-2011,120.70,124.25,120.00, 122.10,121.95,1727534,2113.22
06-Sep-2011,118.95,120.70,115.15, 120.70,119.70,777271,917.52
05-Sep-2011,119.80,122.90,118.10, 119.80,120.50,682404,826.66
02-Sep-2011,117.35,121.70,115.10, 121.50,120.90,1064572,1271.77
30-Aug-2011,115.40,117.35,113.05, 115.70,116.00,564525,651.63
29-Aug-2011,111.10,114.95,110.95, 113.75,113.75,565131,638.85
26-Aug-2011,111.80,112.70,108.15, 110.40,110.60,635230,701.01
25-Aug-2011,114.90,116.25,111.80, 112.00,112.45,1002024,1132.36
24-Aug-2011,117.90,117.90,113.55, 113.90,114.90,1053095,1213.58
23-Aug-2011,116.20,119.60,113.20, 113.75,114.30,2746473,3158.77
22-Aug-2011,119.00,124.70,111.50, 116.45,115.15,1906691,2181.03
19-Aug-2011,126.00,128.50,115.15, 117.35,116.85,2368834,2842.94
18-Aug-2011,131.95,132.00,129.00, 129.75,129.90,1254384,1626.62
17-Aug-2011,132.10,133.45,128.00, 129.65,130.35,988136,1292.26
16-Aug-2011,132.00,136.90,130.10, 133.00,132.95,961432,1277.09
12-Aug-2011,134.60,135.80,132.20, 133.45,133.70,610921,819.27
11-Aug-2011,132.95,136.90,130.10, 133.00,133.50,1087706,1460.88
10-Aug-2011,131.50,134.40,126.10, 134.30,133.55,852300,1126.44
09-Aug-2011,127.00,132.65,127.00, 129.10,130.10,1949718,2535.74
08-Aug-2011,128.00,135.50,125.55, 133.00,133.15,1160519,1515.66
05-Aug-2011,125.00,132.40,123.50, 132.30,131.50,1466783,1875.03
04-Aug-2011,132.00,134.60,130.65, 131.50,131.45,541749,717.97
03-Aug-2011,132.70,133.80,128.30, 131.75,131.60,1119217,1459.53
02-Aug-2011,135.00,136.95,132.55, 134.10,134.05,2111053,2826.16
01-Aug-2011,138.00,140.05,132.10, 135.00,135.10,2234317,3010.54
29-Jul-2011,142.40,144.40,135.15, 136.00,137.15,2052418,2906.12
28-Jul-2011,142.95,143.10,139.45, 141.65,141.60,1604539,2270.20
27-Jul-2011,144.50,145.20,141.60, 143.25,143.15,1379313,1969.83
26-Jul-2011,143.85,145.25,140.55, 143.70,143.10,1905378,2734.01
25-Jul-2011,149.70,149.70,142.00, 142.40,142.50,1803202,2620.41
22-Jul-2011,151.00,151.00,146.60, 147.05,147.20,1402617,2065.67
21-Jul-2011,155.05,155.05,148.00, 148.15,148.65,1505273,2261.59
20-Jul-2011,160.00,160.45,153.65, 154.10,154.60,1113482,1734.99
19-Jul-2011,158.25,161.00,158.00, 159.40,159.65,547093,875.79
18-Jul-2011,160.85,161.30,158.25, 158.70,158.80,275798,440.80
15-Jul-2011,160.05,162.50,159.00, 159.80,160.00,331852,534.40
14-Jul-2011,159.30,161.40,157.50, 160.00,160.05,418452,670.21
13-Jul-2011,160.00,160.00,157.00, 158.80,158.80,295099,468.73
12-Jul-2011,161.55,161.55,156.25, 156.95,157.30,653841,1034.35
11-Jul-2011,164.00,164.25,161.20, 161.50,161.55,519054,845.47
08-Jul-2011,166.60,167.50,163.65, 165.35,165.10,677594,1119.93
07-Jul-2011,164.00,167.65,163.55, 165.90,166.60,1158859,1923.17
06-Jul-2011,169.55,169.80,163.00, 163.50,163.80,1660843,2752.50
05-Jul-2011,163.85,169.35,163.85, 168.55,168.45,3210805,5349.23
04-Jul-2011,161.05,163.90,160.00, 163.45,163.20,1899939,3076.52
01-Jul-2011,161.00,161.50,157.65, 158.30,158.90,1121694,1787.26
30-Jun-2011,161.05,161.60,157.25, 159.80,159.60,1662822,2644.95
29-Jun-2011,162.00,163.50,157.00, 160.10,159.65,2587521,4149.36
28-Jun-2011,160.95,162.00,159.05, 161.05,161.05,488515,784.56
27-Jun-2011,157.75,159.65,157.10, 158.75,158.85,248363,394.62
24-Jun-2011,154.75,158.90,154.75, 158.45,157.95,576383,904.77
23-Jun-2011,156.05,157.00,153.00, 154.75,154.75,1233574,1911.67
22-Jun-2011,159.55,162.65,155.50, 156.25,157.55,511871,807.02
