Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,55.30,57.90,55.30, 55.55,56.90,234,0.13
29-Dec-2011,55.00,55.30,55.00, 55.30,55.30,474,0.26
28-Dec-2011,53.00,53.00,52.55, 52.55,52.70,100,0.05
27-Dec-2011,55.00,57.55,54.05, 55.00,55.15,575,0.32
26-Dec-2011,51.00,55.05,51.00, 55.05,55.05,200,0.11
23-Dec-2011,50.00,50.05,50.00, 50.05,50.05,480,0.24
22-Dec-2011,44.95,45.50,44.95, 45.50,45.50,2823,1.27
21-Dec-2011,50.20,52.50,41.00, 41.10,41.40,5315,2.25
20-Dec-2011,52.00,52.20,50.10, 50.10,51.25,1045,0.54
19-Dec-2011,52.45,52.45,51.50, 51.50,51.50,238,0.12
16-Dec-2011,58.05,58.05,52.40, 52.40,53.70,143,0.08
15-Dec-2011,63.00,68.35,58.05, 60.10,60.10,1203,0.78
14-Dec-2011,61.15,61.15,61.15, 61.15,61.15,66,0.04
13-Dec-2011,63.80,63.80,61.00, 63.70,63.70,1131,0.70
12-Dec-2011,61.10,64.75,61.00, 61.00,62.05,262,0.16
09-Dec-2011,64.00,64.50,61.60, 61.60,61.60,94,0.06
08-Dec-2011,64.00,64.00,64.00, 64.00,64.00,76,0.05
07-Dec-2011,62.00,64.00,62.00, 64.00,64.00,39,0.02
05-Dec-2011,67.00,67.00,60.55, 60.60,60.60,64,0.04
02-Dec-2011,69.50,69.50,69.50, 69.50,69.50,8,0.01
30-Nov-2011,63.00,63.00,63.00, 63.00,63.00,122,0.08
29-Nov-2011,62.00,64.90,55.55, 63.00,63.00,153,0.09
28-Nov-2011,65.00,67.00,61.25, 63.25,63.25,4873,3.26
25-Nov-2011,56.15,60.90,56.15, 60.90,60.05,10,0.01
24-Nov-2011,67.00,67.00,57.00, 57.00,57.75,111,0.07
23-Nov-2011,57.05,57.05,52.55, 56.25,56.25,302,0.17
22-Nov-2011,61.95,61.95,58.05, 58.05,58.05,50,0.03
21-Nov-2011,65.00,67.95,54.35, 60.35,59.75,1087,0.66
18-Nov-2011,58.10,67.40,55.10, 67.00,67.20,26,0.02
17-Nov-2011,60.05,61.35,60.05, 61.30,61.35,24,0.01
15-Nov-2011,62.00,62.05,61.20, 62.05,62.05,371,0.23
14-Nov-2011,65.50,65.50,63.00, 64.75,64.75,766,0.50
11-Nov-2011,66.10,66.10,62.55, 64.00,64.10,2834,1.81
09-Nov-2011,64.00,70.20,64.00, 68.00,68.00,228,0.15
08-Nov-2011,66.00,66.00,63.05, 64.00,64.00,142,0.09
04-Nov-2011,65.10,69.50,65.10, 65.10,65.10,81,0.05
03-Nov-2011,64.85,70.00,64.50, 64.50,64.50,539,0.35
01-Nov-2011,69.00,69.00,67.50, 67.50,67.50,166,0.11
31-Oct-2011,69.50,69.50,69.50, 69.50,69.50,50,0.03
28-Oct-2011,67.00,72.95,65.25, 69.95,67.10,433,0.29
26-Oct-2011,75.00,75.00,64.05, 72.00,69.55,27,0.02
25-Oct-2011,65.25,65.25,62.55, 62.55,63.85,126,0.08
24-Oct-2011,67.50,67.50,67.50, 67.50,67.50,200,0.14
21-Oct-2011,70.00,70.00,70.00, 70.00,70.00,2000,1.40
20-Oct-2011,69.00,72.00,66.25, 67.05,67.05,599,0.40
19-Oct-2011,73.00,73.95,67.50, 72.90,71.45,179,0.13
18-Oct-2011,72.90,73.00,67.50, 73.00,72.95,24,0.02
17-Oct-2011,68.05,68.05,68.05, 68.05,68.05,159,0.11
14-Oct-2011,67.25,72.50,67.25, 68.50,68.50,168,0.12
13-Oct-2011,69.00,71.50,69.00, 71.30,70.05,208,0.15
12-Oct-2011,69.00,69.00,68.65, 68.65,68.65,117,0.08
11-Oct-2011,73.00,73.00,68.15, 68.75,68.80,500,0.35
10-Oct-2011,74.90,74.90,70.55, 70.55,70.55,211,0.15
07-Oct-2011,68.00,76.00,68.00, 76.00,76.00,140,0.10
05-Oct-2011,73.00,74.00,70.55, 70.55,71.00,1188,0.87
04-Oct-2011,69.00,77.00,66.30, 77.00,77.00,16,0.01
03-Oct-2011,67.30,76.00,67.30, 70.10,71.05,464,0.33
30-Sep-2011,76.45,77.85,70.55, 70.55,70.55,310,0.22
29-Sep-2011,70.05,72.55,70.05, 72.50,72.50,116,0.08
28-Sep-2011,74.10,74.10,74.10, 74.10,74.10,100,0.07
27-Sep-2011,75.15,77.00,70.55, 75.05,75.05,1819,1.35
26-Sep-2011,78.00,78.00,75.55, 77.00,77.00,224,0.17
23-Sep-2011,79.90,81.10,77.00, 81.00,81.00,3727,2.89
22-Sep-2011,83.00,83.00,77.00, 79.90,79.90,1359,1.05
21-Sep-2011,78.00,82.00,78.00, 82.00,78.35,1013,0.83
20-Sep-2011,78.80,83.00,75.60, 83.00,81.60,178,0.14
19-Sep-2011,79.15,79.15,75.10, 76.55,76.55,269,0.21
15-Sep-2011,79.00,79.20,79.00, 79.20,79.20,60,0.05
14-Sep-2011,82.00,90.00,80.05, 81.00,81.00,569,0.46
13-Sep-2011,84.00,84.90,84.00, 84.00,84.00,190,0.16
12-Sep-2011,77.10,84.00,77.10, 82.00,83.60,1992,1.66
09-Sep-2011,75.00,79.00,73.25, 79.00,79.00,45106,35.63
08-Sep-2011,77.00,82.00,76.15, 76.50,76.20,362,0.28
07-Sep-2011,78.85,78.90,78.85, 78.90,78.90,150,0.12
06-Sep-2011,82.50,82.50,75.10, 76.50,76.50,675,0.53
05-Sep-2011,81.90,82.00,73.00, 76.00,75.90,477,0.36
02-Sep-2011,79.50,80.00,76.50, 77.00,77.00,115,0.09
30-Aug-2011,79.00,81.50,74.25, 81.05,79.45,1632,1.31
29-Aug-2011,83.75,83.75,79.70, 80.00,79.85,100,0.08
26-Aug-2011,74.25,78.95,68.55, 70.00,73.70,1010,0.75
25-Aug-2011,79.00,79.00,74.45, 74.45,74.45,104,0.08
24-Aug-2011,78.90,79.00,74.25, 74.25,74.25,374,0.29
23-Aug-2011,79.00,79.00,75.50, 77.95,76.70,211,0.16
22-Aug-2011,76.00,78.00,75.00, 76.00,76.00,168,0.13
19-Aug-2011,77.50,79.90,72.25, 79.90,79.80,1603,1.25
18-Aug-2011,80.50,83.20,78.25, 79.90,79.90,2658,2.13
17-Aug-2011,79.90,83.50,79.90, 80.85,80.85,560,0.45
16-Aug-2011,80.50,84.35,80.00, 84.00,82.00,3946,3.23
12-Aug-2011,81.20,82.80,81.20, 82.80,81.55,314,0.26
11-Aug-2011,86.90,86.90,83.15, 83.85,84.20,727,0.61
10-Aug-2011,78.25,84.50,78.25, 83.80,83.70,1638,1.37
09-Aug-2011,80.00,82.00,80.00, 80.10,80.80,1270,1.03
08-Aug-2011,77.00,82.75,75.25, 80.50,80.55,2452,1.96
05-Aug-2011,76.10,86.70,75.00, 81.55,81.15,2520,2.03
04-Aug-2011,89.90,89.90,83.25, 85.75,84.45,3413,2.88
03-Aug-2011,80.00,90.00,80.00, 89.95,88.25,7609,6.63
02-Aug-2011,80.00,85.00,80.00, 84.00,84.00,2365,1.98
01-Aug-2011,90.00,90.00,79.00, 82.05,82.05,6553,5.27
29-Jul-2011,78.10,82.00,78.10, 82.00,80.90,4093,3.29
28-Jul-2011,76.00,82.65,76.00, 80.00,78.60,6731,5.34
27-Jul-2011,79.90,79.90,76.00, 76.00,76.15,592,0.45
26-Jul-2011,76.00,81.00,74.15, 76.00,76.10,5436,4.16
25-Jul-2011,82.15,82.95,75.00, 79.25,78.35,2027,1.63
22-Jul-2011,83.40,85.00,80.25, 82.75,83.40,4554,3.76
21-Jul-2011,83.00,85.95,82.90, 84.00,84.20,2906,2.43
20-Jul-2011,83.25,86.00,82.10, 84.00,84.00,6631,5.56
19-Jul-2011,83.00,85.90,82.00, 85.90,84.40,3212,2.68
18-Jul-2011,83.10,86.00,81.45, 86.00,84.00,8725,7.26
15-Jul-2011,87.00,87.00,83.00, 85.80,84.45,9193,7.80
14-Jul-2011,85.50,92.70,81.05, 88.45,87.90,30453,26.59
13-Jul-2011,90.00,97.45,81.25, 86.00,87.00,108480,96.25
12-Jul-2011,74.85,81.80,70.00, 81.80,81.80,28656,22.92
11-Jul-2011,66.00,68.15,66.00, 68.15,68.15,3375,2.30
08-Jul-2011,64.90,64.90,64.90, 64.90,64.90,3106,2.02
07-Jul-2011,59.00,61.80,59.00, 61.80,61.80,754,0.46
06-Jul-2011,54.00,58.85,54.00, 58.85,58.85,1353,0.76
05-Jul-2011,55.50,56.05,55.10, 56.05,56.05,231,0.13
04-Jul-2011,57.50,62.90,57.00, 58.00,58.00,7099,4.10
01-Jul-2011,59.95,62.50,59.95, 60.00,60.00,10173,6.10
30-Jun-2011,64.00,64.00,63.10, 63.10,63.10,5749,3.63
29-Jun-2011,66.40,73.40,66.40, 66.40,66.40,9016,6.11
28-Jun-2011,40.00,84.40,38.00, 69.00,69.90,72089,45.39
