Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,34.10,38.85,34.10, 34.75,35.50,703,0.25
29-Dec-2011,34.30,38.30,34.30, 35.15,35.15,727,0.26
28-Dec-2011,36.50,38.15,34.75, 35.25,35.25,137,0.05
27-Dec-2011,38.00,39.80,36.00, 36.35,37.30,3953,1.54
26-Dec-2011,35.10,40.00,34.20, 39.45,38.95,2093,0.80
23-Dec-2011,36.85,37.80,35.55, 35.60,35.60,1888,0.70
22-Dec-2011,34.05,37.00,33.15, 35.25,33.90,1117,0.38
21-Dec-2011,34.00,36.50,33.75, 34.95,34.75,887,0.31
20-Dec-2011,35.35,35.35,34.00, 34.00,34.00,354,0.12
19-Dec-2011,36.10,36.10,32.60, 33.75,33.90,1556,0.54
16-Dec-2011,36.60,37.70,35.75, 35.75,36.05,1527,0.56
15-Dec-2011,38.00,38.00,35.55, 35.70,35.95,10375,3.77
14-Dec-2011,39.45,39.45,38.10, 38.10,38.10,425,0.16
13-Dec-2011,38.00,38.90,37.30, 38.70,38.90,2051,0.78
12-Dec-2011,41.40,41.45,37.20, 37.65,38.20,6566,2.57
09-Dec-2011,40.50,41.50,40.35, 40.45,40.60,1264,0.51
08-Dec-2011,42.65,45.00,40.40, 40.50,40.75,6293,2.62
07-Dec-2011,44.00,44.50,42.25, 42.70,43.45,1906,0.83
05-Dec-2011,42.05,43.50,41.15, 43.50,42.80,1030,0.44
02-Dec-2011,42.40,42.75,41.65, 42.40,42.35,571,0.24
01-Dec-2011,41.95,44.90,41.30, 42.00,42.55,11163,4.82
30-Nov-2011,41.00,41.55,40.15, 40.15,40.15,642,0.26
29-Nov-2011,40.50,42.95,40.10, 40.25,40.35,6674,2.81
28-Nov-2011,40.70,41.65,40.55, 41.65,41.55,1106,0.45
25-Nov-2011,40.20,41.65,39.30, 39.40,39.55,2062,0.83
24-Nov-2011,39.70,40.50,38.25, 39.25,39.35,1203,0.47
23-Nov-2011,40.10,42.40,38.30, 39.65,39.15,3744,1.48
22-Nov-2011,42.05,45.95,41.10, 41.50,41.55,2328,1.00
21-Nov-2011,45.10,46.95,42.80, 43.00,43.25,679,0.30
18-Nov-2011,46.50,49.65,41.05, 45.05,46.35,2134,0.95
17-Nov-2011,46.90,49.05,45.05, 45.10,45.15,817,0.38
16-Nov-2011,43.70,48.00,40.00, 46.60,47.20,1138,0.50
15-Nov-2011,46.50,47.85,43.50, 44.00,44.15,1518,0.68
14-Nov-2011,47.60,47.60,46.95, 46.95,46.95,685,0.32
11-Nov-2011,48.00,49.50,47.10, 47.70,47.70,157,0.08
09-Nov-2011,50.50,50.50,48.15, 48.20,48.50,1438,0.70
08-Nov-2011,48.65,50.00,48.60, 48.60,49.15,960,0.47
04-Nov-2011,49.95,50.00,49.50, 49.85,49.85,135,0.07
03-Nov-2011,48.55,49.05,48.55, 49.00,49.00,189,0.09
02-Nov-2011,49.60,52.50,48.10, 48.90,48.85,5704,2.84
01-Nov-2011,49.65,51.00,49.65, 51.00,51.00,410,0.21
31-Oct-2011,49.55,52.35,49.55, 51.80,51.80,441,0.22
28-Oct-2011,51.00,52.00,49.45, 51.00,51.65,2171,1.10
25-Oct-2011,48.00,51.50,48.00, 51.00,50.75,1117,0.57
24-Oct-2011,48.50,51.00,47.00, 49.95,49.80,5091,2.52
21-Oct-2011,48.00,50.65,46.15, 48.50,48.55,1995,0.97
20-Oct-2011,48.55,49.90,48.05, 48.55,48.15,547,0.27
19-Oct-2011,48.00,51.00,48.00, 48.90,49.10,993,0.49
18-Oct-2011,50.25,51.70,49.15, 49.15,49.75,1010,0.51
17-Oct-2011,51.90,52.85,50.25, 50.25,50.35,1116,0.58
13-Oct-2011,51.20,51.20,48.90, 51.05,50.85,1130,0.57
12-Oct-2011,48.00,50.00,48.00, 50.00,49.20,984,0.49
11-Oct-2011,48.50,49.30,47.35, 48.60,49.10,1669,0.81
10-Oct-2011,48.25,49.75,48.00, 49.75,48.10,749,0.36
07-Oct-2011,49.50,49.95,47.35, 47.50,47.55,1253,0.60
05-Oct-2011,48.15,50.65,46.75, 47.00,47.15,1802,0.86
04-Oct-2011,48.50,50.75,46.00, 48.15,49.45,3058,1.46
03-Oct-2011,45.20,50.15,45.05, 46.70,47.35,1405,0.66
30-Sep-2011,48.00,48.90,47.10, 47.40,47.40,2402,1.14
29-Sep-2011,48.20,49.00,47.45, 47.65,47.65,461,0.22
28-Sep-2011,49.20,51.15,47.30, 47.70,47.90,2628,1.28
27-Sep-2011,50.00,51.00,46.80, 47.15,47.30,3071,1.46
26-Sep-2011,48.75,49.00,45.15, 46.50,46.95,1678,0.80
23-Sep-2011,51.00,51.00,49.00, 49.20,49.50,2080,1.03
22-Sep-2011,51.15,52.40,51.05, 51.05,51.05,2075,1.07
21-Sep-2011,52.20,52.90,50.55, 51.80,51.90,2379,1.23
20-Sep-2011,52.55,52.85,51.50, 52.50,52.50,650,0.34
19-Sep-2011,51.40,52.55,51.00, 52.55,52.55,295,0.15
16-Sep-2011,53.70,53.70,50.35, 51.20,51.20,1457,0.75
15-Sep-2011,50.90,53.65,50.90, 51.40,51.85,560,0.29
14-Sep-2011,53.00,53.00,50.00, 53.00,52.90,3731,1.92
13-Sep-2011,50.50,53.80,50.35, 50.35,51.10,1555,0.81
12-Sep-2011,50.55,53.00,50.50, 52.00,51.05,2289,1.16
09-Sep-2011,53.75,53.75,51.35, 52.70,52.10,1533,0.79
08-Sep-2011,54.00,54.00,51.65, 51.65,52.40,7177,3.79
07-Sep-2011,52.00,55.00,52.00, 54.70,54.10,3392,1.84
06-Sep-2011,53.00,53.00,49.15, 52.80,52.75,3963,2.04
05-Sep-2011,48.20,51.95,47.75, 50.85,50.55,1845,0.91
02-Sep-2011,53.00,53.00,48.25, 51.00,50.10,1414,0.70
30-Aug-2011,50.20,51.80,50.00, 50.50,50.50,1657,0.83
29-Aug-2011,46.80,50.90,46.80, 50.90,50.20,1744,0.86
26-Aug-2011,46.45,49.00,46.45, 48.50,48.50,438,0.21
25-Aug-2011,49.90,49.90,48.45, 48.45,48.65,997,0.49
24-Aug-2011,51.70,51.80,49.40, 51.00,51.00,1213,0.62
23-Aug-2011,49.50,50.70,48.50, 50.05,50.20,3170,1.58
22-Aug-2011,49.00,49.30,47.95, 48.00,48.35,699,0.34
19-Aug-2011,47.00,48.50,46.55, 47.45,46.95,3944,1.85
18-Aug-2011,47.85,52.15,47.85, 48.30,49.00,2676,1.32
17-Aug-2011,52.75,52.75,48.90, 50.00,50.30,3162,1.58
16-Aug-2011,51.10,54.75,50.60, 50.60,51.45,880,0.45
12-Aug-2011,56.80,56.85,52.25, 54.50,53.20,3576,1.93
11-Aug-2011,52.00,54.85,52.00, 54.85,54.20,2051,1.11
10-Aug-2011,52.60,52.60,50.90, 52.50,52.20,1794,0.93
09-Aug-2011,51.00,52.00,49.50, 50.00,50.10,9587,4.80
08-Aug-2011,50.25,55.00,50.25, 52.00,52.00,4691,2.38
05-Aug-2011,52.55,54.40,52.35, 53.95,52.90,14155,7.44
04-Aug-2011,52.75,55.10,50.00, 55.10,55.10,5112,2.77
03-Aug-2011,55.75,55.75,52.00, 52.00,52.45,10769,5.70
02-Aug-2011,55.40,57.25,54.50, 54.50,54.70,4712,2.62
01-Aug-2011,58.05,60.75,57.35, 57.35,57.35,3214,1.87
29-Jul-2011,58.00,61.00,55.80, 61.00,60.35,7617,4.56
28-Jul-2011,58.55,60.75,58.25, 58.55,58.70,6974,4.12
27-Jul-2011,62.90,62.95,59.65, 61.50,61.30,3231,1.97
26-Jul-2011,60.00,64.00,60.00, 61.20,61.55,4970,3.09
25-Jul-2011,61.00,64.75,59.00, 62.50,62.65,8041,4.99
22-Jul-2011,65.00,65.05,61.65, 61.65,61.65,11368,7.04
21-Jul-2011,67.55,67.60,64.05, 64.20,64.85,24368,16.04
20-Jul-2011,72.05,72.25,67.00, 67.00,67.55,32704,22.54
19-Jul-2011,72.30,73.50,68.00, 70.55,70.75,205627,145.32
18-Jul-2011,77.70,78.40,70.60, 73.35,72.15,543389,408.58
15-Jul-2011,68.30,71.25,65.35, 71.25,71.25,584105,412.57
14-Jul-2011,54.60,59.35,53.40, 59.35,59.35,50232,29.32
13-Jul-2011,50.95,50.95,49.30, 49.35,49.45,1115,0.56
12-Jul-2011,50.15,50.15,49.00, 49.00,49.00,3276,1.63
11-Jul-2011,50.95,52.70,48.20, 49.65,49.20,6842,3.42
08-Jul-2011,54.40,57.85,50.35, 50.40,50.70,1440,0.76
07-Jul-2011,56.45,59.40,52.00, 53.35,52.40,10508,5.66
06-Jul-2011,52.75,56.40,52.75, 55.50,55.45,5405,3.00
05-Jul-2011,53.00,55.90,52.20, 55.35,54.30,43750,23.50
04-Jul-2011,49.00,56.00,49.00, 55.40,54.75,32405,17.27
01-Jul-2011,47.00,47.80,46.20, 46.20,47.00,5250,2.47
30-Jun-2011,46.05,47.40,45.40, 45.55,46.15,6895,3.18
29-Jun-2011,45.50,49.00,44.50, 48.00,46.95,6236,2.86
28-Jun-2011,48.50,49.20,44.65, 45.20,45.20,177,0.08
27-Jun-2011,46.80,49.70,44.80, 47.30,46.85,1548,0.72
24-Jun-2011,43.30,46.40,43.25, 46.35,45.35,1302,0.58
23-Jun-2011,45.30,45.30,43.55, 43.55,43.55,945,0.42
22-Jun-2011,45.25,47.00,44.05, 44.50,44.35,4006,1.81
21-Jun-2011,47.50,47.95,42.75, 46.90,45.90,2073,0.93
20-Jun-2011,49.95,56.05,40.05, 44.95,44.65,4649,2.17
17-Jun-2011,47.30,48.40,46.80, 47.00,47.00,3260,1.53
16-Jun-2011,49.40,49.70,46.00, 46.80,46.90,2328,1.12
15-Jun-2011,49.00,49.90,48.50, 48.75,48.75,935,0.46
14-Jun-2011,48.00,49.40,47.60, 49.00,49.20,4916,2.40
13-Jun-2011,49.40,49.80,47.20, 47.20,47.40,406,0.20
10-Jun-2011,47.25,50.00,47.20, 50.00,48.45,1432,0.69
09-Jun-2011,48.90,48.90,47.15, 47.15,47.15,15,0.01
08-Jun-2011,48.50,48.60,47.60, 47.70,47.70,1515,0.72
07-Jun-2011,46.30,48.25,46.30, 48.00,48.00,4908,2.35
06-Jun-2011,47.00,48.70,45.15, 48.70,48.15,709,0.34
03-Jun-2011,51.80,51.80,46.75, 46.75,46.85,1802,0.85
02-Jun-2011,47.00,47.15,46.75, 46.75,46.75,5670,2.66
01-Jun-2011,46.70,48.40,46.70, 47.60,47.35,2338,1.11
31-May-2011,50.60,50.60,46.90, 46.90,47.00,9595,4.54
30-May-2011,48.00,49.00,48.00, 48.00,48.65,1610,0.78
27-May-2011,48.95,48.95,47.05, 47.05,47.05,1893,0.90
26-May-2011,47.55,49.85,47.20, 47.50,47.50,19087,9.22
25-May-2011,47.60,48.90,47.40, 47.45,47.45,1667,0.80
24-May-2011,46.25,48.00,46.25, 46.75,48.00,1144,0.55
23-May-2011,47.60,47.60,47.00, 47.00,47.00,178,0.08
20-May-2011,50.50,50.50,48.00, 48.00,48.90,785,0.38
19-May-2011,50.50,50.95,50.00, 50.85,50.85,473,0.24
18-May-2011,50.00,51.80,49.25, 49.80,51.15,1237,0.61
17-May-2011,49.00,51.95,48.90, 51.55,51.55,452,0.22
16-May-2011,50.00,51.50,50.00, 50.00,50.55,184,0.09
13-May-2011,50.05,51.00,50.05, 50.15,50.25,283,0.14
12-May-2011,51.00,51.70,50.10, 50.15,50.35,1264,0.64
11-May-2011,51.00,52.70,51.00, 51.10,51.15,2298,1.18
10-May-2011,57.00,57.00,51.00, 51.00,51.00,1537,0.79
09-May-2011,51.70,52.00,51.60, 52.00,52.00,145,0.08
06-May-2011,57.00,57.00,52.30, 52.45,52.50,103,0.06
05-May-2011,55.20,55.20,52.45, 52.50,52.50,1879,1.01
04-May-2011,54.10,56.95,53.00, 53.40,53.50,1513,0.82
03-May-2011,55.70,55.70,53.00, 53.00,53.55,644,0.35
02-May-2011,57.00,57.40,55.60, 57.40,57.40,88,0.05
29-Apr-2011,58.00,58.00,56.35, 58.00,58.00,361,0.20
28-Apr-2011,57.40,57.75,57.25, 57.25,57.25,627,0.36
27-Apr-2011,58.00,59.85,58.00, 59.00,59.00,1692,1.00
26-Apr-2011,58.50,58.50,57.00, 58.10,58.10,867,0.51
25-Apr-2011,58.85,59.85,56.65, 59.60,57.95,2634,1.51
21-Apr-2011,57.50,58.85,57.00, 57.05,57.05,5725,3.30
20-Apr-2011,57.80,58.00,57.35, 57.45,57.60,7508,4.34
19-Apr-2011,57.20,58.60,57.20, 57.70,57.70,1399,0.81
18-Apr-2011,56.15,59.00,56.15, 59.00,59.00,696,0.40
15-Apr-2011,56.05,59.00,56.05, 58.75,58.95,576,0.33
13-Apr-2011,53.55,59.50,53.55, 58.50,58.05,2049,1.19
11-Apr-2011,55.05,58.90,55.05, 56.00,56.00,1486,0.83
08-Apr-2011,58.75,58.75,55.50, 56.55,56.80,2749,1.56
07-Apr-2011,53.05,59.00,53.05, 59.00,58.70,3843,2.22
06-Apr-2011,53.05,56.05,53.05, 55.20,55.70,5225,2.89
05-Apr-2011,54.80,54.90,49.40, 54.50,53.25,2745,1.41
04-Apr-2011,51.95,51.95,49.50, 51.50,51.00,1335,0.68
01-Apr-2011,48.45,50.00,48.45, 49.05,49.05,1253,0.62
31-Mar-2011,48.60,49.80,48.40, 48.55,48.50,111,0.05
30-Mar-2011,51.70,52.50,48.30, 49.90,49.95,2087,1.05
29-Mar-2011,49.60,49.60,46.10, 46.10,46.75,3319,1.59
28-Mar-2011,51.00,51.00,49.00, 49.90,49.90,783,0.39
25-Mar-2011,48.50,50.65,48.45, 49.10,49.10,606,0.30
24-Mar-2011,50.60,50.60,47.60, 47.80,49.10,656,0.33
23-Mar-2011,48.00,49.10,47.35, 49.00,49.00,955,0.47
22-Mar-2011,51.95,52.00,48.85, 48.85,48.95,1527,0.76
21-Mar-2011,51.50,51.50,48.80, 50.70,50.25,2891,1.45
18-Mar-2011,51.40,52.60,47.00, 50.00,50.40,7478,3.75
17-Mar-2011,50.00,51.90,47.80, 48.10,48.30,3603,1.77
16-Mar-2011,50.00,52.00,49.10, 49.50,50.35,1445,0.73
15-Mar-2011,49.10,51.00,48.15, 48.15,49.20,2196,1.08
14-Mar-2011,52.80,52.80,50.55, 50.55,51.30,2330,1.20
11-Mar-2011,49.35,55.60,49.30, 52.80,52.60,14929,7.97
10-Mar-2011,53.10,55.95,50.10, 50.10,51.55,19152,10.31
09-Mar-2011,47.75,56.60,46.25, 52.20,53.30,108274,59.57
08-Mar-2011,44.00,49.65,44.00, 47.25,47.15,3496,1.63
07-Mar-2011,44.90,44.90,43.30, 44.00,44.00,1115,0.49
04-Mar-2011,44.35,47.85,44.35, 45.55,45.60,482,0.22
03-Mar-2011,46.00,47.40,45.05, 45.25,46.00,1193,0.54
01-Mar-2011,46.05,46.90,45.70, 46.50,46.60,2710,1.25
28-Feb-2011,42.00,48.25,42.00, 47.30,46.95,855,0.39
25-Feb-2011,44.00,52.30,44.00, 45.05,45.05,2094,0.96
24-Feb-2011,48.10,50.00,45.00, 48.00,45.55,1573,0.75
23-Feb-2011,49.00,50.00,48.20, 49.30,49.40,915,0.45
22-Feb-2011,45.30,46.55,45.30, 46.55,46.55,336,0.16
21-Feb-2011,48.50,48.50,48.40, 48.40,48.40,8,0.00
18-Feb-2011,47.10,47.70,46.75, 46.75,46.90,400,0.19
17-Feb-2011,52.70,52.70,46.15, 47.85,48.25,723,0.35
16-Feb-2011,48.45,48.45,46.65, 48.00,47.85,365,0.18
15-Feb-2011,49.00,49.00,46.10, 46.10,46.90,1711,0.81
14-Feb-2011,48.00,53.35,46.00, 47.80,49.40,2795,1.38
11-Feb-2011,42.60,45.50,42.60, 45.50,45.50,1083,0.49
10-Feb-2011,43.15,48.00,43.00, 43.05,43.50,1065,0.46
09-Feb-2011,48.50,48.50,45.00, 45.00,45.00,1522,0.70
08-Feb-2011,52.00,52.00,48.35, 48.35,48.35,2199,1.08
07-Feb-2011,48.35,50.00,48.35, 49.00,49.20,1685,0.83
04-Feb-2011,51.10,51.10,48.50, 50.00,50.00,7045,3.52
