Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,5.00,5.25,4.90, 5.05,5.10,14739,0.75
29-Dec-2011,4.95,5.15,4.95, 5.00,5.00,12111,0.61
28-Dec-2011,4.80,5.15,4.80, 5.00,4.95,4928,0.24
27-Dec-2011,4.80,5.15,4.75, 5.15,5.10,14812,0.75
26-Dec-2011,5.00,5.05,4.80, 4.80,4.85,18564,0.92
23-Dec-2011,5.05,5.15,4.85, 4.85,4.90,25928,1.30
22-Dec-2011,5.00,5.30,4.80, 4.85,4.85,7539,0.37
21-Dec-2011,5.50,5.50,4.30, 4.90,4.85,42495,2.08
20-Dec-2011,5.10,5.40,4.55, 4.85,4.85,27647,1.37
19-Dec-2011,5.30,5.60,5.10, 5.25,5.20,28034,1.50
16-Dec-2011,5.90,5.90,5.30, 5.45,5.30,13334,0.73
15-Dec-2011,5.80,5.80,5.40, 5.55,5.60,14285,0.79
14-Dec-2011,6.00,6.00,5.60, 5.85,5.70,11008,0.64
13-Dec-2011,6.00,6.00,5.75, 5.75,5.80,14281,0.84
12-Dec-2011,7.00,7.00,5.85, 5.85,5.85,9380,0.57
09-Dec-2011,5.95,6.60,5.60, 6.05,5.95,11319,0.67
08-Dec-2011,6.15,6.45,5.90, 6.05,6.00,11034,0.67
07-Dec-2011,5.95,6.25,5.80, 6.25,6.15,12939,0.79
05-Dec-2011,6.80,6.80,5.90, 5.95,6.00,7265,0.44
02-Dec-2011,6.00,6.20,5.80, 6.10,5.90,6193,0.37
01-Dec-2011,6.30,6.30,5.85, 6.10,5.95,7154,0.44
30-Nov-2011,7.00,7.00,5.95, 6.20,6.15,12605,0.77
29-Nov-2011,5.30,6.25,5.30, 6.00,6.05,21731,1.26
28-Nov-2011,5.25,6.00,5.20, 5.65,5.55,24499,1.36
25-Nov-2011,5.30,6.10,5.00, 5.70,5.60,23022,1.31
24-Nov-2011,5.30,5.90,4.60, 5.45,5.30,39324,2.02
23-Nov-2011,6.05,6.05,5.55, 5.70,5.65,20976,1.20
22-Nov-2011,6.00,6.20,5.80, 5.80,5.85,23752,1.42
21-Nov-2011,6.10,6.50,5.85, 5.90,6.05,6404,0.39
18-Nov-2011,6.05,6.25,5.75, 6.00,6.00,37639,2.25
17-Nov-2011,6.20,6.95,6.15, 6.25,6.25,13659,0.86
16-Nov-2011,6.25,6.80,6.25, 6.30,6.25,12152,0.77
15-Nov-2011,6.80,6.95,6.40, 6.40,6.45,20343,1.36
14-Nov-2011,7.00,7.20,6.80, 7.00,6.90,12968,0.90
11-Nov-2011,7.05,7.35,7.00, 7.10,7.05,11406,0.81
09-Nov-2011,7.00,7.50,7.00, 7.35,7.30,13849,1.00
08-Nov-2011,7.30,7.30,7.05, 7.30,7.10,9556,0.68
04-Nov-2011,7.15,7.55,7.15, 7.15,7.25,24837,1.82
03-Nov-2011,7.30,7.35,7.05, 7.20,7.25,11630,0.84
02-Nov-2011,7.65,7.65,7.10, 7.30,7.30,15256,1.09
