Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,241.00,245.40,236.75, 238.90,238.80,1826979,4405.48
29-Dec-2011,240.00,241.45,236.85, 238.40,239.30,2379001,5696.04
28-Dec-2011,250.50,251.45,241.05, 241.80,241.60,2392378,5834.90
27-Dec-2011,255.00,255.50,248.75, 251.30,250.90,1139384,2867.00
26-Dec-2011,251.20,256.75,251.20, 253.90,254.45,1042360,2654.54
23-Dec-2011,258.00,261.35,250.20, 251.00,252.00,3468536,8885.18
22-Dec-2011,251.00,259.00,244.10, 257.80,257.95,3104352,7864.90
21-Dec-2011,245.25,253.00,242.80, 252.80,250.45,2351214,5824.79
20-Dec-2011,255.95,258.00,240.20, 241.40,242.60,3840015,9540.89
19-Dec-2011,255.00,256.25,247.00, 255.60,255.05,2449947,6169.47
16-Dec-2011,270.00,273.60,253.15, 257.15,256.50,3851159,10191.59
15-Dec-2011,275.05,275.05,265.30, 267.70,267.85,3052436,8220.78
14-Dec-2011,279.75,284.00,276.15, 277.45,277.85,2611732,7326.33
13-Dec-2011,280.00,281.00,273.40, 279.80,278.15,2545873,7060.74
12-Dec-2011,288.00,291.60,280.30, 280.35,282.70,3347782,9543.36
09-Dec-2011,284.50,287.80,279.20, 286.95,286.55,3797489,10765.04
08-Dec-2011,281.55,295.10,281.55, 287.00,287.20,2187195,6310.91
07-Dec-2011,289.00,299.45,285.00, 294.45,296.35,2712778,8015.84
05-Dec-2011,287.00,291.40,285.55, 288.70,288.85,1716819,4946.16
02-Dec-2011,279.10,291.30,279.10, 291.00,290.20,1844158,5281.44
01-Dec-2011,278.00,286.60,276.55, 278.10,279.10,1316699,3710.26
30-Nov-2011,274.00,275.95,270.05, 272.50,272.20,1029447,2808.30
29-Nov-2011,281.00,282.30,274.20, 275.35,275.20,1767011,4896.88
28-Nov-2011,277.85,282.40,277.05, 280.40,281.10,1280828,3591.56
25-Nov-2011,277.70,279.75,272.45, 274.00,274.10,2084324,5757.22
24-Nov-2011,266.00,279.00,261.55, 276.80,277.00,3349842,9072.12
23-Nov-2011,266.00,266.90,260.15, 265.50,264.75,2008730,5296.99
22-Nov-2011,266.00,269.45,262.20, 266.00,266.60,2259205,6013.82
21-Nov-2011,270.50,280.00,261.10, 261.90,263.10,1746166,4689.37
18-Nov-2011,268.00,272.95,265.80, 271.25,270.40,2689842,7242.31
17-Nov-2011,270.20,278.80,265.65, 271.15,271.60,3055422,8343.92
16-Nov-2011,284.05,285.00,268.45, 271.90,270.70,5884586,16117.46
15-Nov-2011,293.00,297.70,283.00, 284.50,284.70,2133765,6167.56
14-Nov-2011,300.20,306.00,292.50, 294.00,293.65,1469453,4362.32
11-Nov-2011,304.50,306.25,296.30, 298.85,298.25,2315509,6935.53
09-Nov-2011,311.55,311.95,305.55, 306.00,306.90,1384821,4272.76
08-Nov-2011,317.90,318.50,307.75, 309.20,309.35,1616571,5037.83
04-Nov-2011,312.00,317.30,312.00, 317.00,316.50,1633528,5140.48
03-Nov-2011,306.20,312.40,303.90, 310.95,309.95,2331033,7198.24
02-Nov-2011,306.00,311.90,303.55, 306.65,307.30,2002955,6184.75
01-Nov-2011,314.30,315.65,306.10, 307.80,307.30,2291473,7112.49
31-Oct-2011,315.50,319.90,312.25, 314.00,314.30,2320988,7341.04
28-Oct-2011,312.00,323.85,312.00, 314.90,315.70,3766898,11993.99
26-Oct-2011,307.50,311.00,306.30, 310.00,308.55,1110654,3425.62
25-Oct-2011,282.05,309.00,279.15, 307.90,306.35,11185139,33207.06
24-Oct-2011,278.00,285.50,278.00, 281.00,281.65,1571483,4451.39
21-Oct-2011,285.00,290.25,276.30, 277.75,277.80,3155430,8861.70
20-Oct-2011,288.00,293.00,282.90, 284.10,284.80,5218433,14966.65
19-Oct-2011,283.90,291.00,282.00, 290.50,289.95,1850578,5329.53
18-Oct-2011,285.00,285.00,276.00, 279.80,279.90,1406872,3930.62
17-Oct-2011,285.00,291.00,284.05, 289.00,289.10,1709166,4940.12
14-Oct-2011,284.75,288.00,278.80, 282.70,283.30,2238179,6335.02
13-Oct-2011,274.00,285.80,273.55, 283.60,284.20,4212017,11824.06
12-Oct-2011,264.95,272.85,263.40, 272.00,272.10,1963437,5271.93
11-Oct-2011,266.20,270.30,261.00, 263.00,263.80,2055862,5458.03
10-Oct-2011,265.00,265.40,260.50, 264.95,264.30,2026185,5327.32
07-Oct-2011,254.70,264.95,251.50, 263.00,262.95,3842327,10036.20
05-Oct-2011,255.00,256.80,240.30, 246.45,246.05,3914935,9694.81
04-Oct-2011,260.55,264.40,248.75, 250.10,251.10,2919835,7468.93
03-Oct-2011,267.05,267.90,259.50, 260.00,260.50,2088419,5469.48
30-Sep-2011,276.95,281.60,270.50, 270.50,272.55,1855942,5132.43
29-Sep-2011,272.00,279.90,268.50, 278.65,277.10,1698103,4644.24
28-Sep-2011,272.00,275.00,267.10, 272.50,272.25,1747063,4730.14
27-Sep-2011,265.90,273.65,265.30, 271.85,271.80,2122335,5748.58
26-Sep-2011,268.20,269.25,256.00, 261.80,262.30,3153954,8248.32
23-Sep-2011,271.80,271.80,259.50, 267.40,267.45,3640676,9667.75
22-Sep-2011,281.40,281.40,269.00, 271.45,270.75,2359780,6479.41
21-Sep-2011,289.50,291.30,284.00, 284.60,285.20,2891750,8309.41
20-Sep-2011,283.00,290.00,282.40, 289.30,289.50,1536804,4419.34
19-Sep-2011,279.30,285.25,277.00, 283.55,283.95,2380759,6711.26
16-Sep-2011,280.00,285.50,276.00, 281.10,280.70,3777663,10631.04
15-Sep-2011,278.85,281.00,272.00, 278.20,278.60,2382294,6578.76
14-Sep-2011,275.55,278.10,266.30, 278.00,276.55,2607287,7109.35
13-Sep-2011,275.55,282.90,271.20, 273.60,273.75,2696542,7482.17
12-Sep-2011,287.00,291.00,272.10, 272.90,273.65,2601748,7263.99
09-Sep-2011,294.50,300.40,292.60, 293.20,293.90,1975962,5868.08
08-Sep-2011,291.00,298.00,287.10, 295.00,296.85,2553640,7490.80
07-Sep-2011,288.05,292.10,286.45, 291.25,290.65,1519756,4397.39
06-Sep-2011,281.70,286.70,272.00, 285.65,286.05,3120760,8714.55
05-Sep-2011,275.00,283.50,271.20, 282.05,282.70,2023617,5630.74
02-Sep-2011,280.10,285.70,274.10, 279.25,278.65,3105017,8689.96
30-Aug-2011,278.70,283.30,274.00, 279.25,277.55,2345538,6519.12
29-Aug-2011,263.05,274.70,261.00, 270.85,271.25,2364633,6425.60
26-Aug-2011,267.95,269.00,257.60, 260.00,259.40,2580622,6726.06
25-Aug-2011,278.95,279.00,265.10, 267.45,267.35,2097105,5667.35
24-Aug-2011,277.50,284.55,273.00, 273.50,276.40,2688400,7552.05
23-Aug-2011,267.00,281.00,262.95, 280.90,279.70,3540482,9656.83
22-Aug-2011,262.70,268.60,252.00, 266.90,266.20,4085912,10603.76
19-Aug-2011,270.00,275.00,259.55, 263.50,262.95,5143033,13632.68
18-Aug-2011,290.00,291.30,273.00, 273.15,274.65,2891079,8092.95
17-Aug-2011,293.50,300.45,287.75, 288.30,289.55,1834930,5365.49
16-Aug-2011,300.55,303.50,295.70, 296.50,297.15,1055139,3152.95
12-Aug-2011,309.00,309.10,296.85, 298.65,298.95,2334668,7053.14
11-Aug-2011,298.70,309.30,298.70, 306.95,306.75,1980314,6049.83
10-Aug-2011,300.00,303.60,295.00, 303.00,302.75,3225717,9698.99
09-Aug-2011,292.00,302.50,290.00, 290.80,291.35,3523352,10399.68
08-Aug-2011,297.70,307.00,292.25, 302.30,302.15,3492541,10489.70
05-Aug-2011,300.50,303.60,290.20, 303.50,301.45,3450041,10265.41
04-Aug-2011,308.50,314.00,301.05, 302.50,302.35,1860466,5744.05
03-Aug-2011,300.00,308.00,291.20, 307.45,306.95,1300616,3965.47
02-Aug-2011,318.00,318.00,308.10, 309.30,309.70,1179526,3667.21
01-Aug-2011,312.05,318.85,312.05, 316.40,316.30,1595771,5055.54
29-Jul-2011,307.00,315.95,294.95, 311.00,310.65,1489136,4647.62
28-Jul-2011,310.00,314.90,306.70, 309.70,310.45,1918438,5964.78
27-Jul-2011,320.95,320.95,311.35, 312.00,312.45,2060356,6471.00
26-Jul-2011,332.95,333.25,317.30, 318.80,318.65,3766829,12147.38
25-Jul-2011,329.00,334.50,325.60, 333.25,333.45,2546020,8408.26
22-Jul-2011,320.30,329.80,320.30, 328.05,329.10,3363649,10969.26
21-Jul-2011,319.00,323.75,313.20, 317.75,317.85,5226288,16656.95
20-Jul-2011,326.65,328.30,316.45, 318.50,318.75,2254641,7258.31
19-Jul-2011,328.40,329.70,322.60, 323.80,323.70,1684078,5466.64
18-Jul-2011,324.50,329.60,323.50, 327.85,328.65,1114177,3653.24
15-Jul-2011,326.25,329.90,322.50, 324.50,324.65,1172223,3818.79
14-Jul-2011,316.95,330.25,316.55, 325.30,326.25,1956268,6361.03
13-Jul-2011,315.00,320.50,314.20, 319.40,317.95,1125664,3576.71
12-Jul-2011,317.90,319.45,311.20, 314.40,314.75,1599864,5047.70
11-Jul-2011,320.10,323.50,302.85, 320.05,321.35,1739531,5559.56
08-Jul-2011,327.15,328.10,320.20, 322.60,322.25,1209849,3906.23
07-Jul-2011,326.00,328.85,323.20, 326.80,326.80,1337879,4369.18
06-Jul-2011,322.45,329.30,321.00, 326.00,326.55,3198377,10451.62
05-Jul-2011,318.80,325.75,314.00, 322.80,322.85,2185956,6990.23
04-Jul-2011,318.35,321.90,317.30, 318.05,318.85,1153984,3692.50
01-Jul-2011,315.00,319.50,313.35, 318.70,318.35,1614443,5108.85
30-Jun-2011,315.70,317.80,309.50, 312.00,312.05,2671604,8358.35
29-Jun-2011,311.80,315.80,311.00, 312.20,312.75,2683913,8398.14
28-Jun-2011,314.00,317.00,308.05, 309.10,309.25,2271676,7068.90
27-Jun-2011,295.00,314.85,295.00, 314.40,313.35,4317640,13315.50
24-Jun-2011,287.40,299.50,287.40, 298.60,298.65,1976114,5827.61
23-Jun-2011,287.55,289.45,284.80, 288.00,286.90,1251355,3599.22
22-Jun-2011,290.70,291.40,286.10, 287.30,287.00,1379940,3988.62
21-Jun-2011,292.70,295.00,286.10, 287.60,287.50,1496346,4358.97
20-Jun-2011,284.00,292.55,274.10, 291.50,290.65,3803930,10909.13
17-Jun-2011,291.10,291.80,281.75, 282.80,282.90,2742410,7791.15
16-Jun-2011,290.10,296.40,287.75, 290.95,291.10,3110773,9096.09
15-Jun-2011,270.00,297.65,249.00, 293.25,293.20,1697361,4982.68
14-Jun-2011,295.90,299.45,295.20, 296.40,296.85,1349201,4009.21
13-Jun-2011,292.95,295.80,289.55, 294.70,294.25,1142835,3348.78
10-Jun-2011,298.00,298.80,292.50, 293.35,293.50,1356499,3989.44
