Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,13.00,13.00,11.80, 11.95,11.90,273822,33.35
29-Dec-2011,12.55,12.90,12.10, 12.50,12.45,41074,5.15
28-Dec-2011,12.80,12.85,12.30, 12.60,12.40,94482,11.85
27-Dec-2011,13.45,13.45,12.80, 13.00,12.85,51609,6.70
26-Dec-2011,13.00,13.40,12.75, 13.35,13.25,49677,6.59
23-Dec-2011,12.75,13.40,12.75, 13.00,13.05,116853,15.34
22-Dec-2011,12.85,13.00,12.60, 12.90,12.90,76731,9.79
21-Dec-2011,13.10,13.10,12.75, 12.85,12.90,53120,6.84
20-Dec-2011,12.60,12.90,12.50, 12.85,12.75,192870,24.55
19-Dec-2011,13.40,13.40,12.05, 12.70,12.65,138275,17.63
16-Dec-2011,14.20,14.35,13.20, 13.25,13.40,209890,28.94
15-Dec-2011,14.30,14.50,13.90, 13.95,14.00,106657,15.04
14-Dec-2011,14.25,14.85,14.25, 14.55,14.50,100470,14.70
13-Dec-2011,14.80,15.10,14.65, 14.70,14.75,84266,12.49
12-Dec-2011,15.60,15.90,14.90, 15.20,15.00,135713,20.53
09-Dec-2011,15.40,15.50,15.20, 15.25,15.25,74365,11.37
08-Dec-2011,15.60,15.90,15.35, 15.40,15.45,70158,10.90
07-Dec-2011,15.85,16.05,15.70, 15.75,15.75,125495,19.90
05-Dec-2011,16.00,16.15,15.75, 15.90,15.80,79054,12.62
02-Dec-2011,16.20,16.20,15.60, 15.95,15.95,87128,13.87
01-Dec-2011,15.90,16.35,15.75, 15.85,15.80,137239,21.83
30-Nov-2011,15.20,15.85,15.20, 15.50,15.65,67140,10.47
29-Nov-2011,16.00,16.25,15.55, 15.70,15.65,79836,12.62
28-Nov-2011,15.85,16.25,15.55, 16.00,15.95,221914,35.44
25-Nov-2011,15.40,15.85,15.20, 15.40,15.35,196103,30.56
24-Nov-2011,15.60,15.60,14.90, 15.25,15.20,230264,34.86
23-Nov-2011,16.00,16.00,15.15, 15.40,15.35,137395,21.20
22-Nov-2011,16.00,16.25,15.50, 15.95,15.95,106025,16.91
21-Nov-2011,15.90,16.25,15.40, 15.50,15.55,136039,21.57
18-Nov-2011,16.80,16.80,15.60, 15.95,15.95,322687,51.81
17-Nov-2011,17.50,17.50,16.65, 16.80,16.85,233557,39.86
16-Nov-2011,17.95,17.95,17.25, 17.50,17.50,239276,41.97
15-Nov-2011,18.40,18.55,17.80, 17.80,17.95,210956,38.16
14-Nov-2011,19.40,19.40,18.35, 18.50,18.40,189496,35.21
11-Nov-2011,19.10,19.45,18.50, 18.65,18.60,290143,54.26
09-Nov-2011,19.80,19.80,18.75, 19.00,18.85,208315,39.61
08-Nov-2011,19.75,20.00,19.30, 19.45,19.40,85954,16.82
04-Nov-2011,18.80,20.10,18.75, 19.85,19.95,1322651,260.13
03-Nov-2011,18.75,19.10,18.65, 18.70,18.70,158946,29.79
02-Nov-2011,18.65,19.60,18.50, 18.85,18.85,228724,43.58
01-Nov-2011,19.05,19.30,18.80, 18.85,18.90,170588,32.47
31-Oct-2011,18.60,19.50,18.50, 19.35,19.25,273804,52.16
28-Oct-2011,18.90,19.20,18.50, 18.85,18.95,242660,46.04
26-Oct-2011,18.55,19.00,18.25, 18.75,18.70,110628,20.66
25-Oct-2011,18.65,18.70,17.80, 18.30,18.35,309104,56.34
24-Oct-2011,19.25,19.30,18.25, 18.30,18.30,287033,53.58
21-Oct-2011,19.35,19.45,18.70, 18.90,18.85,344429,65.68
20-Oct-2011,19.50,19.75,19.20, 19.20,19.25,366375,71.25
19-Oct-2011,20.55,21.25,19.20, 19.85,20.10,2913919,595.50
18-Oct-2011,19.40,20.00,19.35, 19.95,19.80,376060,73.94
17-Oct-2011,20.00,20.15,19.50, 19.65,19.65,281114,55.31
14-Oct-2011,20.00,20.35,19.95, 20.00,20.00,206039,41.44
13-Oct-2011,19.65,20.50,19.60, 20.15,20.05,443946,89.45
12-Oct-2011,19.70,20.10,19.55, 19.85,19.90,214592,42.53
11-Oct-2011,20.00,20.30,19.55, 19.65,19.70,644578,128.26
10-Oct-2011,19.60,20.00,19.20, 19.60,19.60,247402,48.54
07-Oct-2011,19.40,19.70,18.80, 19.65,19.55,492262,94.64
05-Oct-2011,19.00,19.30,18.65, 18.75,18.70,3075365,582.69
04-Oct-2011,19.10,19.45,18.60, 18.85,18.70,181000,34.27
03-Oct-2011,19.10,19.60,18.80, 19.20,19.35,310870,59.67
30-Sep-2011,19.20,19.80,18.90, 19.50,19.55,1138620,220.53
29-Sep-2011,18.55,18.70,18.35, 18.60,18.60,161725,30.01
28-Sep-2011,19.40,19.40,18.40, 18.50,18.55,239869,44.74
27-Sep-2011,19.00,19.30,18.75, 18.75,18.80,254263,48.18
26-Sep-2011,18.70,19.40,18.50, 18.65,18.70,268117,50.44
23-Sep-2011,19.15,19.50,18.70, 18.90,19.00,609738,115.97
22-Sep-2011,20.55,20.75,19.50, 19.55,19.75,1164878,235.67
21-Sep-2011,19.50,22.95,19.40, 20.90,21.05,3931125,813.45
20-Sep-2011,18.70,19.25,18.40, 19.10,19.10,468215,88.35
19-Sep-2011,19.40,19.50,18.80, 18.80,18.90,225657,42.97
16-Sep-2011,19.25,19.80,18.70, 19.65,19.40,793218,152.94
15-Sep-2011,19.20,19.45,18.65, 19.10,19.00,721150,136.88
14-Sep-2011,18.20,18.75,18.00, 18.60,18.55,271501,50.06
13-Sep-2011,18.40,18.55,18.05, 18.15,18.10,170585,31.22
12-Sep-2011,18.20,18.60,18.00, 18.10,18.10,265576,48.32
09-Sep-2011,19.10,19.10,18.50, 18.50,18.55,180268,33.87
08-Sep-2011,18.70,19.25,18.65, 18.90,19.00,311851,59.25
07-Sep-2011,18.90,18.95,18.10, 18.55,18.60,1080403,200.93
06-Sep-2011,18.75,18.75,18.50, 18.65,18.65,245809,45.98
05-Sep-2011,19.00,19.00,18.50, 18.75,18.65,272855,51.13
02-Sep-2011,19.25,19.45,18.80, 19.00,19.05,139381,26.58
30-Aug-2011,19.00,19.35,18.70, 19.20,19.15,171549,32.62
29-Aug-2011,18.50,19.15,18.50, 18.75,18.65,190069,35.65
26-Aug-2011,18.90,19.35,18.05, 18.05,18.20,261779,48.76
25-Aug-2011,19.30,19.35,18.55, 18.65,18.60,164220,30.79
24-Aug-2011,19.20,19.75,18.85, 18.85,19.05,215434,41.63
23-Aug-2011,19.00,19.50,18.85, 19.10,19.10,130533,24.94
22-Aug-2011,18.55,19.20,18.55, 19.00,18.95,145943,27.55
19-Aug-2011,18.50,19.55,18.35, 18.80,18.80,293108,55.19
18-Aug-2011,19.10,19.25,18.40, 19.15,19.05,343850,64.80
17-Aug-2011,18.80,19.65,18.65, 18.80,18.80,198066,37.53
16-Aug-2011,20.25,20.25,18.85, 19.40,19.15,217537,42.17
12-Aug-2011,20.00,20.40,19.80, 19.80,19.90,139908,28.01
11-Aug-2011,20.00,20.35,19.85, 20.10,19.95,125520,25.24
10-Aug-2011,20.25,20.50,20.00, 20.15,20.10,172956,34.97
09-Aug-2011,19.50,20.20,19.15, 19.50,19.50,440652,87.49
08-Aug-2011,21.00,21.00,20.10, 20.20,20.15,409009,83.37
05-Aug-2011,21.20,21.65,20.00, 21.30,21.35,654623,138.58
04-Aug-2011,21.30,22.10,21.10, 21.90,21.95,1030955,225.67
03-Aug-2011,20.50,21.60,20.10, 21.25,21.25,344962,72.11
02-Aug-2011,20.85,21.15,20.55, 20.90,20.85,198832,41.37
01-Aug-2011,21.75,21.80,20.85, 21.05,21.15,325221,68.79
29-Jul-2011,22.05,22.35,21.05, 21.30,21.40,1447568,313.69
28-Jul-2011,23.05,23.40,22.25, 22.30,22.45,570922,130.24
27-Jul-2011,22.70,23.95,22.00, 23.55,23.45,1341008,310.24
26-Jul-2011,22.90,23.35,22.50, 22.85,22.85,1187937,273.11
25-Jul-2011,23.00,23.35,22.50, 22.60,22.65,402585,92.11
22-Jul-2011,23.20,23.20,22.50, 22.70,22.90,1317797,301.42
21-Jul-2011,22.00,23.40,21.35, 22.75,22.90,1967754,446.51
20-Jul-2011,22.15,22.50,21.35, 21.85,21.80,1441328,316.07
19-Jul-2011,20.10,22.40,19.55, 22.30,21.85,1819968,385.93
18-Jul-2011,20.00,20.25,19.75, 19.85,19.85,198359,39.67
15-Jul-2011,20.45,20.70,19.80, 19.90,19.85,365322,73.25
14-Jul-2011,20.25,20.50,20.15, 20.15,20.20,308007,62.39
13-Jul-2011,20.70,20.70,20.35, 20.50,20.50,327466,67.22
12-Jul-2011,21.20,21.20,20.20, 20.55,20.55,501067,103.61
11-Jul-2011,21.25,22.15,20.60, 21.50,21.40,858321,185.66
08-Jul-2011,21.40,22.20,20.90, 21.20,21.25,813133,175.32
07-Jul-2011,21.20,21.70,21.15, 21.35,21.35,522953,111.88
06-Jul-2011,20.35,21.70,20.30, 21.20,21.15,546237,115.31
05-Jul-2011,21.00,21.00,20.50, 20.70,20.65,200339,41.46
04-Jul-2011,20.25,21.15,20.25, 20.85,20.90,606362,125.92
01-Jul-2011,20.25,20.40,20.00, 20.25,20.10,226522,45.70
30-Jun-2011,20.60,20.80,19.75, 19.95,20.05,421287,84.57
29-Jun-2011,21.40,21.40,20.30, 20.45,20.50,824444,171.59
28-Jun-2011,19.60,21.20,19.15, 20.95,20.90,1202361,245.70
27-Jun-2011,18.70,19.60,18.70, 19.40,19.30,292054,56.22
24-Jun-2011,18.25,19.45,18.10, 19.05,19.10,634361,119.30
23-Jun-2011,18.80,19.00,17.70, 18.00,18.05,1276677,232.54
22-Jun-2011,19.30,19.35,18.30, 18.80,18.65,352062,66.15
21-Jun-2011,19.30,19.60,19.00, 19.10,19.15,274074,52.80
20-Jun-2011,20.20,20.35,18.65, 19.15,19.15,729493,140.88
17-Jun-2011,20.25,20.70,19.95, 20.10,20.15,674834,136.45
16-Jun-2011,21.00,21.55,20.10, 20.30,20.30,1036437,214.58
15-Jun-2011,21.40,22.15,21.05, 21.20,21.15,1188842,256.35
14-Jun-2011,21.20,21.95,21.00, 21.45,21.35,651850,139.91
13-Jun-2011,21.00,21.10,20.80, 21.05,20.95,300210,62.79
10-Jun-2011,21.20,21.20,20.85, 21.00,21.00,355980,74.81
09-Jun-2011,21.30,21.60,21.00, 21.00,21.05,411695,87.21
08-Jun-2011,21.30,21.70,21.00, 21.20,21.10,600414,127.46
07-Jun-2011,21.10,21.85,20.95, 21.25,21.20,253131,53.65
06-Jun-2011,21.25,22.00,20.85, 21.10,21.05,506501,107.67
03-Jun-2011,21.45,21.60,21.05, 21.25,21.25,254985,54.39
02-Jun-2011,21.60,21.90,21.20, 21.25,21.30,344345,73.99
01-Jun-2011,22.30,22.55,21.85, 21.95,22.00,408117,90.25
31-May-2011,21.20,23.15,21.00, 22.30,22.15,1569821,348.75
30-May-2011,21.30,21.50,21.05, 21.25,21.20,240345,51.07
27-May-2011,20.10,21.20,20.10, 21.05,21.05,215952,45.40
26-May-2011,21.20,21.65,20.70, 20.95,20.90,314713,66.06
25-May-2011,21.25,21.35,20.65, 20.80,20.85,227905,47.93
24-May-2011,20.10,22.40,20.10, 21.25,21.25,702378,151.30
23-May-2011,21.90,21.90,20.90, 21.05,21.05,345196,72.83
20-May-2011,21.50,22.20,21.50, 21.95,21.90,496233,108.97
19-May-2011,21.10,22.00,21.10, 21.60,21.45,233940,50.40
18-May-2011,22.10,22.25,21.40, 21.55,21.50,313398,68.19
17-May-2011,22.50,22.55,21.70, 21.95,21.90,280736,61.95
16-May-2011,22.40,22.60,22.25, 22.40,22.40,229600,51.52
13-May-2011,22.10,23.20,21.85, 22.50,22.45,503155,113.82
12-May-2011,22.50,22.70,22.00, 22.15,22.05,287837,63.99
11-May-2011,22.90,22.95,22.30, 22.60,22.55,265663,59.83
10-May-2011,22.50,23.10,22.10, 22.90,22.80,346440,78.54
09-May-2011,23.00,23.00,22.25, 22.25,22.35,254014,57.07
06-May-2011,21.75,22.85,21.75, 22.60,22.60,517278,115.66
05-May-2011,22.15,22.35,21.50, 21.85,21.70,316741,69.39
04-May-2011,22.40,22.40,21.75, 22.10,22.05,407948,89.98
03-May-2011,22.55,22.90,22.05, 22.25,22.20,459720,103.07
02-May-2011,22.80,23.10,22.60, 22.95,22.85,335649,76.68
29-Apr-2011,22.90,23.30,22.55, 22.70,22.70,518007,118.55
28-Apr-2011,23.45,23.70,22.90, 23.05,23.00,541745,125.36
27-Apr-2011,24.00,24.20,22.95, 23.10,23.20,823137,194.36
26-Apr-2011,24.20,24.70,23.60, 23.60,23.75,891993,215.22
25-Apr-2011,24.45,24.75,23.85, 24.00,23.95,467354,113.28
21-Apr-2011,24.90,25.15,24.25, 24.25,24.35,1236714,305.23
20-Apr-2011,24.20,25.10,23.75, 24.75,24.65,2227048,547.06
19-Apr-2011,22.70,24.20,22.50, 23.65,23.75,1890567,444.81
18-Apr-2011,23.60,24.05,22.70, 22.90,22.90,877475,205.08
15-Apr-2011,24.30,24.50,23.30, 23.45,23.55,1041219,248.06
13-Apr-2011,23.30,24.35,23.00, 23.95,23.95,868958,207.96
11-Apr-2011,24.05,24.60,23.45, 23.65,23.60,1055465,250.16
08-Apr-2011,25.00,25.45,24.25, 24.50,24.45,961684,239.26
07-Apr-2011,26.00,26.00,24.70, 24.85,24.90,1230284,310.91
06-Apr-2011,25.50,26.90,25.35, 25.60,25.50,1707217,442.54
05-Apr-2011,26.25,27.10,25.20, 26.40,26.40,1827657,481.34
04-Apr-2011,25.40,26.75,24.60, 26.15,26.20,3526752,919.09
01-Apr-2011,23.45,25.45,23.10, 25.30,25.00,1454247,355.85
31-Mar-2011,24.20,24.20,23.00, 23.30,23.25,1107883,259.40
30-Mar-2011,24.10,24.55,23.80, 23.85,23.90,977942,236.50
29-Mar-2011,24.05,24.60,23.55, 23.65,23.70,1549810,373.10
28-Mar-2011,24.05,24.75,23.70, 24.30,24.15,1333709,322.23
25-Mar-2011,23.85,25.05,23.40, 23.85,24.00,2433202,587.55
24-Mar-2011,23.45,24.35,22.30, 23.80,23.75,2969418,690.78
23-Mar-2011,19.95,23.25,19.40, 22.75,22.80,4722050,1056.05
22-Mar-2011,20.45,20.45,19.90, 19.90,19.95,455389,91.65
21-Mar-2011,20.70,21.00,19.90, 20.15,20.10,588679,119.25
18-Mar-2011,21.00,21.30,20.30, 20.50,20.45,571579,117.91
17-Mar-2011,20.70,21.80,20.45, 20.95,20.80,755016,158.62
16-Mar-2011,20.75,21.60,20.75, 20.90,20.95,1148076,241.73
15-Mar-2011,20.70,21.50,20.20, 20.75,20.70,558893,115.44
14-Mar-2011,21.65,21.75,20.90, 21.20,21.15,700077,148.80
11-Mar-2011,21.90,22.20,21.40, 21.65,21.65,594302,129.16
10-Mar-2011,22.45,22.50,21.90, 22.05,22.05,471383,104.30
09-Mar-2011,22.70,23.15,22.15, 22.20,22.25,1247548,280.62
08-Mar-2011,22.80,23.15,22.45, 22.65,22.65,1022583,233.19
07-Mar-2011,22.80,23.15,22.30, 22.50,22.60,582049,131.37
04-Mar-2011,23.00,24.10,22.85, 23.35,23.30,1521666,358.37
03-Mar-2011,23.30,23.40,22.60, 22.90,22.80,891711,204.50
01-Mar-2011,23.00,23.60,22.70, 23.40,23.35,1124873,260.89
28-Feb-2011,23.75,24.45,22.40, 22.50,22.55,1936240,456.89
25-Feb-2011,23.95,24.00,22.60, 23.40,23.25,1260177,293.14
24-Feb-2011,24.50,24.95,22.80, 23.25,23.10,1595577,378.55
23-Feb-2011,24.70,25.90,24.45, 24.70,24.65,1773189,442.79
22-Feb-2011,23.80,25.60,23.15, 24.80,24.65,3572298,879.36
21-Feb-2011,23.70,24.00,21.65, 23.95,23.75,2391916,549.89
18-Feb-2011,25.60,26.70,23.30, 23.65,23.60,4332300,1067.95
17-Feb-2011,21.50,25.45,21.30, 25.45,25.45,5776640,1405.22
16-Feb-2011,21.60,21.80,21.10, 21.25,21.20,563248,120.65
15-Feb-2011,22.00,22.45,21.30, 21.70,21.50,737774,160.98
14-Feb-2011,21.50,22.40,21.35, 22.30,22.20,788321,173.75
11-Feb-2011,18.95,21.70,18.30, 21.50,21.15,1449275,286.37
10-Feb-2011,18.70,19.10,18.00, 18.40,18.45,964148,177.92
09-Feb-2011,20.50,20.70,18.45, 18.70,18.70,2006148,387.79
08-Feb-2011,22.00,22.15,20.25, 20.50,20.45,823412,174.10
07-Feb-2011,22.30,22.75,21.80, 21.90,21.90,619647,137.62
04-Feb-2011,22.10,23.20,21.65, 21.65,21.90,929844,208.26
03-Feb-2011,22.50,22.70,21.70, 22.30,22.30,753180,167.88
02-Feb-2011,22.10,23.20,21.65, 22.00,22.00,1274131,284.15
01-Feb-2011,23.00,23.00,21.65, 21.70,21.85,1122535,249.80
31-Jan-2011,22.75,23.05,21.70, 22.70,22.65,1554288,353.90
28-Jan-2011,25.05,25.05,22.80, 23.25,23.30,1124568,264.04
27-Jan-2011,26.00,26.50,24.35, 25.00,24.70,1710524,431.81
25-Jan-2011,26.65,27.20,25.70, 26.10,26.05,1005530,265.46
24-Jan-2011,26.90,27.20,26.00, 26.45,26.25,952947,253.40
21-Jan-2011,25.80,27.50,25.50, 26.50,26.50,2296261,617.39
20-Jan-2011,26.05,26.85,25.50, 25.70,25.75,2380214,620.23
19-Jan-2011,24.90,27.40,23.20, 27.15,26.80,4370060,1115.04
18-Jan-2011,22.00,24.70,20.60, 24.10,23.80,4052520,920.76
17-Jan-2011,23.40,23.50,21.60, 21.65,21.85,1194009,266.61
