Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,9.05,9.30,9.00, 9.15,9.15,150722,13.77
29-Dec-2011,9.10,9.30,9.00, 9.15,9.15,73570,6.76
28-Dec-2011,9.45,9.45,9.05, 9.15,9.10,75778,6.94
27-Dec-2011,9.15,9.40,9.15, 9.30,9.35,70889,6.63
26-Dec-2011,9.50,9.50,9.00, 9.35,9.35,124625,11.70
23-Dec-2011,9.70,9.70,9.10, 9.30,9.30,81018,7.53
22-Dec-2011,9.00,9.25,8.90, 9.25,9.15,73231,6.66
21-Dec-2011,9.00,9.25,8.80, 9.10,9.10,123240,11.15
20-Dec-2011,9.25,9.45,8.60, 8.85,8.70,1099941,98.58
19-Dec-2011,9.60,9.80,9.15, 9.25,9.20,186603,17.52
16-Dec-2011,10.15,10.15,9.50, 9.60,9.65,179343,17.72
15-Dec-2011,10.30,10.30,9.85, 9.90,9.90,111618,11.12
14-Dec-2011,10.15,10.35,10.05, 10.10,10.10,57463,5.82
13-Dec-2011,10.30,10.40,9.90, 10.10,10.10,86248,8.74
12-Dec-2011,10.80,10.80,10.20, 10.25,10.20,76369,7.86
09-Dec-2011,10.50,10.70,10.20, 10.35,10.35,129361,13.44
08-Dec-2011,10.75,10.80,10.50, 10.60,10.55,132526,14.04
07-Dec-2011,10.60,10.95,10.60, 10.75,10.75,86949,9.38
05-Dec-2011,10.95,10.95,10.50, 10.70,10.75,80660,8.66
02-Dec-2011,10.50,10.80,10.50, 10.70,10.75,87675,9.39
01-Dec-2011,10.90,10.90,10.50, 10.50,10.60,107336,11.50
30-Nov-2011,10.50,10.80,10.50, 10.50,10.60,83793,8.92
29-Nov-2011,11.00,11.00,10.55, 10.55,10.65,143543,15.30
28-Nov-2011,10.25,10.90,10.15, 10.75,10.65,216388,23.12
25-Nov-2011,10.85,10.85,10.10, 10.50,10.65,111842,11.78
24-Nov-2011,10.50,10.70,10.05, 10.45,10.40,73629,7.64
23-Nov-2011,10.85,11.00,10.10, 10.40,10.35,169351,17.78
22-Nov-2011,10.65,10.85,10.60, 10.65,10.70,183042,19.62
21-Nov-2011,11.00,11.35,10.50, 10.50,10.60,139907,15.09
18-Nov-2011,11.00,11.00,10.55, 10.85,10.80,161764,17.42
17-Nov-2011,11.50,11.50,11.00, 11.05,11.05,148786,16.59
16-Nov-2011,11.35,11.50,10.90, 11.50,11.35,213843,23.84
15-Nov-2011,11.65,11.85,11.45, 11.55,11.50,150134,17.39
14-Nov-2011,11.90,12.10,10.55, 11.65,11.65,98620,11.67
11-Nov-2011,12.10,12.10,11.90, 11.95,11.90,1163789,139.05
09-Nov-2011,12.25,12.25,12.00, 12.10,12.00,155862,18.90
08-Nov-2011,12.15,12.30,12.15, 12.15,12.15,86972,10.61
04-Nov-2011,12.20,12.30,12.10, 12.15,12.15,181571,22.14
03-Nov-2011,12.25,12.30,12.10, 12.15,12.15,123419,15.04
02-Nov-2011,12.10,12.45,12.00, 12.15,12.25,1032774,126.45
01-Nov-2011,12.15,12.30,12.10, 12.15,12.20,123005,14.97
31-Oct-2011,12.30,12.40,12.10, 12.20,12.20,160555,19.63
28-Oct-2011,12.35,12.60,12.35, 12.40,12.40,335264,41.58
26-Oct-2011,12.35,12.40,12.10, 12.30,12.30,49338,6.07
25-Oct-2011,12.15,12.30,12.05, 12.30,12.15,174814,21.22
24-Oct-2011,12.80,12.80,12.20, 12.25,12.25,167444,20.70
21-Oct-2011,12.60,12.75,12.25, 12.30,12.30,242293,30.16
20-Oct-2011,12.70,13.50,12.50, 12.50,12.55,1126482,145.43
19-Oct-2011,12.45,14.60,12.40, 12.45,12.45,514372,64.67
18-Oct-2011,12.20,12.50,12.05, 12.20,12.15,232475,28.32
17-Oct-2011,12.60,12.60,12.20, 12.30,12.30,171642,21.14
14-Oct-2011,12.15,12.80,12.15, 12.45,12.45,473011,58.89
13-Oct-2011,12.00,13.00,11.95, 12.20,12.20,608950,75.37
12-Oct-2011,12.00,12.05,11.85, 11.95,12.00,123007,14.69
11-Oct-2011,12.00,12.20,11.75, 11.90,11.95,112561,13.47
10-Oct-2011,11.80,12.00,11.75, 11.85,11.85,150231,17.82
07-Oct-2011,12.00,12.15,11.65, 11.95,11.90,122665,14.72
05-Oct-2011,12.00,12.05,11.80, 11.80,11.85,125279,14.95
04-Oct-2011,12.50,12.50,11.85, 11.85,11.90,251909,30.31
03-Oct-2011,12.70,12.70,12.05, 12.15,12.15,108227,13.15
30-Sep-2011,12.30,12.65,12.20, 12.25,12.25,147222,18.28
29-Sep-2011,12.25,12.65,12.25, 12.50,12.50,67510,8.40
28-Sep-2011,12.50,12.65,12.20, 12.55,12.60,129145,16.21
27-Sep-2011,12.80,12.80,12.30, 12.50,12.50,280652,35.08
26-Sep-2011,12.15,12.55,12.00, 12.30,12.15,183595,22.34
23-Sep-2011,12.70,12.75,12.25, 12.30,12.30,192195,23.78
22-Sep-2011,12.90,12.90,12.60, 12.60,12.60,687829,87.40
21-Sep-2011,12.90,13.20,12.90, 12.95,12.90,259979,33.76
20-Sep-2011,12.90,13.05,12.90, 12.95,12.90,96485,12.49
19-Sep-2011,13.00,13.00,12.80, 12.85,12.85,128058,16.50
16-Sep-2011,13.00,13.15,12.90, 12.90,12.95,227606,29.58
15-Sep-2011,13.50,13.90,12.90, 13.15,13.00,206013,26.97
14-Sep-2011,13.10,13.35,12.90, 13.15,13.15,169223,22.14
13-Sep-2011,13.45,13.65,13.05, 13.05,13.05,359195,47.65
12-Sep-2011,13.50,13.70,13.30, 13.40,13.40,124169,16.77
09-Sep-2011,13.75,14.00,13.60, 13.60,13.70,552409,77.06
08-Sep-2011,14.25,14.25,13.80, 13.95,13.95,973199,135.47
07-Sep-2011,13.45,14.30,13.35, 14.10,14.05,778170,108.55
06-Sep-2011,13.10,13.55,13.05, 13.50,13.45,300877,40.04
05-Sep-2011,13.00,13.25,12.95, 13.10,13.20,182785,24.02
02-Sep-2011,13.05,13.45,13.05, 13.10,13.20,639742,84.63
30-Aug-2011,13.30,13.55,13.25, 13.50,13.45,291831,39.11
29-Aug-2011,13.00,13.55,12.95, 13.30,13.35,457732,60.12
26-Aug-2011,13.10,13.30,12.65, 12.95,12.85,281773,36.67
25-Aug-2011,13.25,13.45,13.05, 13.30,13.20,280177,37.11
24-Aug-2011,13.50,13.70,13.00, 13.00,13.25,1023936,137.67
23-Aug-2011,12.80,13.30,12.55, 13.30,13.10,370622,48.11
22-Aug-2011,12.50,12.80,12.50, 12.60,12.70,207756,26.21
19-Aug-2011,12.25,12.75,12.25, 12.65,12.55,473427,59.17
18-Aug-2011,12.95,13.15,12.65, 12.90,12.85,410634,53.08
17-Aug-2011,13.00,13.10,12.75, 13.05,13.00,508398,65.71
16-Aug-2011,12.70,13.15,12.70, 13.00,12.95,427462,55.17
12-Aug-2011,12.90,13.00,12.40, 12.70,12.70,238306,30.13
11-Aug-2011,12.40,12.70,12.40, 12.70,12.55,508168,63.56
10-Aug-2011,12.25,12.90,12.20, 12.85,12.70,346424,43.49
09-Aug-2011,12.00,12.50,11.80, 12.10,12.15,421301,50.76
08-Aug-2011,12.25,12.80,12.15, 12.50,12.40,708534,87.61
05-Aug-2011,11.60,12.85,11.60, 12.80,12.80,825359,105.23
04-Aug-2011,12.80,13.15,12.75, 13.00,13.10,766166,99.77
03-Aug-2011,12.55,12.95,12.55, 12.75,12.80,454499,58.11
02-Aug-2011,13.00,13.10,12.80, 12.90,12.90,396279,51.31
01-Aug-2011,12.95,13.15,12.90, 13.15,13.00,887771,115.69
29-Jul-2011,13.10,13.15,12.90, 12.95,13.00,998828,129.94
28-Jul-2011,13.00,13.20,12.85, 12.95,12.95,524968,68.33
27-Jul-2011,13.25,13.25,13.00, 13.05,13.10,592084,77.63
26-Jul-2011,12.80,13.25,12.60, 13.10,13.10,1925180,248.83
25-Jul-2011,12.05,13.10,12.05, 13.00,13.05,640967,83.31
22-Jul-2011,13.00,13.20,12.60, 12.80,12.85,785791,101.75
21-Jul-2011,12.50,13.10,12.40, 13.10,13.00,1053449,135.31
20-Jul-2011,13.10,13.10,12.65, 12.65,12.65,632755,80.89
19-Jul-2011,12.40,13.10,12.30, 13.00,13.00,2424365,311.91
18-Jul-2011,12.50,12.65,12.40, 12.45,12.40,385487,48.13
15-Jul-2011,12.50,12.90,12.50, 12.55,12.55,398268,50.49
14-Jul-2011,12.80,12.80,12.50, 12.50,12.55,445244,56.11
13-Jul-2011,12.85,13.10,12.65, 12.80,12.75,1346357,173.84
12-Jul-2011,11.95,13.10,11.85, 12.85,12.80,2632992,329.74
11-Jul-2011,12.00,12.15,11.95, 12.00,12.00,343972,41.34
08-Jul-2011,12.00,12.10,11.85, 11.95,12.00,575269,68.96
07-Jul-2011,11.95,12.05,11.90, 11.95,11.90,316542,37.84
06-Jul-2011,12.30,12.40,11.90, 11.95,11.95,832669,100.53
05-Jul-2011,12.00,12.45,11.85, 12.05,12.10,716193,87.08
04-Jul-2011,12.00,12.10,11.95, 12.00,12.00,446215,53.58
01-Jul-2011,12.20,12.40,11.80, 11.95,11.90,840263,100.68
30-Jun-2011,11.50,12.35,11.45, 12.00,12.00,1599817,191.27
29-Jun-2011,11.60,11.65,11.45, 11.50,11.50,250997,29.01
28-Jun-2011,11.65,11.70,11.35, 11.45,11.45,775456,89.57
27-Jun-2011,11.50,11.75,11.35, 11.65,11.60,384633,44.70
24-Jun-2011,11.25,11.60,11.20, 11.50,11.55,428634,49.28
23-Jun-2011,11.30,11.50,11.25, 11.25,11.25,459576,52.15
22-Jun-2011,11.50,11.75,11.30, 11.45,11.40,828561,94.87
21-Jun-2011,11.95,12.00,11.50, 11.55,11.60,665766,78.36
20-Jun-2011,12.05,12.30,11.35, 11.85,11.75,1470546,173.11
17-Jun-2011,12.60,12.60,11.90, 11.95,12.00,1077353,132.10
16-Jun-2011,12.95,13.05,12.35, 12.40,12.40,1954435,246.09
15-Jun-2011,12.95,13.60,12.70, 12.95,13.00,6533342,859.55
14-Jun-2011,12.00,12.85,12.00, 12.50,12.50,2656310,328.11
13-Jun-2011,11.65,12.50,11.30, 12.25,12.20,3253553,393.50
10-Jun-2011,11.30,12.55,11.10, 11.65,11.65,2868737,341.54
09-Jun-2011,11.15,11.35,10.90, 11.20,11.25,787426,87.51
08-Jun-2011,11.25,11.25,11.00, 11.00,11.00,259657,28.82
07-Jun-2011,11.15,11.25,11.05, 11.15,11.20,282337,31.63
06-Jun-2011,11.35,11.45,10.90, 11.15,11.15,1363395,152.37
03-Jun-2011,11.15,11.50,10.85, 10.95,11.00,615985,68.76
02-Jun-2011,10.85,11.45,10.80, 11.30,11.35,1582971,177.55
01-Jun-2011,10.75,10.95,10.75, 10.85,10.90,429032,46.67
31-May-2011,10.90,10.90,10.40, 10.80,10.75,466218,50.20
30-May-2011,10.85,10.90,10.80, 10.85,10.85,422783,45.79
27-May-2011,10.75,11.00,10.75, 10.80,10.80,568739,61.79
26-May-2011,11.65,11.65,10.80, 10.80,10.80,1155814,127.77
25-May-2011,10.70,11.60,10.55, 11.05,11.20,3961182,440.96
24-May-2011,10.60,10.95,10.00, 10.40,10.50,3161859,337.84
23-May-2011,10.75,10.90,10.50, 10.55,10.55,676838,72.17
20-May-2011,10.70,10.95,10.70, 10.75,10.75,367108,39.54
19-May-2011,10.60,10.80,10.60, 10.80,10.75,214255,22.95
18-May-2011,10.75,10.85,10.60, 10.65,10.65,350447,37.44
17-May-2011,11.00,11.00,10.70, 10.75,10.75,331984,35.94
16-May-2011,11.00,11.10,10.90, 10.95,10.90,330126,36.23
13-May-2011,11.05,11.10,10.85, 11.10,11.05,278930,30.81
12-May-2011,11.00,11.10,11.00, 11.05,11.00,261911,28.92
11-May-2011,11.20,11.25,11.05, 11.10,11.10,197484,21.90
10-May-2011,11.05,11.25,11.05, 11.15,11.10,244408,27.23
09-May-2011,11.10,11.20,11.00, 11.10,11.05,344261,38.09
06-May-2011,11.10,11.20,11.05, 11.10,11.10,320524,35.55
05-May-2011,11.15,11.15,11.00, 11.05,11.05,526917,58.27
04-May-2011,11.25,11.25,11.00, 11.10,11.05,649969,72.12
03-May-2011,11.35,11.40,11.15, 11.25,11.20,569327,64.21
02-May-2011,11.40,11.50,11.20, 11.35,11.35,411794,46.52
29-Apr-2011,11.70,11.70,11.30, 11.35,11.35,815714,93.55
28-Apr-2011,11.85,11.85,11.55, 11.65,11.60,451059,52.57
27-Apr-2011,11.80,11.95,11.70, 11.75,11.70,498013,58.74
26-Apr-2011,12.20,12.20,11.60, 11.80,11.75,731874,86.01
25-Apr-2011,11.65,12.25,11.60, 11.90,11.90,1290882,153.80
21-Apr-2011,12.00,12.00,11.55, 11.55,11.60,546941,63.96
20-Apr-2011,11.70,11.90,11.45, 11.75,11.75,1163324,136.15
19-Apr-2011,11.30,11.75,11.15, 11.55,11.55,1879416,214.63
18-Apr-2011,11.50,11.85,11.15, 11.15,11.20,1705777,195.28
15-Apr-2011,12.00,12.10,11.40, 11.55,11.50,2081774,241.34
13-Apr-2011,11.80,12.20,11.60, 11.95,12.00,911496,109.26
11-Apr-2011,12.10,12.30,11.10, 11.95,11.95,752017,89.75
08-Apr-2011,12.55,12.75,11.95, 12.00,12.00,1652152,202.43
07-Apr-2011,12.50,12.90,12.25, 12.45,12.40,1668050,210.19
06-Apr-2011,12.00,13.15,12.00, 12.35,12.35,1971740,248.63
05-Apr-2011,12.50,12.70,12.20, 12.30,12.25,534834,66.05
04-Apr-2011,12.20,12.60,12.20, 12.50,12.50,454116,56.62
01-Apr-2011,12.15,12.30,11.80, 12.15,12.15,476753,58.09
31-Mar-2011,11.50,12.35,11.50, 12.15,12.15,1558395,188.47
30-Mar-2011,11.25,11.90,11.00, 11.65,11.60,952582,109.47
29-Mar-2011,11.00,11.15,11.00, 11.00,11.05,710587,78.69
28-Mar-2011,11.00,11.20,11.00, 11.05,11.05,397268,44.08
25-Mar-2011,11.10,11.20,11.05, 11.05,11.05,342438,38.05
24-Mar-2011,10.95,11.20,10.85, 11.15,11.10,662946,73.09
23-Mar-2011,11.00,11.00,10.85, 10.90,10.90,426965,46.65
22-Mar-2011,10.95,11.05,10.85, 11.00,10.95,286471,31.39
21-Mar-2011,10.85,11.10,10.70, 10.95,10.90,546529,59.43
18-Mar-2011,11.00,11.05,10.75, 10.80,10.80,459398,49.97
17-Mar-2011,10.95,11.10,10.90, 10.95,10.95,274150,30.08
16-Mar-2011,11.10,11.15,10.90, 10.95,10.95,393962,43.49
15-Mar-2011,11.10,11.10,10.55, 10.95,10.90,419791,45.88
14-Mar-2011,11.10,11.20,11.05, 11.10,11.15,219788,24.48
11-Mar-2011,11.10,11.30,11.05, 11.15,11.10,264254,29.45
10-Mar-2011,11.30,11.30,11.15, 11.20,11.20,271506,30.49
09-Mar-2011,11.30,11.40,11.20, 11.35,11.30,380870,43.03
08-Mar-2011,11.20,11.35,11.10, 11.15,11.15,354710,39.70
07-Mar-2011,11.25,11.30,11.00, 11.15,11.15,480976,53.41
04-Mar-2011,11.25,11.45,11.10, 11.35,11.30,337541,38.22
03-Mar-2011,11.40,11.45,11.15, 11.25,11.25,393245,44.47
01-Mar-2011,11.35,11.55,11.30, 11.40,11.45,287238,32.94
28-Feb-2011,11.15,11.65,11.05, 11.25,11.30,448271,51.06
25-Feb-2011,11.40,11.40,11.00, 11.10,11.15,448991,50.22
24-Feb-2011,11.35,11.70,11.20, 11.25,11.25,550187,62.41
23-Feb-2011,11.70,11.90,11.55, 11.55,11.60,265031,31.07
22-Feb-2011,11.70,11.90,11.65, 11.85,11.80,192403,22.70
21-Feb-2011,11.80,12.00,11.70, 11.85,11.80,392453,46.26
18-Feb-2011,12.20,12.25,11.70, 11.90,11.80,666640,79.96
17-Feb-2011,12.00,12.20,11.85, 12.15,12.10,483378,58.29
16-Feb-2011,12.05,12.05,11.80, 11.95,11.95,333418,39.77
15-Feb-2011,11.95,12.15,11.85, 12.05,12.00,369341,44.33
14-Feb-2011,11.90,12.00,11.35, 11.95,11.90,626845,74.56
11-Feb-2011,11.00,11.45,10.95, 11.40,11.35,421186,47.14
10-Feb-2011,11.00,11.15,10.55, 11.05,10.90,889088,96.45
09-Feb-2011,10.45,11.90,10.45, 11.20,11.00,891024,100.95
08-Feb-2011,12.30,12.30,11.65, 11.70,11.70,615501,73.66
07-Feb-2011,12.20,12.35,12.10, 12.10,12.15,467764,57.15
04-Feb-2011,12.25,12.50,12.10, 12.20,12.15,501348,61.55
03-Feb-2011,12.40,12.40,12.00, 12.35,12.35,588531,72.37
02-Feb-2011,12.00,12.55,12.00, 12.20,12.15,468494,57.50
01-Feb-2011,12.30,12.55,12.00, 12.10,12.15,711973,87.19
31-Jan-2011,12.00,12.70,11.95, 12.30,12.30,832233,102.19
28-Jan-2011,13.00,13.00,12.55, 12.85,12.65,680270,86.54
27-Jan-2011,13.45,13.45,12.90, 13.10,13.00,623701,82.02
25-Jan-2011,13.55,13.75,13.30, 13.35,13.35,441188,59.56
24-Jan-2011,13.85,14.10,13.45, 13.55,13.50,616320,84.48
21-Jan-2011,14.00,14.15,13.60, 13.80,13.85,1618284,225.91
20-Jan-2011,12.80,14.55,12.80, 13.85,13.75,6574412,907.50
19-Jan-2011,12.95,12.95,12.65, 12.85,12.80,343075,43.97
18-Jan-2011,12.65,12.90,12.50, 12.75,12.75,332372,42.37
17-Jan-2011,12.90,13.00,12.60, 12.65,12.65,462905,59.41
14-Jan-2011,13.05,13.15,12.85, 12.95,12.90,486074,63.23
13-Jan-2011,13.45,13.45,13.00, 13.05,13.00,298597,39.16
12-Jan-2011,13.10,13.25,12.85, 13.20,13.15,576092,75.20
11-Jan-2011,13.20,13.45,12.95, 13.05,13.00,635743,83.34
10-Jan-2011,13.50,13.70,13.05, 13.20,13.10,749090,99.27
07-Jan-2011,13.85,13.85,13.40, 13.50,13.45,579794,78.52
06-Jan-2011,14.15,14.15,13.65, 13.65,13.75,508427,70.32
05-Jan-2011,14.05,14.30,13.90, 14.00,13.95,874557,122.96
04-Jan-2011,14.10,14.45,14.05, 14.20,14.20,791007,112.86
03-Jan-2011,13.90,14.15,13.80, 14.15,14.05,728626,102.08
