Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,12.00,12.40,12.00, 12.05,12.05,2393,0.29
29-Dec-2011,12.40,12.40,12.00, 12.20,12.10,5594,0.68
28-Dec-2011,12.00,12.70,12.00, 12.10,12.10,887,0.11
27-Dec-2011,12.00,12.75,12.00, 12.40,12.20,2774,0.34
26-Dec-2011,12.30,12.75,12.00, 12.25,12.25,2717,0.33
23-Dec-2011,12.55,12.55,12.05, 12.05,12.05,1559,0.19
22-Dec-2011,12.05,12.50,11.95, 12.25,12.20,1579,0.19
21-Dec-2011,12.10,12.45,11.55, 12.15,12.05,4024,0.48
20-Dec-2011,12.50,12.70,12.05, 12.05,12.05,1096,0.14
19-Dec-2011,12.00,13.10,12.00, 12.45,12.55,3525,0.45
16-Dec-2011,12.25,13.05,12.00, 12.05,12.10,5262,0.65
15-Dec-2011,12.45,12.70,12.20, 12.25,12.35,1287,0.16
14-Dec-2011,12.80,13.40,12.80, 13.15,13.15,698,0.09
13-Dec-2011,13.00,13.45,12.80, 12.90,12.90,1901,0.25
12-Dec-2011,13.60,14.00,13.00, 13.00,13.35,2111,0.28
09-Dec-2011,13.30,14.25,13.25, 13.40,13.40,3530,0.49
08-Dec-2011,12.80,14.75,12.80, 14.50,14.10,13169,1.84
07-Dec-2011,13.00,13.30,12.90, 13.05,13.05,3386,0.44
05-Dec-2011,13.25,13.25,13.00, 13.25,13.10,731,0.10
02-Dec-2011,12.75,13.35,12.75, 12.95,12.95,2580,0.33
01-Dec-2011,12.70,13.60,12.70, 13.40,13.10,5782,0.77
30-Nov-2011,13.35,13.35,12.30, 12.75,12.85,2015,0.26
29-Nov-2011,12.95,13.40,12.95, 13.35,13.20,2567,0.34
28-Nov-2011,13.35,13.35,12.60, 13.15,12.85,3702,0.48
25-Nov-2011,12.20,13.40,12.20, 12.90,12.85,4116,0.54
24-Nov-2011,12.60,13.00,12.30, 13.00,12.65,1649,0.21
23-Nov-2011,12.15,12.90,12.00, 12.30,12.25,5725,0.71
22-Nov-2011,12.50,13.45,12.15, 12.95,12.90,2475,0.31
21-Nov-2011,12.40,12.80,12.10, 12.80,12.60,3352,0.42
18-Nov-2011,13.20,13.20,12.25, 12.40,12.40,5138,0.65
17-Nov-2011,13.40,13.40,12.80, 12.90,12.80,3204,0.42
16-Nov-2011,13.95,13.95,12.85, 13.35,13.05,2608,0.34
15-Nov-2011,12.15,14.30,12.15, 13.65,13.30,5042,0.68
14-Nov-2011,14.10,14.40,13.60, 13.60,13.75,3578,0.50
11-Nov-2011,14.15,14.70,14.10, 14.20,14.20,3822,0.55
09-Nov-2011,14.90,15.15,14.40, 14.40,14.55,4913,0.72
08-Nov-2011,14.05,14.80,14.05, 14.65,14.65,4509,0.66
04-Nov-2011,15.00,15.15,14.15, 14.45,14.20,12830,1.86
03-Nov-2011,14.75,15.45,14.50, 14.80,14.75,7933,1.17
02-Nov-2011,14.60,14.65,14.15, 14.30,14.50,5376,0.77
01-Nov-2011,13.75,14.65,13.75, 14.65,14.40,4639,0.66
31-Oct-2011,14.05,14.85,14.00, 14.60,14.50,6136,0.89
28-Oct-2011,14.05,14.50,14.05, 14.15,14.10,4913,0.70
26-Oct-2011,13.85,14.45,13.85, 14.45,14.40,192,0.03
25-Oct-2011,13.75,13.85,13.65, 13.75,13.75,258,0.04
24-Oct-2011,14.65,14.65,14.00, 14.20,14.05,5898,0.83
21-Oct-2011,14.15,14.70,14.00, 14.00,14.10,7398,1.05
20-Oct-2011,14.35,14.60,14.00, 14.60,14.50,9424,1.34
19-Oct-2011,14.00,14.40,14.00, 14.35,14.05,4127,0.59
18-Oct-2011,13.80,14.45,13.80, 14.35,14.00,2003,0.28
17-Oct-2011,14.85,14.85,14.00, 14.00,14.30,6485,0.93
14-Oct-2011,13.35,15.95,13.35, 14.85,15.05,105601,16.19
13-Oct-2011,13.95,13.95,13.10, 13.70,13.65,10792,1.46
12-Oct-2011,13.95,13.95,13.30, 13.50,13.50,3471,0.47
11-Oct-2011,13.75,13.75,13.50, 13.75,13.75,1000,0.14
10-Oct-2011,13.50,13.80,13.50, 13.75,13.65,567,0.08
07-Oct-2011,13.30,13.60,13.30, 13.35,13.50,2174,0.29
05-Oct-2011,13.60,13.85,13.40, 13.70,13.75,4669,0.64
04-Oct-2011,13.60,13.95,13.10, 13.15,13.20,4527,0.60
03-Oct-2011,14.00,14.00,13.50, 13.50,13.55,1502,0.21
30-Sep-2011,13.50,14.00,13.30, 13.90,13.70,1865,0.26
29-Sep-2011,14.20,14.20,13.60, 13.95,13.95,903,0.12
28-Sep-2011,14.00,14.50,13.60, 13.65,13.65,4105,0.57
27-Sep-2011,14.65,14.75,14.25, 14.35,14.35,1503,0.22
26-Sep-2011,14.95,14.95,13.55, 14.20,14.15,2992,0.43
23-Sep-2011,15.10,15.10,14.60, 14.85,14.85,3300,0.49
