Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,142.00,144.85,138.00, 143.70,142.50,6959,9.94
29-Dec-2011,137.90,142.95,137.40, 141.20,140.75,10347,14.59
28-Dec-2011,136.00,139.50,134.15, 136.00,136.55,6331,8.71
27-Dec-2011,140.85,140.85,133.20, 138.85,137.15,1879,2.56
26-Dec-2011,137.50,141.65,135.10, 140.70,139.80,5396,7.55
23-Dec-2011,137.90,139.00,133.90, 137.95,137.65,3580,4.93
22-Dec-2011,130.10,136.95,125.25, 132.30,133.95,14282,19.07
21-Dec-2011,131.00,133.00,129.10, 131.00,131.00,24331,32.23
20-Dec-2011,135.05,135.05,130.35, 130.35,131.15,3019,4.03
19-Dec-2011,140.00,140.00,133.25, 135.05,135.10,8451,11.41
16-Dec-2011,140.40,144.00,135.10, 136.45,137.80,5386,7.47
15-Dec-2011,143.50,143.50,137.65, 140.00,140.30,10194,14.36
14-Dec-2011,145.00,145.95,141.20, 144.75,142.85,7159,10.24
13-Dec-2011,140.10,147.90,138.10, 144.20,145.55,10508,15.10
12-Dec-2011,147.00,148.80,139.05, 140.15,142.65,8563,12.23
09-Dec-2011,145.00,148.80,142.00, 146.00,146.50,30297,44.24
08-Dec-2011,148.40,148.40,143.30, 147.00,146.45,23181,33.78
07-Dec-2011,145.00,161.30,141.10, 146.25,146.20,138673,208.51
05-Dec-2011,138.50,142.00,136.50, 141.40,141.10,19165,26.93
02-Dec-2011,129.00,138.00,126.85, 136.50,134.90,41768,55.08
01-Dec-2011,128.95,129.00,125.55, 128.40,128.05,8069,10.32
30-Nov-2011,124.00,126.45,123.00, 125.75,125.90,2913,3.66
29-Nov-2011,127.00,127.00,120.25, 125.50,125.60,8920,11.16
28-Nov-2011,126.75,126.75,120.40, 121.00,121.80,2284,2.79
25-Nov-2011,125.95,125.95,116.25, 120.70,120.15,19609,23.85
24-Nov-2011,126.95,126.95,115.40, 118.55,117.80,3169,3.70
23-Nov-2011,126.95,126.95,116.40, 117.90,117.55,5206,6.13
22-Nov-2011,118.00,121.00,117.65, 119.00,119.15,5992,7.14
21-Nov-2011,122.00,122.00,116.60, 118.00,117.85,7238,8.58
18-Nov-2011,121.00,121.00,116.10, 118.30,117.50,4337,5.12
17-Nov-2011,126.65,128.00,117.65, 120.20,121.55,14268,17.67
16-Nov-2011,122.30,122.30,115.20, 121.90,120.95,9050,10.73
15-Nov-2011,125.90,125.90,118.95, 119.05,119.05,5749,6.91
14-Nov-2011,123.45,126.00,119.30, 120.75,120.00,18253,22.33
11-Nov-2011,127.15,129.30,121.55, 125.00,124.45,10906,13.57
09-Nov-2011,128.00,129.50,126.25, 127.25,128.05,1497,1.92
08-Nov-2011,129.90,130.00,126.50, 126.60,127.00,6238,7.99
04-Nov-2011,129.00,131.95,126.65, 129.50,129.00,3827,4.96
03-Nov-2011,131.35,131.35,126.65, 128.50,129.45,7534,9.68
02-Nov-2011,129.25,130.80,127.50, 129.40,129.95,2293,2.96
01-Nov-2011,132.00,132.50,129.20, 129.50,129.35,3624,4.74
31-Oct-2011,130.50,133.50,129.05, 133.50,132.45,11193,14.78
28-Oct-2011,131.00,132.00,129.35, 130.20,130.50,7004,9.14
26-Oct-2011,129.50,129.90,127.25, 129.80,129.35,3713,4.80
25-Oct-2011,128.90,130.00,126.50, 128.00,128.65,11014,14.17
24-Oct-2011,125.00,130.75,124.90, 126.80,127.05,21294,27.13
21-Oct-2011,118.25,126.60,117.00, 122.00,122.30,32177,39.51
20-Oct-2011,118.00,119.60,117.20, 118.50,118.50,1732,2.05
19-Oct-2011,123.90,123.90,116.65, 118.65,118.10,4571,5.44
18-Oct-2011,124.00,124.00,116.00, 119.00,118.30,8063,9.52
17-Oct-2011,124.90,124.90,121.50, 122.50,122.80,5717,7.05
14-Oct-2011,122.05,123.45,119.10, 122.30,121.10,6382,7.73
13-Oct-2011,127.00,127.00,121.65, 121.70,122.00,5846,7.21
12-Oct-2011,123.10,130.00,120.55, 125.00,125.65,22647,28.59
11-Oct-2011,125.00,125.00,119.10, 121.55,120.20,1285,1.56
10-Oct-2011,123.00,123.00,119.20, 119.85,120.05,3055,3.69
07-Oct-2011,125.90,125.90,118.50, 119.50,119.30,1730,2.08
05-Oct-2011,124.90,124.90,117.00, 119.00,118.40,1709,2.03
04-Oct-2011,121.45,122.90,117.00, 118.85,117.95,1401,1.67
03-Oct-2011,122.70,122.70,117.90, 118.50,118.65,2068,2.46
30-Sep-2011,127.50,127.50,117.30, 120.00,119.80,6436,7.78
29-Sep-2011,124.40,124.60,121.90, 123.00,123.25,3214,3.97
28-Sep-2011,126.45,126.45,121.25, 122.95,122.70,7553,9.40
27-Sep-2011,130.00,130.00,115.35, 121.25,122.05,3665,4.46
26-Sep-2011,125.90,125.90,118.50, 121.50,120.15,4375,5.27
23-Sep-2011,124.00,124.10,119.40, 121.90,121.50,4749,5.76
22-Sep-2011,135.00,135.00,122.10, 122.90,122.20,6660,8.24
21-Sep-2011,133.00,133.00,124.20, 125.75,125.85,3002,3.79
20-Sep-2011,133.00,133.00,123.30, 124.60,124.45,6523,8.10
19-Sep-2011,133.00,133.00,122.15, 124.00,124.00,6135,7.59
16-Sep-2011,139.90,139.90,124.10, 124.20,124.45,3366,4.24
15-Sep-2011,132.50,132.50,124.60, 127.15,126.65,4913,6.20
14-Sep-2011,130.00,130.00,122.65, 129.00,128.90,8403,10.62
13-Sep-2011,126.00,127.50,122.25, 122.25,122.80,5572,6.91
12-Sep-2011,138.70,138.70,123.50, 124.95,124.85,10339,12.86
09-Sep-2011,130.80,130.80,128.10, 128.10,128.45,1345,1.74
08-Sep-2011,128.50,131.40,128.40, 131.35,130.70,2883,3.74
07-Sep-2011,134.40,146.00,125.00, 128.85,127.65,12080,15.43
06-Sep-2011,125.00,126.40,121.70, 124.20,124.30,5963,7.34
05-Sep-2011,124.65,127.55,122.50, 125.40,125.80,4580,5.73
02-Sep-2011,127.25,127.85,124.20, 124.20,124.65,2358,2.98
30-Aug-2011,124.15,127.45,123.00, 124.25,125.25,3623,4.52
29-Aug-2011,124.00,126.70,122.05, 123.00,123.20,2908,3.60
26-Aug-2011,124.55,125.50,119.05, 124.75,121.20,2734,3.36
25-Aug-2011,127.75,127.80,125.05, 126.50,126.00,1477,1.87
24-Aug-2011,127.05,129.00,124.00, 125.00,124.90,7231,9.07
23-Aug-2011,127.90,128.00,126.50, 127.00,127.70,2830,3.61
22-Aug-2011,129.45,129.45,125.35, 125.35,126.45,2504,3.17
19-Aug-2011,128.00,132.45,126.10, 127.00,126.65,6949,8.80
18-Aug-2011,144.00,144.00,132.50, 132.60,132.65,4678,6.24
17-Aug-2011,135.20,139.95,135.20, 137.00,137.35,7958,11.02
16-Aug-2011,140.00,140.50,135.10, 138.00,137.20,8162,11.32
12-Aug-2011,136.50,139.80,135.45, 138.00,137.90,9253,12.70
11-Aug-2011,137.10,139.80,135.00, 135.60,136.25,2417,3.31
10-Aug-2011,136.65,139.85,136.50, 137.70,137.10,5283,7.27
09-Aug-2011,136.00,158.80,134.10, 134.70,136.05,12969,17.68
08-Aug-2011,137.00,139.95,131.00, 139.00,139.15,15646,21.42
05-Aug-2011,136.00,139.00,134.00, 137.00,138.20,17557,24.04
04-Aug-2011,141.00,142.80,137.05, 138.90,138.45,6993,9.70
03-Aug-2011,139.00,141.45,133.15, 140.95,139.30,5847,8.12
02-Aug-2011,142.00,144.00,138.50, 140.90,140.00,14445,20.32
01-Aug-2011,145.65,146.00,141.50, 141.95,142.00,5949,8.57
29-Jul-2011,147.15,150.00,144.05, 144.30,145.65,5895,8.65
28-Jul-2011,147.80,148.65,147.00, 147.00,147.15,2245,3.31
27-Jul-2011,149.50,151.00,147.15, 148.00,147.90,4922,7.36
26-Jul-2011,149.95,150.95,148.10, 149.95,149.40,5551,8.33
25-Jul-2011,147.50,151.00,147.50, 149.00,149.40,9307,13.95
22-Jul-2011,149.75,150.95,147.00, 147.35,147.70,11952,17.75
21-Jul-2011,156.70,157.00,144.70, 146.80,150.90,138984,212.43
20-Jul-2011,158.50,158.50,155.20, 156.00,156.35,9159,14.31
19-Jul-2011,158.00,159.75,155.15, 156.50,156.10,6522,10.22
18-Jul-2011,167.70,167.70,156.15, 157.50,157.75,2809,4.47
15-Jul-2011,158.60,159.95,158.00, 159.75,159.35,2300,3.65
14-Jul-2011,158.00,159.80,155.20, 159.00,158.90,4143,6.55
13-Jul-2011,159.90,159.95,154.20, 156.00,155.65,8793,13.72
12-Jul-2011,155.70,160.00,155.65, 157.00,157.15,9354,14.75
11-Jul-2011,162.00,162.00,158.00, 159.95,159.80,13250,21.11
08-Jul-2011,165.10,166.70,162.30, 163.00,162.90,16909,27.67
07-Jul-2011,168.95,169.50,164.05, 164.05,164.75,7906,13.12
06-Jul-2011,168.50,168.50,166.00, 167.05,167.05,4580,7.66
05-Jul-2011,163.20,167.45,163.20, 166.00,165.55,4225,7.00
04-Jul-2011,168.00,168.00,162.25, 164.95,165.20,7769,12.82
01-Jul-2011,165.00,170.00,162.50, 166.00,166.60,21013,34.92
30-Jun-2011,163.80,164.75,161.35, 161.50,161.80,2906,4.71
29-Jun-2011,167.00,167.00,163.00, 163.00,163.80,1126,1.85
28-Jun-2011,163.50,165.00,162.00, 164.60,163.80,1970,3.23
27-Jun-2011,158.20,163.00,158.20, 162.75,161.65,2641,4.23
24-Jun-2011,163.50,163.50,158.00, 158.20,158.90,4846,7.76
23-Jun-2011,157.10,160.60,157.10, 158.50,158.70,3982,6.32
22-Jun-2011,163.00,164.80,160.00, 160.00,160.10,3358,5.40
21-Jun-2011,166.80,166.80,161.50, 162.75,162.65,2564,4.19
20-Jun-2011,167.00,169.40,164.55, 167.90,166.40,5167,8.59
17-Jun-2011,167.20,168.90,166.00, 167.00,167.60,10498,17.61
16-Jun-2011,170.00,170.00,167.45, 167.45,167.55,894,1.50
15-Jun-2011,171.00,171.80,168.00, 168.20,168.25,2784,4.70
14-Jun-2011,170.40,172.80,169.20, 170.70,170.40,3046,5.19
13-Jun-2011,174.95,174.95,170.00, 170.00,170.25,4941,8.48
10-Jun-2011,175.70,176.25,173.00, 173.05,173.40,6301,11.00
09-Jun-2011,176.55,178.90,175.50, 176.10,176.65,26666,47.28
08-Jun-2011,175.60,178.80,175.60, 178.00,177.50,3887,6.90
07-Jun-2011,176.40,179.90,175.55, 177.30,178.60,11298,19.96
06-Jun-2011,177.95,179.00,176.00, 176.95,176.35,4983,8.86
03-Jun-2011,178.20,179.00,176.60, 178.95,178.35,4599,8.20
02-Jun-2011,177.85,181.00,176.15, 176.75,177.85,5942,10.59
01-Jun-2011,179.45,179.80,175.55, 178.50,178.15,13821,24.63
31-May-2011,176.90,186.50,174.00, 175.30,175.70,11727,20.80
30-May-2011,173.55,175.50,173.50, 175.00,175.00,4994,8.73
27-May-2011,174.25,176.95,173.75, 174.00,174.20,14838,26.01
26-May-2011,177.00,177.85,173.05, 173.60,174.10,4211,7.34
25-May-2011,177.30,182.00,173.40, 173.40,174.30,40235,70.66
24-May-2011,176.35,182.00,174.00, 181.00,180.70,18468,32.81
23-May-2011,177.00,179.45,174.30, 177.00,175.65,24268,42.74
20-May-2011,176.40,181.95,176.40, 178.20,179.60,18232,32.85
19-May-2011,178.00,179.00,175.95, 176.50,177.35,7640,13.56
18-May-2011,171.10,182.95,171.10, 176.25,177.55,12815,22.80
17-May-2011,178.00,184.00,178.00, 179.00,179.70,7526,13.66
16-May-2011,183.15,184.80,180.50, 180.70,181.45,10008,18.27
13-May-2011,180.00,184.00,179.00, 183.00,183.15,18172,33.11
12-May-2011,178.25,182.00,178.25, 180.65,180.05,6136,11.08
11-May-2011,176.50,182.40,176.50, 180.40,181.40,13954,25.17
10-May-2011,177.60,179.20,176.15, 178.95,178.95,3802,6.77
09-May-2011,180.90,180.90,177.00, 178.00,179.20,6105,10.90
06-May-2011,172.30,183.00,172.30, 182.00,180.10,25872,46.01
05-May-2011,174.60,176.00,173.55, 176.00,175.20,11780,20.60
04-May-2011,176.00,176.50,173.00, 175.85,174.95,25831,45.25
03-May-2011,176.00,176.95,175.00, 176.00,175.95,19718,34.67
02-May-2011,175.70,178.00,174.10, 177.05,177.35,10066,17.72
29-Apr-2011,175.05,176.40,175.05, 176.10,175.70,12455,21.89
28-Apr-2011,176.15,177.85,174.00, 177.00,175.85,63696,111.98
27-Apr-2011,179.70,179.70,176.10, 177.00,177.10,12346,21.84
26-Apr-2011,178.00,181.50,176.00, 177.00,177.65,20424,36.38
25-Apr-2011,178.40,178.40,175.05, 178.00,177.05,46163,81.38
21-Apr-2011,175.00,193.00,172.25, 176.40,177.35,275988,504.39
20-Apr-2011,172.25,174.40,170.25, 172.50,173.30,23888,41.33
19-Apr-2011,171.00,173.95,171.00, 173.05,172.80,19072,32.85
18-Apr-2011,169.00,174.85,167.95, 173.00,172.30,19222,33.08
15-Apr-2011,172.65,173.50,168.00, 169.45,169.60,22132,37.91
13-Apr-2011,172.85,174.50,170.20, 172.25,172.95,30177,52.01
11-Apr-2011,168.15,173.00,167.20, 172.00,172.20,25801,44.27
08-Apr-2011,172.00,172.00,167.10, 169.05,169.30,9519,16.19
07-Apr-2011,168.00,172.00,167.00, 171.00,171.00,20251,34.42
06-Apr-2011,168.90,170.50,165.15, 168.00,168.95,16607,27.78
05-Apr-2011,159.05,170.00,158.70, 166.80,166.35,11992,19.81
04-Apr-2011,157.95,161.50,157.95, 160.30,160.55,6776,10.82
01-Apr-2011,154.50,157.45,154.50, 156.30,157.20,3746,5.86
31-Mar-2011,155.90,158.10,152.35, 156.50,156.50,9600,14.96
30-Mar-2011,159.40,159.40,155.00, 155.10,155.70,11315,17.62
29-Mar-2011,160.00,163.00,155.20, 156.00,156.10,12150,19.37
28-Mar-2011,153.20,160.50,152.40, 160.45,158.80,40527,63.81
25-Mar-2011,157.00,157.00,152.20, 153.45,154.20,6372,9.87
24-Mar-2011,152.00,156.00,152.00, 154.05,154.70,6302,9.72
23-Mar-2011,152.85,153.25,151.20, 151.55,152.10,7797,11.87
22-Mar-2011,152.90,153.40,149.40, 153.00,152.15,14470,21.94
21-Mar-2011,152.95,153.00,148.95, 152.90,150.05,4827,7.25
18-Mar-2011,150.35,151.90,150.00, 151.90,151.15,4624,6.97
17-Mar-2011,150.00,152.95,147.50, 150.35,151.40,12420,18.69
16-Mar-2011,151.00,152.80,150.00, 150.35,150.55,9392,14.19
15-Mar-2011,151.10,153.90,147.70, 151.30,151.75,2982,4.51
14-Mar-2011,154.20,156.95,153.00, 154.20,154.90,6365,9.84
11-Mar-2011,159.90,159.90,154.65, 156.50,155.70,8178,12.83
10-Mar-2011,158.90,161.40,158.25, 160.20,159.20,12503,19.99
09-Mar-2011,156.90,159.00,154.70, 158.50,157.60,6571,10.30
