Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,209.95,212.95,199.25, 208.45,207.90,846,1.75
29-Dec-2011,199.50,205.00,195.85, 195.85,196.05,245,0.49
28-Dec-2011,209.90,209.95,199.50, 199.50,199.70,73,0.15
27-Dec-2011,206.05,209.00,198.55, 199.50,199.30,464,0.94
26-Dec-2011,213.00,213.00,205.05, 205.05,205.05,34,0.07
23-Dec-2011,207.95,211.00,196.80, 210.00,204.40,938,1.92
22-Dec-2011,202.95,214.95,196.00, 214.95,205.85,1421,2.91
21-Dec-2011,204.00,204.00,198.05, 202.95,202.25,42,0.08
20-Dec-2011,200.70,205.60,200.15, 205.00,205.00,362,0.74
19-Dec-2011,210.00,210.00,205.00, 205.00,207.15,730,1.52
16-Dec-2011,210.00,210.00,210.00, 210.00,210.00,522,1.10
15-Dec-2011,215.00,215.00,209.15, 209.15,209.95,1092,2.31
14-Dec-2011,222.00,227.00,216.05, 216.10,216.10,46,0.10
13-Dec-2011,224.75,224.75,215.00, 215.00,215.00,49,0.11
12-Dec-2011,224.95,224.95,214.50, 215.00,214.95,1049,2.26
09-Dec-2011,220.00,225.55,201.30, 219.00,219.15,658,1.43
08-Dec-2011,215.00,223.00,215.00, 221.00,220.40,987,2.14
07-Dec-2011,206.50,219.70,205.10, 219.65,213.80,867,1.81
05-Dec-2011,204.00,206.80,200.00, 206.50,206.50,596,1.21
02-Dec-2011,201.60,208.90,194.95, 203.70,203.00,1727,3.47
01-Dec-2011,215.10,218.00,195.00, 203.90,201.65,3366,6.86
29-Nov-2011,214.45,214.45,210.15, 210.45,213.55,424,0.90
28-Nov-2011,215.00,216.95,211.95, 212.55,214.45,50205,107.94
25-Nov-2011,214.00,227.00,210.05, 220.00,219.00,1772,3.83
24-Nov-2011,210.25,214.00,210.05, 213.95,213.85,156,0.33
23-Nov-2011,210.45,214.00,206.50, 214.00,212.95,238,0.50
22-Nov-2011,213.90,213.90,208.50, 211.45,211.15,144,0.31
21-Nov-2011,210.45,210.45,208.50, 210.10,209.90,265,0.55
18-Nov-2011,215.50,215.50,210.40, 210.40,210.40,67,0.14
17-Nov-2011,214.00,214.00,210.15, 213.00,213.00,1466,3.10
16-Nov-2011,210.55,219.00,209.30, 219.00,214.25,944,1.99
15-Nov-2011,218.90,224.90,210.00, 220.00,219.30,1894,4.08
14-Nov-2011,209.55,221.00,205.65, 219.80,214.45,972,2.06
11-Nov-2011,203.00,216.00,203.00, 216.00,214.70,623,1.32
09-Nov-2011,207.05,212.00,203.10, 210.20,210.00,1138,2.38
08-Nov-2011,207.00,209.95,206.00, 208.00,208.00,380,0.79
04-Nov-2011,223.95,223.95,206.00, 206.00,207.00,2379,5.01
03-Nov-2011,212.00,215.00,211.60, 215.00,214.20,450,0.96
02-Nov-2011,223.90,223.90,205.50, 212.20,213.50,437,0.94
01-Nov-2011,218.00,227.95,212.00, 212.00,212.15,125,0.27
31-Oct-2011,211.15,216.95,211.05, 211.15,213.15,288,0.61
28-Oct-2011,232.00,232.00,213.90, 216.05,217.40,928,2.02
26-Oct-2011,219.10,228.00,210.65, 226.95,215.35,229,0.49
25-Oct-2011,211.95,221.90,209.35, 214.00,212.55,641,1.37
24-Oct-2011,215.00,220.00,212.05, 216.00,215.80,1069,2.32
21-Oct-2011,221.90,221.90,209.10, 219.35,217.05,1115,2.40
20-Oct-2011,210.30,223.00,205.50, 220.15,217.30,1736,3.70
19-Oct-2011,225.10,225.10,215.05, 216.00,216.90,633,1.38
