Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,22.30,22.30,22.30, 22.30,22.30,50,0.01
29-Dec-2011,22.10,23.45,22.10, 23.45,23.45,1201,0.27
27-Dec-2011,22.35,23.25,22.00, 23.25,23.25,511,0.11
26-Dec-2011,23.55,23.55,22.30, 22.30,22.30,1092,0.24
22-Dec-2011,23.45,23.45,23.45, 23.45,23.45,10,0.00
21-Dec-2011,22.00,23.45,22.00, 23.45,23.45,110,0.02
20-Dec-2011,22.00,22.50,22.00, 22.50,22.50,8,0.00
19-Dec-2011,22.30,23.45,22.10, 23.45,22.55,908,0.20
16-Dec-2011,23.65,23.65,23.00, 23.00,23.25,2201,0.51
15-Dec-2011,23.25,24.00,23.20, 24.00,23.30,48,0.01
14-Dec-2011,23.80,23.80,23.80, 23.80,23.80,15,0.00
13-Dec-2011,23.30,24.50,23.30, 24.00,24.00,1000,0.24
12-Dec-2011,25.75,25.75,24.50, 24.50,24.50,450,0.11
09-Dec-2011,27.00,27.00,24.95, 25.25,25.25,565,0.14
08-Dec-2011,28.25,28.25,26.25, 26.25,26.25,2093,0.55
07-Dec-2011,29.00,29.00,26.65, 27.75,27.60,2449,0.68
05-Dec-2011,25.20,26.40,25.20, 26.40,26.40,7309,1.92
02-Dec-2011,22.60,24.00,22.00, 24.00,24.00,4369,1.03
30-Nov-2011,21.85,21.85,21.85, 21.85,21.85,50,0.01
29-Nov-2011,21.00,21.40,21.00, 21.20,21.20,5908,1.26
25-Nov-2011,20.45,22.50,20.45, 21.75,21.75,3,0.00
24-Nov-2011,23.50,23.50,20.25, 21.40,21.40,3476,0.78
23-Nov-2011,21.25,22.75,21.25, 21.50,21.50,526,0.11
22-Nov-2011,20.85,21.55,20.80, 21.55,21.55,498,0.10
21-Nov-2011,21.80,21.85,21.80, 21.85,21.85,210,0.05
17-Nov-2011,23.50,23.50,23.50, 23.50,23.50,8,0.00
16-Nov-2011,21.00,24.30,21.00, 22.75,22.75,102,0.02
15-Nov-2011,24.10,24.10,22.30, 22.30,22.30,700,0.16
14-Nov-2011,23.05,24.35,23.05, 23.50,23.50,899,0.21
11-Nov-2011,23.50,23.50,23.50, 23.50,23.50,1,0.00
09-Nov-2011,24.00,24.75,24.00, 24.00,24.00,2775,0.67
08-Nov-2011,21.65,23.35,21.65, 23.35,23.35,252,0.06
04-Nov-2011,21.05,22.65,21.05, 22.60,22.60,102,0.02
03-Nov-2011,20.05,24.45,20.05, 24.00,24.00,149,0.03
02-Nov-2011,23.50,23.50,23.50, 23.50,23.50,23,0.01
01-Nov-2011,23.65,23.65,23.00, 23.00,23.20,1085,0.26
31-Oct-2011,22.50,24.45,22.50, 23.60,23.60,197,0.05
28-Oct-2011,20.50,25.80,20.50, 25.45,25.45,3,0.00
26-Oct-2011,21.60,22.30,21.60, 22.30,22.30,59,0.01
25-Oct-2011,23.20,23.30,23.20, 23.30,23.30,101,0.02
19-Oct-2011,23.50,24.40,23.30, 24.40,24.40,5207,1.23
18-Oct-2011,24.45,24.60,23.25, 23.25,23.25,4012,0.97
17-Oct-2011,27.90,27.90,22.55, 23.00,23.25,534,0.12
13-Oct-2011,28.45,28.45,22.90, 24.00,23.85,318,0.08
12-Oct-2011,21.80,23.95,21.80, 23.95,23.90,17,0.00
11-Oct-2011,22.15,22.15,22.00, 22.00,22.10,10,0.00
07-Oct-2011,22.25,22.40,22.25, 22.40,22.40,101,0.02
05-Oct-2011,22.15,23.10,21.70, 23.10,23.10,153,0.03
04-Oct-2011,22.00,23.95,22.00, 23.90,23.90,2709,0.62
03-Oct-2011,23.00,23.00,22.60, 22.60,22.60,1043,0.24
29-Sep-2011,20.70,24.60,20.70, 24.60,24.60,501,0.11
28-Sep-2011,24.85,24.85,23.50, 23.50,23.50,2,0.00
27-Sep-2011,24.75,24.75,23.10, 24.25,24.25,527,0.13
26-Sep-2011,23.05,23.05,23.05, 23.05,23.05,500,0.12
23-Sep-2011,23.05,24.70,23.00, 23.10,23.15,120,0.03
22-Sep-2011,23.45,23.45,23.00, 23.00,23.00,501,0.12
21-Sep-2011,25.50,25.50,25.50, 25.50,25.50,100,0.03
19-Sep-2011,24.25,24.80,23.20, 24.80,24.80,452,0.11
16-Sep-2011,28.70,28.70,24.00, 24.95,24.95,1263,0.31
15-Sep-2011,24.35,24.50,24.00, 24.00,24.05,120,0.03
14-Sep-2011,24.05,25.35,24.05, 25.35,25.35,299,0.07
13-Sep-2011,27.35,27.35,23.15, 24.50,24.50,45,0.01
12-Sep-2011,24.50,24.50,23.10, 23.10,23.10,152,0.04
09-Sep-2011,27.40,27.40,24.50, 24.50,24.50,2253,0.55
08-Sep-2011,24.35,25.20,24.35, 25.00,25.00,302,0.07
07-Sep-2011,24.65,24.90,24.65, 24.90,24.90,200,0.05
06-Sep-2011,26.35,26.35,24.00, 24.80,24.80,453,0.11
05-Sep-2011,26.25,26.25,24.00, 24.00,24.00,801,0.19
02-Sep-2011,27.40,27.40,24.05, 24.05,24.05,384,0.09
30-Aug-2011,26.40,26.40,24.10, 25.00,25.00,252,0.06
29-Aug-2011,25.00,25.00,24.00, 24.00,24.00,300,0.07
26-Aug-2011,26.35,26.35,23.55, 25.00,25.00,158,0.04
24-Aug-2011,23.35,25.20,23.35, 25.20,25.20,2,0.00
23-Aug-2011,26.00,26.00,24.00, 25.40,25.40,110,0.03
22-Aug-2011,24.40,24.40,23.00, 24.40,24.40,305,0.07
19-Aug-2011,23.60,25.45,21.85, 23.15,23.15,671,0.15
18-Aug-2011,24.05,24.05,24.05, 24.05,24.05,225,0.05
17-Aug-2011,21.85,26.00,21.85, 25.45,25.60,360,0.09
16-Aug-2011,23.35,25.75,23.35, 25.75,24.05,341,0.08
12-Aug-2011,26.35,26.35,23.70, 23.70,23.70,4361,1.07
11-Aug-2011,24.05,24.05,24.05, 24.05,24.05,151,0.04
10-Aug-2011,24.25,24.30,24.25, 24.30,24.30,504,0.12
09-Aug-2011,22.10,24.95,22.10, 24.00,24.00,888,0.20
08-Aug-2011,22.65,25.15,22.65, 24.00,24.00,1834,0.43
05-Aug-2011,25.50,25.50,24.05, 24.95,24.95,1928,0.48
04-Aug-2011,25.00,25.00,25.00, 25.00,25.00,1034,0.26
03-Aug-2011,24.10,24.20,24.10, 24.20,24.20,1200,0.29
02-Aug-2011,25.35,25.45,24.30, 24.30,24.30,1200,0.29
01-Aug-2011,25.05,26.00,24.60, 24.65,24.65,1271,0.33
29-Jul-2011,23.30,25.55,23.30, 25.05,25.30,5625,1.42
28-Jul-2011,23.95,25.75,23.05, 24.40,24.40,6368,1.58
27-Jul-2011,23.25,24.30,23.20, 24.20,24.20,1245,0.29
26-Jul-2011,24.30,24.35,23.45, 23.45,23.45,297,0.07
25-Jul-2011,24.70,24.70,24.55, 24.65,24.65,302,0.07
22-Jul-2011,23.25,24.45,23.25, 24.40,24.40,752,0.18
21-Jul-2011,23.55,24.50,23.55, 24.50,24.35,65,0.02
20-Jul-2011,24.30,24.65,24.30, 24.65,24.65,194,0.05
19-Jul-2011,22.25,24.90,22.25, 24.70,24.70,3468,0.82
18-Jul-2011,24.00,24.00,24.00, 24.00,24.00,10,0.00
15-Jul-2011,24.45,24.45,24.45, 24.45,24.45,10,0.00
14-Jul-2011,23.00,23.85,22.55, 22.55,22.55,2076,0.48
13-Jul-2011,23.95,23.95,23.95, 23.95,23.95,573,0.14
12-Jul-2011,23.75,23.75,23.75, 23.75,23.75,10,0.00
11-Jul-2011,21.05,24.35,21.05, 23.05,23.05,103,0.03
08-Jul-2011,24.00,24.90,22.95, 23.05,23.10,836,0.20
07-Jul-2011,21.25,24.40,21.25, 22.50,23.25,613,0.14
06-Jul-2011,23.25,23.25,23.25, 23.25,23.25,40,0.01
05-Jul-2011,22.00,22.00,22.00, 22.00,22.00,40,0.01
04-Jul-2011,22.00,23.20,22.00, 23.20,23.20,221,0.05
01-Jul-2011,22.90,22.90,22.90, 22.90,22.90,10,0.00
30-Jun-2011,22.95,22.95,22.95, 22.95,22.95,24,0.01
27-Jun-2011,24.00,24.00,22.00, 22.00,22.00,107,0.02
24-Jun-2011,22.50,22.50,21.25, 21.25,21.70,140,0.03
23-Jun-2011,21.00,21.65,21.00, 21.65,21.65,802,0.17
22-Jun-2011,20.85,21.50,20.85, 21.50,21.50,311,0.07
21-Jun-2011,21.10,21.10,21.10, 21.10,21.10,1,0.00
20-Jun-2011,21.05,21.75,21.05, 21.75,21.75,800,0.17
17-Jun-2011,22.05,22.10,22.05, 22.05,22.10,951,0.21
16-Jun-2011,22.25,22.75,22.25, 22.75,22.75,800,0.18
15-Jun-2011,22.75,23.25,22.60, 23.25,23.25,320,0.07
14-Jun-2011,23.35,23.95,21.75, 22.60,22.60,3011,0.71
13-Jun-2011,21.35,21.35,21.35, 21.35,21.35,50,0.01
09-Jun-2011,21.30,22.95,21.30, 22.30,22.30,174,0.04
08-Jun-2011,21.00,23.85,21.00, 22.50,22.45,819,0.18
07-Jun-2011,21.00,23.65,21.00, 22.60,22.60,2402,0.55
06-Jun-2011,21.05,22.00,21.05, 22.00,22.00,6,0.00
03-Jun-2011,21.65,21.65,21.65, 21.65,21.65,300,0.06
02-Jun-2011,22.85,23.20,20.65, 21.95,21.95,6201,1.39
01-Jun-2011,20.75,20.75,20.75, 20.75,20.75,404,0.08
31-May-2011,19.00,20.65,19.00, 20.00,20.00,542,0.11
27-May-2011,20.60,20.60,19.75, 20.10,20.10,370,0.07
26-May-2011,20.50,20.70,19.10, 20.35,19.80,1839,0.37
25-May-2011,21.25,21.25,21.25, 21.25,21.25,1,0.00
24-May-2011,18.30,21.00,18.30, 21.00,21.00,1411,0.27
23-May-2011,21.00,23.45,20.00, 20.00,20.15,5583,1.15
20-May-2011,22.95,22.95,21.00, 21.65,21.65,470,0.10
19-May-2011,22.40,22.40,22.40, 22.40,22.40,100,0.02
18-May-2011,21.85,22.55,21.50, 21.50,21.50,495,0.11
17-May-2011,22.10,22.85,21.80, 21.80,21.80,605,0.13
16-May-2011,22.00,23.25,21.00, 23.25,23.25,103,0.02
13-May-2011,23.50,23.50,22.00, 22.10,22.30,122,0.03
12-May-2011,22.95,23.00,22.95, 23.00,23.00,3,0.00
11-May-2011,21.95,22.90,21.95, 22.20,22.20,294,0.07
06-May-2011,21.60,24.00,21.00, 23.90,23.90,1050,0.24
05-May-2011,24.20,24.20,21.60, 21.60,22.05,931,0.21
04-May-2011,23.00,23.00,23.00, 23.00,23.00,100,0.02
03-May-2011,24.00,24.00,23.50, 23.50,23.50,1340,0.32
28-Apr-2011,23.60,23.60,23.40, 23.40,23.40,168,0.04
27-Apr-2011,23.50,23.50,23.50, 23.50,23.50,600,0.14
