Date,Open Price,High Price,Low Price,Last Traded Price ,Close Price,Total Traded Quantity,Turnover (in Lakhs)
30-Dec-2011,409.95,409.95,395.05, 400.25,400.90,46891,187.93
29-Dec-2011,409.95,409.95,401.00, 401.65,402.30,43277,174.17
28-Dec-2011,404.00,406.50,401.20, 403.00,402.95,32304,130.32
27-Dec-2011,407.80,407.80,400.05, 404.95,403.80,38350,154.25
26-Dec-2011,399.00,403.00,394.20, 401.05,399.85,68476,272.44
23-Dec-2011,400.00,400.00,392.10, 394.00,394.75,17276,68.19
22-Dec-2011,396.00,397.80,394.30, 394.45,395.45,46196,182.91
21-Dec-2011,394.40,398.50,393.30, 393.30,395.10,20101,79.60
20-Dec-2011,400.00,400.00,390.10, 391.55,393.55,49628,195.82
19-Dec-2011,395.00,399.90,388.05, 396.00,395.75,61452,242.28
16-Dec-2011,400.00,400.00,390.50, 391.00,394.00,103028,406.78
15-Dec-2011,394.25,399.50,389.05, 394.00,396.75,66575,263.62
14-Dec-2011,393.80,397.00,392.15, 395.00,394.70,37694,148.69
13-Dec-2011,395.50,395.50,390.70, 393.00,393.05,20688,81.26
12-Dec-2011,394.80,399.00,390.25, 392.50,393.50,59731,234.56
09-Dec-2011,393.25,396.85,363.75, 387.00,386.05,79627,312.09
08-Dec-2011,399.00,399.00,392.00, 392.30,393.85,38015,149.89
07-Dec-2011,404.25,408.90,393.80, 393.95,394.60,79593,315.89
05-Dec-2011,419.00,419.00,401.00, 402.00,404.35,51664,212.03
02-Dec-2011,423.00,425.90,417.00, 420.00,419.80,22220,93.71
01-Dec-2011,419.00,430.00,417.25, 420.60,420.70,105592,444.78
30-Nov-2011,418.00,418.00,405.05, 412.10,414.45,135981,560.88
29-Nov-2011,419.40,419.95,409.10, 414.00,416.60,67297,279.26
28-Nov-2011,409.75,420.90,407.05, 414.00,415.00,72811,302.66
25-Nov-2011,396.95,407.90,395.00, 400.40,405.50,85666,344.35
24-Nov-2011,388.00,404.70,388.00, 393.00,397.00,129742,513.38
23-Nov-2011,394.00,415.00,374.00, 386.00,388.40,374516,1505.19
22-Nov-2011,435.00,435.00,344.80, 389.95,389.05,758780,2773.24
21-Nov-2011,445.00,455.90,425.05, 425.05,430.95,125686,562.06
18-Nov-2011,443.40,445.00,428.15, 436.00,439.25,65997,289.63
17-Nov-2011,447.95,452.75,440.00, 441.00,440.25,33777,150.85
16-Nov-2011,449.00,449.15,428.00, 448.60,445.45,83257,367.29
15-Nov-2011,454.90,458.00,442.55, 444.00,447.45,71842,322.31
14-Nov-2011,437.00,453.80,436.00, 450.00,450.20,154479,689.45
11-Nov-2011,450.00,452.50,427.25, 427.70,435.75,122109,538.07
09-Nov-2011,454.90,455.35,444.00, 445.00,449.15,92830,418.24
08-Nov-2011,455.00,456.95,450.35, 451.00,452.30,102635,465.31
04-Nov-2011,469.00,469.00,440.65, 451.00,452.60,175669,803.00
03-Nov-2011,455.00,460.00,450.00, 458.40,458.55,146378,667.43
02-Nov-2011,440.00,451.75,436.05, 451.00,449.15,99975,445.21
01-Nov-2011,432.00,441.45,430.60, 439.00,440.05,126693,553.28
31-Oct-2011,419.25,433.90,419.00, 431.50,430.60,127104,540.74
28-Oct-2011,414.75,421.85,411.00, 418.00,419.35,106035,441.65
26-Oct-2011,417.45,418.00,406.55, 408.00,408.60,34514,143.10
25-Oct-2011,408.75,414.90,403.20, 409.00,411.25,78248,319.61
24-Oct-2011,406.00,407.00,402.40, 405.95,404.95,85724,346.39
21-Oct-2011,405.35,410.00,402.80, 405.50,405.40,80955,328.06
20-Oct-2011,406.50,406.50,401.20, 405.50,405.50,69959,282.83
19-Oct-2011,410.70,410.70,402.35, 405.00,405.95,99668,403.63
18-Oct-2011,415.00,415.00,402.80, 403.50,407.90,71015,288.42
17-Oct-2011,419.65,419.65,409.00, 414.65,413.25,75803,312.92
14-Oct-2011,414.80,420.05,412.10, 412.10,414.60,73514,305.53
13-Oct-2011,426.50,426.50,408.60, 409.00,415.60,89939,374.42
12-Oct-2011,419.70,423.50,415.55, 416.20,419.10,46063,193.41
11-Oct-2011,407.30,423.60,407.30, 416.00,417.25,168086,700.68
10-Oct-2011,403.25,411.50,399.00, 408.90,407.25,106664,432.23
07-Oct-2011,420.00,420.00,398.30, 398.30,401.80,78944,319.05
05-Oct-2011,406.00,406.00,398.25, 398.25,400.75,98355,394.69
04-Oct-2011,397.25,404.00,376.75, 394.95,393.70,80153,318.95
03-Oct-2011,402.25,402.95,396.75, 397.00,397.65,33544,133.87
30-Sep-2011,416.00,416.00,402.50, 403.00,406.15,37286,152.98
29-Sep-2011,416.00,416.65,412.25, 413.00,415.10,53929,223.71
28-Sep-2011,421.00,421.00,411.10, 416.00,416.75,104154,433.67
27-Sep-2011,416.00,423.65,410.10, 420.00,419.95,145973,609.93
26-Sep-2011,412.00,416.20,401.00, 409.00,407.00,48995,200.42
23-Sep-2011,419.00,419.00,405.05, 411.90,410.05,53997,221.35
22-Sep-2011,424.90,424.90,412.00, 412.00,416.25,47974,200.27
21-Sep-2011,437.40,439.00,426.10, 431.00,433.60,78456,340.18
20-Sep-2011,424.60,436.70,420.00, 432.00,433.20,109628,467.89
19-Sep-2011,423.00,424.70,415.30, 415.30,419.40,85650,360.09
16-Sep-2011,412.15,424.50,412.00, 418.00,419.15,125629,527.19
15-Sep-2011,418.00,418.40,410.10, 411.00,412.30,52244,215.53
14-Sep-2011,421.40,421.40,412.30, 414.50,413.95,82796,344.90
13-Sep-2011,428.00,429.90,414.75, 415.95,416.65,295312,1252.46
12-Sep-2011,414.00,419.50,408.30, 418.00,417.70,72390,300.85
09-Sep-2011,407.65,423.75,404.10, 412.00,414.00,153783,635.80
08-Sep-2011,408.00,408.95,405.05, 405.60,406.75,59241,241.09
07-Sep-2011,405.00,409.40,399.05, 406.00,405.95,105785,427.85
06-Sep-2011,404.00,406.70,399.25, 402.00,402.05,47437,190.75
05-Sep-2011,406.00,406.00,398.05, 403.00,402.95,62611,251.74
02-Sep-2011,405.45,408.35,403.00, 405.90,405.75,43328,175.79
30-Aug-2011,403.95,407.40,401.25, 403.25,405.35,38465,155.23
29-Aug-2011,405.75,405.75,399.00, 399.05,401.35,64549,259.21
26-Aug-2011,403.00,403.00,390.20, 398.00,396.65,69020,274.17
25-Aug-2011,406.40,409.70,398.00, 401.75,400.55,98876,400.17
24-Aug-2011,406.00,407.70,400.20, 401.20,402.40,47177,190.60
23-Aug-2011,403.80,404.60,399.00, 402.50,403.40,177539,714.91
22-Aug-2011,393.00,399.70,390.00, 397.00,397.55,111991,442.96
19-Aug-2011,400.00,400.00,386.00, 391.00,392.25,71960,281.67
18-Aug-2011,399.90,401.95,392.00, 392.55,393.30,79242,313.75
17-Aug-2011,399.70,401.95,395.00, 398.00,398.70,46614,185.62
16-Aug-2011,405.90,405.90,396.00, 398.05,399.00,44437,178.17
12-Aug-2011,404.70,406.00,400.50, 401.00,402.60,85452,344.51
11-Aug-2011,404.50,409.50,399.00, 399.05,401.95,102307,412.65
10-Aug-2011,408.00,410.00,401.25, 401.35,405.35,176551,715.52
09-Aug-2011,394.70,400.90,390.05, 398.75,399.10,86144,342.50
08-Aug-2011,410.00,410.00,397.00, 397.00,400.05,119125,478.02
05-Aug-2011,415.00,419.00,402.00, 412.90,411.30,127830,524.72
04-Aug-2011,420.25,425.00,413.35, 416.00,418.65,122152,514.85
03-Aug-2011,415.25,425.90,413.35, 420.00,422.15,243702,1027.34
02-Aug-2011,411.50,422.00,407.35, 419.80,419.40,244197,1014.33
01-Aug-2011,404.00,416.40,402.00, 416.00,413.45,237717,972.22
29-Jul-2011,400.00,407.90,396.15, 399.60,399.45,88656,355.89
28-Jul-2011,403.95,404.00,398.10, 401.00,401.35,118749,476.53
27-Jul-2011,405.00,408.75,401.10, 401.50,402.55,81762,330.03
26-Jul-2011,406.00,407.90,401.25, 403.00,404.05,102215,413.46
25-Jul-2011,405.00,406.75,398.65, 404.00,404.70,110095,444.00
22-Jul-2011,400.00,404.70,399.05, 402.00,403.35,101788,409.87
21-Jul-2011,400.00,402.50,396.50, 398.00,399.25,43723,174.71
20-Jul-2011,407.90,407.90,395.40, 397.05,399.45,49251,196.97
19-Jul-2011,400.25,403.70,396.55, 401.00,401.70,62185,249.26
18-Jul-2011,400.00,402.00,396.10, 399.00,399.55,71131,283.57
15-Jul-2011,400.00,402.00,397.00, 398.20,399.20,42068,168.10
14-Jul-2011,399.00,403.25,396.15, 399.00,399.40,101333,405.56
13-Jul-2011,400.00,401.90,394.20, 399.50,399.20,61663,246.03
12-Jul-2011,402.95,404.00,392.30, 393.55,394.45,33753,134.80
11-Jul-2011,407.05,407.05,400.10, 403.00,403.40,66680,269.04
08-Jul-2011,410.00,413.70,401.20, 403.10,404.80,116119,474.70
07-Jul-2011,407.00,414.70,404.00, 408.20,409.15,427902,1754.43
06-Jul-2011,396.85,412.00,395.05, 405.45,405.70,550947,2233.70
05-Jul-2011,399.00,399.00,392.50, 394.00,395.85,71167,281.92
04-Jul-2011,398.80,402.00,394.30, 395.00,396.85,38026,151.41
01-Jul-2011,401.00,403.90,394.10, 396.00,399.00,100645,402.37
30-Jun-2011,400.00,403.45,395.30, 399.50,399.25,54470,217.50
29-Jun-2011,400.00,401.00,394.50, 395.25,397.20,38039,151.26
28-Jun-2011,395.50,402.00,388.10, 396.00,399.70,163136,646.21
27-Jun-2011,398.05,401.00,391.05, 392.35,392.65,98109,388.92
24-Jun-2011,402.00,402.00,395.55, 397.30,397.80,58148,231.74
23-Jun-2011,400.60,402.80,391.15, 400.00,400.45,93054,370.93
22-Jun-2011,394.75,405.80,387.05, 397.00,400.95,235677,946.09
21-Jun-2011,399.25,400.70,390.05, 391.00,394.40,82812,329.14
20-Jun-2011,401.05,401.90,391.50, 396.00,397.55,74137,295.77
17-Jun-2011,401.05,403.70,399.00, 400.50,400.50,91498,367.51
16-Jun-2011,393.20,403.50,393.20, 401.00,400.70,61439,246.43
15-Jun-2011,402.00,407.00,398.10, 399.05,401.05,122112,492.27
14-Jun-2011,405.00,405.00,399.90, 401.00,400.75,34315,138.00
13-Jun-2011,409.50,409.50,400.00, 401.30,402.05,28646,115.72
10-Jun-2011,410.00,411.00,404.50, 405.35,406.20,91349,373.13
09-Jun-2011,418.35,418.35,405.05, 406.00,408.80,84548,345.39
08-Jun-2011,404.75,411.65,402.95, 404.10,405.90,116056,473.07
07-Jun-2011,418.20,418.20,402.10, 404.00,405.50,59769,241.62
06-Jun-2011,403.40,409.70,402.00, 403.50,402.80,56543,228.52
03-Jun-2011,414.50,414.50,404.05, 406.00,407.10,77494,316.71
02-Jun-2011,400.00,416.00,400.00, 409.00,409.30,27185,111.95
01-Jun-2011,416.00,420.50,413.05, 415.00,417.35,59186,246.99
31-May-2011,423.50,424.00,414.05, 415.95,417.75,84947,356.17
30-May-2011,423.85,439.00,417.50, 418.00,419.55,321366,1375.40
27-May-2011,404.80,432.50,403.00, 424.00,422.95,552410,2329.69
26-May-2011,403.95,405.95,400.95, 401.25,403.40,27817,112.23
25-May-2011,404.40,405.45,399.00, 403.00,402.65,84153,338.92
24-May-2011,404.00,411.70,400.50, 401.00,404.25,131125,531.53
23-May-2011,400.25,406.40,393.10, 404.00,403.30,176708,711.75
20-May-2011,405.80,406.00,395.25, 400.00,399.95,122404,491.30
19-May-2011,404.60,406.40,400.00, 401.00,403.40,92329,373.30
18-May-2011,406.60,406.60,398.05, 400.05,401.00,63272,254.06
17-May-2011,404.70,423.10,398.00, 401.00,402.00,127921,517.30
16-May-2011,405.70,407.90,396.55, 402.00,402.90,83879,339.26
13-May-2011,419.70,419.70,400.40, 402.00,402.50,62602,253.16
12-May-2011,407.40,407.40,399.00, 401.25,401.80,47501,191.99
11-May-2011,409.70,410.00,403.70, 404.00,405.15,45074,183.70
10-May-2011,410.00,412.00,404.30, 406.00,407.55,141816,578.94
09-May-2011,420.00,420.00,404.25, 408.40,408.15,78103,319.78
